SAMPLES,GEBVs(RF),ACTUAL
15062362,86.655,84
15061954,84.007,84
15062339,85.414,84
15061482,88.707,92
15062104,84.028,84
15061707,85.522,84
15061567,86.121,84
15061964,84.447,84
15061488,84.395,92
15061438,85.192,92
15061814,91.522,92
15061721,87.47,84
15061601,85.509,84
15061719,84.605,84
15061629,90.794,92
15061477,90.081,92
15061761,84.309,84
15061336,88.068,84
15061386,86.478,84
15061305,87.443,92
15061676,85.949,84
15061523,91.624,92
15061763,84.808,84
15061385,91.98,92
15062133,87.158,92
15061333,87.173,84
15061627,86.564,92
15061731,84.484,84
15061641,91.626,94
15061330,87.526,84
15061626,89.288,92
15062147,88.046,92
15061487,86.031,92
15060536,90.254,84
15061261,85.616,80
15061389,86.423,84
15060101,84.54,92
15061397,91.909,84
15061551,88.415,92
15061539,91.72,84
15062115,84.229,84
15061361,86.029,84
15061669,85.782,92
15062359,88.001,84
15061690,84.843,84
15061308,84.635,82
15062372,86.792,84
15061342,86.121,84
15061281,86.304,92
15061932,88.062,92
15061370,84,84
15061630,82.302,80
15061789,86.781,92
15061666,91.355,92
15062143,84.076,84
15061297,90.379,89
15061907,88.225,84
15061538,91.977,92
15062371,90.447,92
15061685,84.076,84
15062081,87.071,84
15061969,90.793,92
15061498,87.224,84
15061271,84.236,92
15062344,89.583,84
15061279,84.206,84
15062144,91.714,84
15061722,88.266,92
15061768,91.513,92
15061557,85.904,84
15061434,88.4,84
15060072,85.734,84
15061405,91.239,92
15062052,84,84
15062098,84,84
15061916,87.132,84
15061377,85.824,84
15061633,87.914,92
15061702,84.957,84
15061614,91.551,92
15061368,86.275,84
15061520,89.797,82
15060082,90.14,92
15061656,88.171,92
15061331,86.523,92
15061327,87.054,92
15062074,89.71,92
15061300,84.311,88
15061776,86.27,92
15061462,86.713,88
15061302,88.008,84
15061957,85.589,92
15061514,84.707,84
15060909,87.796,92
15062063,85.658,84
15060090,90.321,94
15061301,85.518,84
15061423,89.736,92
15061453,84.31,84
15060215,91.731,92
15062119,84.062,92
15061537,84.25,84
15061667,84.11,84
15062123,84.603,92
15061710,82.487,80
15061258,84.044,92
15061443,87.687,84
15060050,90.859,92
15060110,91.805,92
15062053,86.382,92
15061764,85.716,84
15061799,85.2,84
