,PREDICTED,ACTUAL
15060021,82.188,82
15060025,92.112,94
15060027,91.155,92
15060039,88.742,92
15060042,90.369,92
15060056,89.978,92
15060063,84.247,84
15060070,91.859,92
15060081,91.302,94
15060085,90.19,94
15060087,92.863,94
15060097,91.482,94
15060102,88.097,92
15060112,84.626,84
15060114,91.802,92
15060120,90.671,92
15060121,88.932,92
15060122,86.411,84
15060138,90.021,92
15060160,85.412,84
15060187,85.466,82
15060188,92.052,94
15060190,84.788,84
15060191,84.911,84
15060214,90.288,92
15060313,83.572,84
15060320,85.147,84
15060345,84,84
15060383,82.069,80
15060420,84.016,84
15060543,88.113,84
15060570,85.482,84
15060797,84.486,82
15060846,91.272,92
15060907,90.038,92
15060910,84.597,84
15060933,91.5,94
15060964,81.942,81
15061007,82.008,81
15061011,84.734,84
15061122,91.886,92
15061204,85.521,84
15061213,85.057,84
15061215,84.559,84
15061216,85.364,84
15061225,91.715,92
15061226,90.051,92
15061228,84.829,84
15061237,92.046,95
15061256,90.272,92
15061257,85.91,84
15061259,91.937,92
15061260,90.063,92
15061262,84.85,84
15061263,85.383,84
15061264,84.919,84
15061265,89.783,92
15061270,84.054,84
15061273,87.556,84
15061274,85.231,84
15061277,90.156,92
15061282,92.161,92
15061283,84.591,84
15061286,84.306,84
15061288,88.967,92
15061289,84.605,84
15061290,90.58,92
15061291,85.869,84
15061293,85.411,84
15061295,89.041,92
15061296,84.435,84
15061298,85.434,84
15061299,91.806,92
15061303,89.238,92
15061307,84.775,84
15061312,88.167,92
15061313,84.897,84
15061314,84.117,84
15061317,84.485,84
15061318,90.463,92
15061319,89.054,92
15061320,87.922,84
15061323,91.628,92
15061324,85.433,84
15061329,83.815,82
15061334,85.188,84
15061335,84.883,84
15061337,85.564,84
15061338,91.922,92
15061340,87.748,84
15061344,85.43,84
15061345,84.014,84
15061346,84.005,84
15061347,84.36,84
15061348,84.612,84
15061349,85.291,84
15061350,85.064,82
15061352,84.048,84
15061353,86.377,92
15061355,84.521,84
15061356,91.741,92
15061357,84.389,84
15061358,85.703,84
15061360,84.507,84
15061364,84.453,84
15061365,85.745,84
15061367,88.222,92
15061369,89.227,92
15061376,84,84
15061378,84.749,84
15061380,84.986,84
15061382,91.979,92
15061383,84.848,84
15061384,91.78,92
15061388,89.878,92
15061390,86.13,84
15061391,84.746,84
15061392,85.359,84
15061394,84.95,84
15061396,87.079,92
