probIn scale
0.01043546 1569.062
0.01531567 1557.77
0.00732447 1615.13
0.01408522 1836.755
0.01418878 2037.779
0.01208546 1993.305
0.012602 2155.379
0.00868587 2088.646
0.006931711 1968.483
0.004231113 2045.891
0.005250995 2086.739
0.007032565 2146.132
0.004680731 2255.103
0.005037184 2155.228
0.01228225 2066.447
0.005965705 1979.263
0.01364782 2157.879
0.008965864 2436.202
0.004019512 2647.421
0.007585651 2689.711
0.007320817 2666.137
0.008706814 2599.702
0.005527833 2475.049
0.00744776 2599.154
0.004115566 2524.209
0.007391666 2425.21
0.0120533 2444.966
0.01385836 2255.952
0.006645388 2394.062
0.009514256 2558.916
0.004970332 2654.804
0.005839272 2636.403
0.001992444 2410.648
0.003853377 2414.458
0.009593151 2388.729
0.005505469 2317.634
0.006606941 2373.638
0.00390971 2312.577
0.00713088 2448.93
0.006472834 2269.592
0.005322559 2293.668
0.008758521 2337.408
0.004693443 2308.077
0.002832352 2168.97
0.007610896 2267.442
0.001889702 2171.044
0.005833279 2059.27
0.01172743 2159.987
0.005235573 2077.262
0.003129779 2269
0.008110197 2362.314
0.006554095 2543.477
0.007887814 2286.361
0.008331012 2463.555
0.006685914 2261.586
0.01075704 2064.894
0.01273298 2111.793
0.0148464 2199.665
0.006523081 2350.371
0.007954889 2413.586
0.01227323 2617.556
0.01467948 2999.131
0.01207991 3028.248
0.01535231 2972.967
0.002961932 2881.481
0.01572876 2943.946
0.0120759 3075.597
0.01540574 2635.914
0.01071833 2578.562
0.01569155 2629.008
0.01103525 2850.6
0.0168126 2905.992
0.01140237 2915.375
0.01648869 2906.276
0.005830052 2880.579
0.01691577 2734.411
0.01343184 2367.987
0.01827444 2176.385
0.02551925 1981.737
0.009524648 1939.377
0.01293758 1893.384
0.009034175 1934.648
0.01637944 1928.944
0.008706905 1952.906
0.01495829 2002.569
0.01423945 2140.282
0.01472273 2248.754
0.01281036 2050.034
0.02018144 2114.436
0.01329635 2277.004
0.01542583 2134.806
0.004492851 2226.036
0.008834674 2429.269
0.007524648 2481.293
0.01245552 2238.102
0.00922207 2336.951
0.01194495 2220.552
0.01872414 2011.909
0.01199146 2067.855
0.01879799 2091.313
0.01584165 2058.604
0.01672138 1906.003
0.01943214 1799.973
0.0274189 1847.144
0.03495813 1768.702
0.01872479 1825.036
0.02666947 1851.124
0.0318406 2024.874
0.02669574 2054.431
0.01555309 2008.721
0.01911223 1908.787
0.0159672 1920.252
0.02621554 1762.653
0.02293573 1889.364
0.02383883 1830.053
0.01626925 2154.739
0.01591832 2196.045
0.02449514 2177.531
0.02095772 2078.336
0.01279547 2079.435
0.01350844 2156.151
0.01234798 1977.211
0.01211955 1992.625
0.01820579 1926.866
0.01278916 1921.112
0.02114543 1678.432
0.01468696 1870.778
0.01556496 1946.09
0.01330211 2094.14
0.01405172 2266.382
0.008664615 2052.451
0.01197679 2254.983
0.01392219 2052.054
0.02055517 2200.661
0.02307847 2172.18
0.02636432 2303.185
0.006817241 2394.345
0.01109881 2289.129
0.005378477 2340.826
0.009754652 2351.185
0.009399123 2309.089
0.02146169 2178.355
0.0124116 2126.877
0.01013117 2148.289
0.0239997 2293.619
0.02536824 2321.994
0.03134871 2190.875
0.03007988 2021.4
0.01666732 1858.051
0.02069553 1870.184
0.0148145 1942.358
0.01870247 1790.684
0.01008074 1815.613
0.01880591 1803.015
0.0138347 1799.882
0.0183629 1912.801
0.01483495 1885.629
0.01778659 2036.376
0.01315784 1989.033
0.01261904 1933.626
0.01701757 1842.397
0.0177313 1893.462
0.0119699 2037.252
0.01906319 1998.449
0.0130353 2133.913
0.006207427 1984.727
0.008627056 2007.052
0.02752901 2008.953
0.01249808 1945.26
0.007852673 1935.48
0.0139629 1918.191
0.005557809 1937.551
0.01133036 1835.173
0.00347487 1940.024
0.005934287 1826.42
