,PREDICTED,ACTUAL
15060021,26.40659,22
15060025,33.40238,34
15060027,33.66757,37
15060039,34.1184,43
15060042,29.96907,23
15060056,31.47114,28
15060063,31.96612,37
15060070,28.86689,33
15060081,31.87107,22
15060085,32.07072,28
15060087,28.82472,28
15060097,28.48036,22
15060102,29.15285,43
15060112,34.11062,33
15060114,34.49129,36
15060120,31.3396,33
15060121,32.41938,22
15060122,32.03848,36
15060138,35.2578,43
15060160,33.74591,36
15060187,30.68709,28
15060188,29.67497,30
15060190,34.52079,36
15060191,27.938,28
15060214,32.73232,36
15060313,32.25564,36
15060320,31.32811,28
15060345,34.80611,23
15060383,32.32203,34
15060420,34.8789,36
15060543,34.20927,36
15060570,33.75844,36
15060797,33.12272,36
15060846,32.01904,39
15060907,31.10936,28
15060910,35.03179,38
15060933,34.18895,38
15060964,33.14568,36
15061007,33.17989,34
15061011,33.37856,34
15061122,31.99066,33
15061204,33.32137,34
15061213,33.88167,33
15061215,33.84616,28
15061216,32.36562,33
15061225,34.54943,36
15061226,34.62663,36
15061228,28.47616,23
15061237,34.13598,36
15061256,33.04591,33
15061257,31.16284,26
15061259,28.85971,33
15061260,33.37916,33
15061262,26.74225,22
15061263,29.64386,37
15061264,28.31016,22
15061265,32.38583,26
15061270,34.0242,36
15061273,32.32016,28
15061274,33.15558,36
15061277,32.64111,34
15061282,34.45482,38
15061283,34.16591,37
15061286,34.04002,36
15061288,33.77662,30
15061289,34.01857,38
15061290,28.4454,22
15061291,33.74592,33
15061293,33.02487,36
15061295,31.74023,33
15061296,32.19585,28
15061298,33.05874,33
15061299,34.57062,36
15061303,31.12627,22
15061307,28.54623,28
15061312,33.82755,22
15061313,27.8534,22
15061314,35.68606,36
15061317,26.88018,22
15061318,33.13582,36
15061319,33.45235,33
15061320,35.32439,36
15061323,34.26785,22
15061324,27.75471,23
15061329,32.8173,39
15061334,31.62785,22
15061335,33.80928,36
15061337,34.09192,34
15061338,28.83015,23
15061340,28.80334,28
15061344,34.12105,36
15061345,35.00061,58
15061346,34.89529,55
15061347,31.87435,36
15061348,34.13317,28
15061349,31.33297,22
15061350,33.96834,55
15061352,32.04631,43
15061353,34.13578,33
15061355,34.14992,36
15061356,32.0318,36
15061357,32.94018,38
15061358,33.37186,28
15061360,34.12693,43
15061364,34.11993,28
15061365,34.01062,42
15061367,33.94578,36
15061369,32.51209,37
15061376,34.88323,37
15061378,33.74516,36
15061380,31.77086,28
15061382,34.42635,38
15061383,34.11666,23
15061384,28.86966,33
