,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,30.503,30.024,29.922,30.488,29.826,30.71,29.69709,30.467,29.396,30.549,27.64,27.775
15060025,36.974,36.807,36.983,36.978,36.996,36.872,36.6981,36.552,36.597,36.858,41.361,37.896
15060027,33.504,33.08,33.104,33.448,33.051,33.436,33.03761,33.29,32.445,33.411,30.639,30.942
15060039,35.894,36.002,35.779,35.854,35.754,35.661,35.52401,35.566,35.619,35.582,32.636,33.093
15060042,33.209,33.82,33.001,33.192,32.893,33.277,32.79022,33.057,33.472,33.199,30.336,30.051
15060056,33.77,32.814,33.455,33.932,33.393,33.589,33.10058,33.919,31.028,33.876,27.637,30.464
15060063,37.285,38.148,37.771,37.244,37.918,37.499,38.1586,37.265,37.74,37.245,40.778,40.467
15060070,30.74,30.634,30.473,30.719,30.406,30.811,30.72079,30.815,30.573,30.774,29.91,30.434
15060081,36.461,36.931,36.323,36.523,36.283,36.359,35.49706,35.472,37.184,36.224,30.637,31.768
15060085,31.505,31.883,31.009,31.552,30.931,32.885,31.05713,32.021,31.794,32.01,27.637,29.107
15060087,30.662,30.587,30.356,30.64,30.282,30.811,30.62105,30.767,30.573,30.691,29.375,29.792
15060097,40.007,40.365,40.383,39.996,40.384,40.646,41.81432,39.148,40.591,40.718,41.363,40.178
15060102,31.321,30.72,30.838,31.334,30.759,31.284,30.82703,31.175,31.247,31.178,29.547,32.786
15060112,34.478,34.654,34.507,34.442,34.546,34.513,34.71824,34.613,34.64,34.441,33.712,31.299
15060114,33.157,33.256,32.976,33.139,32.923,32.895,32.47542,33.027,33.366,32.948,30.184,30.325
15060120,35.7,34.876,35.936,35.625,36.146,35.676,36.06628,35.691,33.855,35.722,41.361,39.117
15060121,35.475,34.891,35.406,35.411,35.385,35.365,35.25293,34.973,35.627,35.258,35.508,32.883
15060122,35.362,35.407,35.327,35.377,35.235,35.414,35.17532,35.268,35.175,35.405,41.67,39.401
15060138,35.072,36.024,35.252,35.125,35.311,35.202,35.14724,35.048,35.589,34.95,36.363,36.495
15060160,36.779,36.573,36.939,36.884,37.139,36.827,38.62279,37.154,35.312,37.258,41.363,40.473
15060187,32.671,33.106,32.345,32.92,32.208,32.23,31.1438,32.35,31.76,32.201,27.637,28.219
15060188,31.662,31.366,31.263,31.651,31.192,31.228,31.11251,31.066,31.155,31.049,27.637,29.114
15060190,37.413,36.821,37.688,37.323,37.72,37.338,37.30817,36.851,36.289,37.072,37.638,38.084
15060191,37.132,38.281,37.565,37.033,37.515,37.128,38.16998,37.789,38.063,37.231,41.362,40.808
15060214,37.739,38.146,38.179,37.806,38.072,38.315,38.26671,38.287,38.647,38.203,41.362,39.95
15060313,37.565,37.935,38.257,37.646,38.385,37.799,39.18807,38.096,37.327,37.791,42.717,44.124
15060320,37.592,37.19,38.189,37.526,38.386,37.471,38.04606,37.747,37.348,37.503,41.364,41.053
15060345,36.981,37.116,37.095,36.939,37.116,37.059,37.17185,36.998,36.716,36.942,39.799,37.129
15060383,37.578,37.936,38.231,37.664,38.394,37.889,39.20226,38.078,37.355,37.845,40.365,40.899
