SAMPLES,GEBVs(BRR),ACTUAL
15062362,35.161,35
15061954,38.519,41
15062339,32.588,37
15061482,37.184,29
15062104,37.457,30
15061707,33.526,36
15061567,33.096,25
15061964,33.197,41
15061488,35.163,35
15061438,35.202,32
15061814,31.728,42
15061721,34.584,39
15061601,35.121,43
15061719,33.124,28
15061629,35.145,28
15061477,35.485,24
15061761,33.039,20
15061336,34.805,42
15061386,34.481,42
15061305,35.837,36
15061676,35.107,36
15061523,37.904,42
15061763,33.292,42
15061385,37.56,41
15062133,35.318,41
15061333,33.979,32
15061627,33.664,28
15061731,35.165,36
15061641,31.842,35
15061330,31.69,41
15061626,31.23,42
15062147,36.069,37
15061487,35.738,42
15060536,34.705,35
15061261,33.828,29
15061389,35.169,47
15060101,33.184,42
15061397,37.618,37
15061551,37.337,29
15061539,37.554,22
15062115,30.521,8
15061361,35.162,35
15061669,35.851,37
15062359,35.364,36
15061690,35.135,36
15061308,35.16,42
15062372,33.952,35
15061342,35.176,42
15061281,36.388,42
15061932,35.068,29
15061370,38.474,41
15061630,35.168,42
15061789,37.008,32
15061666,33.093,11
15062143,35.014,42
15061297,33.59,47
15061907,31.124,8
15061538,37.482,47
15062371,33.766,33
15061685,34.939,33
15062081,33.984,25
15061969,34.511,29
15061498,35.599,41
15061271,36.757,42
15062344,35.877,42
15061279,32.609,42
15062144,37.523,42
15061722,35.726,32
15061768,35.785,36
15061557,33.875,42
15061434,36.05,42
15060072,36.588,35
15061405,29.089,35
15062052,38.489,41
15062098,38.432,47
15061916,35.117,35
15061377,33.809,37
15061633,34.584,36
15061702,36.125,36
15061614,28.894,30
15061368,34.576,16
15061520,37.232,41
15060082,34.398,22
15061656,35.776,26
15061331,36.011,39
15061327,33.79,42
15062074,34.892,26
15061300,30.601,11
15061776,37.237,29
15061462,30.374,22
15061302,36.581,42
15061957,37.078,41
15061514,33.864,41
15060909,34.973,37
15062063,35.209,8
15060090,33.67,32
15061301,36.094,42
15061423,37.706,41
15061453,30.443,42
15060215,29.052,41
15062119,37.397,35
15061537,33.198,30
15061667,34.864,25
15062123,33.732,37
15061710,35.173,36
15061258,33.082,41
15061443,37.174,39
15060050,33.578,34
15060110,37.512,47
15062053,35.973,41
15061764,36.347,16
15061799,33.127,8
