,PREDICTED,ACTUAL
15060021,73.252,84
15060025,112.474,5
15060027,143.513,83
15060039,102.635,96
15060042,108.604,96
15060056,201.178,350
15060063,66.927,6
15060070,101.221,96
15060081,97.583,7
15060085,156.535,83
15060087,102.703,84
15060097,75.366,85
15060102,111.394,96
15060112,101.781,83
15060114,109.006,83
15060120,101.428,6
15060121,74.955,86
15060122,96.105,83
15060138,111.177,83
15060160,85.419,84
15060187,142.613,93
15060188,110.005,328
15060190,78.753,53
15060191,51.572,12
15060214,49.457,12
15060313,64.918,10
15060320,50.72,21
15060345,73.732,17
15060383,64.599,17
15060420,74.652,83
15060543,114.664,85
15060570,121.735,14
15060797,105.149,86
15060846,96.079,84
15060907,102.405,86
15060910,67.65,96
15060933,114.319,84
15060964,103.53,85
15061007,105.083,83
15061011,111.904,10
15061122,95.743,83
15061204,207.56,328
15061213,101.89,83
15061215,101.767,96
15061216,141.654,84
15061225,112.33,85
15061226,176.949,333
15061228,80.055,93
15061237,110.941,84
15061256,139.143,83
15061257,120.925,83
15061259,102.181,86
15061260,112.792,83
15061262,90.229,69
15061263,82.174,86
15061264,98.849,10
15061265,107.104,96
15061270,70.008,83
15061273,104.975,14
15061274,84.497,85
15061277,73.5,17
15061282,113.994,71
15061283,102.025,96
15061286,90.545,83
15061288,101.72,93
15061289,102.017,83
15061290,28.406,10
15061291,90.264,96
15061293,144.612,318
15061295,150.398,318
15061296,97.553,83
15061298,95.515,96
15061299,111.362,80
15061303,52.682,10
15061307,81.151,93
15061312,90.304,83
15061313,50.356,17
15061314,81.388,86
15061317,91.569,83
15061318,110.197,96
15061319,113.696,69
15061320,33.386,16
15061323,111.598,346
15061324,75.467,85
15061329,92.711,96
15061334,108.363,85
15061335,196.248,346
15061337,101.13,22
15061338,101.155,83
15061340,102.155,83
15061344,89.505,41
15061345,71.226,83
15061346,72.758,84
15061347,86.482,96
15061348,100.303,84
15061349,159.981,328
15061350,89.229,83
15061352,89.749,346
15061353,101.342,85
15061355,101.619,86
15061356,96.986,342
15061357,93.051,83
15061358,112.334,346
15061360,102.142,96
15061364,100.805,86
15061365,100.592,83
15061367,99.866,83
15061369,76.313,41
15061376,74.14,83
15061378,195.132,342
15061380,87.098,85
15061382,111.425,83
15061383,101.883,25
15061384,102.782,86
15061388,114.218,80
15061390,89.353,86
15061391,87.724,86
15061392,182.929,346
15061394,91.14,83
15061396,90.746,86
15061404,87.736,93
15061406,101.318,84
15061410,52.151,84
15061411,96.914,93
15061414,87.218,5
15061415,69.709,96
15061417,88.69,85
15061418,87.779,3
15061419,102.68,96
15061420,33.386,3
15061421,114.417,83
15061422,112.243,86
15061424,112.459,96
15061425,74.456,96
15061428,75.442,96
15061430,74.796,85
15061435,104.775,0
15061436,50.954,96
15061437,152.575,342
15061439,152.179,359
15061441,152.038,313
15061442,98.053,93
15061444,62.31,96
15061445,150.663,0
15061447,113.029,96
15061449,95.716,96
15061454,95.505,96
15061458,72.84,85
15061459,87.372,96
