probIn scale
0.02339419 32.57297
0.01727206 31.66119
0.02037021 36.23507
0.02346747 41.04525
0.01989918 47.11213
0.01480072 53.509
0.006632294 51.47626
0.01905041 52.03723
0.01323366 49.96722
0.02060725 47.38942
0.01308092 40.92745
0.01388358 42.24487
0.0158303 45.05151
0.01376102 41.68561
0.01750539 40.60096
0.01646484 37.18855
0.02731983 34.96431
0.0176771 38.69178
0.02428036 36.57388
0.02163954 34.45783
0.02592797 34.14191
0.02751499 36.28668
0.02730432 37.20287
0.02592968 38.76647
0.03787138 37.91158
0.02081699 35.83186
0.04788391 36.31708
0.03252882 38.96223
0.023641 44.96722
0.02782524 46.96248
0.02290389 49.73615
0.01432673 49.31541
0.02621055 50.13101
0.02265856 44.89235
0.02096779 45.8112
0.01773937 50.94863
0.02864889 50.86382
0.02929275 45.67572
0.03281493 46.66005
0.03428602 54.39032
0.03261258 58.10831
0.0371228 60.65913
0.04020278 59.90393
0.0346507 60.81067
0.03124256 56.81022
0.0315231 63.35105
0.02811765 59.88237
0.03126759 55.91987
0.02307029 53.91623
0.02337261 56.98087
0.02389507 59.22156
0.02575256 57.04171
0.03502705 55.04934
0.01721373 56.27104
0.01900817 50.31618
0.01945794 52.35455
0.02189381 51.8353
0.01417168 49.92709
0.01758632 46.47489
0.01616119 45.73824
0.01166812 45.60493
0.01437181 40.43806
0.01329608 36.94716
0.01675382 37.72921
0.0194742 33.36138
0.03113956 33.9975
0.03170889 33.0533
0.02676486 31.53392
0.02097236 32.08492
0.01692901 31.18503
0.02786398 29.76066
0.02078189 29.58103
0.01837426 30.17983
0.02632557 31.48055
0.0198683 30.71185
0.02661485 30.45394
0.01641049 34.41158
0.01189305 36.05586
0.01265552 37.43324
0.0125668 34.28548
0.01882406 34.55771
0.01958577 35.12881
0.01543001 38.37734
0.02289475 38.0888
0.01533391 36.16173
0.01937066 34.7074
0.0213699 36.43124
0.01685001 39.02756
0.01880004 36.6785
0.0241787 33.77292
0.02836568 34.60329
0.02277604 34.64906
0.03244607 32.12996
0.03381215 28.88025
0.02333796 30.53553
0.02486299 34.27797
0.01357388 35.10442
0.03567176 33.64593
0.03193701 33.52627
0.03147107 36.83851
0.02916865 37.72428
0.01574786 36.61391
0.01140425 36.82926
0.009323232 38.24191
0.01098363 37.11112
0.01612988 34.86829
0.01121125 36.30013
0.01614803 35.79688
0.01541193 35.71081
0.02460457 34.44053
0.03300555 35.50407
0.02548096 37.29331
0.03330548 39.16369
0.05624312 38.88776
0.03348363 38.56966
0.0172489 33.41579
0.02596279 33.44781
0.03121415 34.7254
0.01977563 31.72784
0.0307118 29.65539
0.02538644 30.90242
0.02259875 27.02172
0.03470796 27.25858
0.03502687 28.74035
0.02988481 28.73493
0.02145268 28.3647
0.02429105 27.01223
0.01932127 30.15684
0.02243831 30.44582
0.02977819 32.25656
0.02703617 32.65878
0.0354323 32.8802
0.03384878 30.55945
0.03147674 29.44233
0.04302552 31.26922
0.04877407 32.98054
0.04739042 31.38018
0.0357855 26.85082
0.02976552 27.40557
0.01745397 28.3069
0.01725482 29.71463
0.02119795 29.51569
0.02359329 30.6531
0.01884377 28.57626
0.02296119 28.3924
0.01794485 31.88916
0.02924321 32.68409
0.02132349 33.68322
0.0470942 33.69332
0.03027038 32.6451
0.03101419 34.95658
0.03752512 35.57694
0.03150801 36.51375
0.03538024 34.39257
0.03635962 33.16713
0.03281004 34.92718
0.0305598 31.73979
0.0304875 34.43756
0.02886692 33.2435
0.04297991 34.97782
0.03810134 30.72928
0.04521423 31.60854
0.03193749 33.86098
0.02371653 35.12844
0.03015971 30.71162
0.02774396 30.76917
0.04315029 29.04421
0.0426087 32.1346
0.03755245 32.19581
0.05051849 31.11335
0.02656995 31.47045
0.03213858 32.41393
0.02876927 33.75662
0.02423241 33.3393
0.02743954 31.92487
0.02199755 31.02416
0.02947238 32.86191
0.03276383 32.91067
0.02596951 31.22741
0.03162036 30.71979
0.03525246 32.81318
0.02520626 32.04656
0.03384989 34.11747
0.01693236 36.89599
0.02271032 39.25685
0.04087165 37.37852
0.02425959 39.15626
0.02456239 34.28065
0.03011548 33.14582
0.03291001 32.59069
0.04414679 34.90768
0.03718251 34.92316
0.03127062 32.18789
0.03597559 27.67733
0.02517527 25.92788
0.04148212 28.47852
0.02913753 29.59968
0.01766495 26.74849
0.01166909 26.58251
0.021355 27.40451
0.01882615 26.92851
0.02350065 26.37589
0.03425011 24.91818
0.02509658 24.75905
0.02822198 22.80579
0.03167194 22.63076
0.02658496 23.00379
0.02253603 24.90078
0.02601919 24.99544
0.05113956 23.43875
0.0530987 23.88209
0.0671197 24.55434
0.05179502 24.568
0.03070174 25.80802
0.04604937 28.15417
0.04715405 29.15385
0.04332007 30.87864
0.02956067 31.44996
0.0255367 32.35054
0.03134277 31.42719
0.01975328 30.29908
0.03165931 31.28721
0.03060047 32.43658
0.01654898 29.67663
0.02094087 31.06314
0.0196126 30.11906
0.01156555 29.77602
0.02020522 28.39884
0.01963567 30.86466
0.03474627 30.51024
0.04369375 29.03625
0.02773948 29.14948
0.02939586 29.14982
0.01230931 31.94505
0.01728066 32.63077
0.02316254 31.10235
0.03591349 35.78055
0.0262928 38.27005
0.0412749 40.33939
0.02935517 32.45864
0.0371607 33.11428
0.02726207 32.83121
0.04035014 28.66069
0.0325465 27.96437
0.04282812 31.27677
0.02443192 28.9494
0.0293609 28.65804
0.02193714 27.97407
0.02078135 26.24775
0.02225186 24.91371
0.03429138 25.54995
0.03380951 26.56127
0.03403769 26.04942
0.03169832 28.8543
0.03141602 32.21027
0.0343282 27.38362
0.0423303 26.79697
0.02487336 25.2176
0.03253097 24.32114
0.04499423 24.2466
0.02920413 23.44705
0.04273543 24.01321
0.04853338 23.67922
0.04123811 24.01449
0.06024205 22.86667
0.05056086 21.90509
0.03104751 20.44972
0.02324845 21.63448
0.02737227 21.70938
0.02704097 21.26867
0.04292779 17.78047
0.03541783 18.60089
0.02895736 18.53191
0.03425188 18.0357
0.04108112 18.47603
0.03116626 17.34623
0.0294301 17.88922
0.02619956 16.73992
0.02405785 16.77851
0.05661925 16.32663
0.05109291 18.16495
0.04760796 17.15829
0.0331375 15.21667
0.04182491 15.95804
0.03451976 15.35291
0.03269287 16.30454
0.04470107 16.18431
