,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15060021,21.567,22.84,21.787,21.455,21.593,21.125,21.61991,21.7,23.461,21.579,17.432,19.758
15060025,41.299,40.896,41.404,41.574,41.519,41.582,41.50438,41.427,40.358,41.091,42.56,43.559
15060027,22.153,23.188,22.229,22.385,22.235,22.125,21.80272,21.587,24.437,22.404,17.439,18.789
15060039,43.62,42.653,43.196,43.65,43.446,43.15,43.77901,43.371,42.017,43.196,43.115,44.013
15060042,26.635,26.641,26.819,27.154,26.912,26.913,26.29069,25.902,25.547,26.754,17.434,23.561
15060056,41.956,43.236,41.707,42.197,42.425,40.627,41.79109,40.877,43.943,40.73,42.566,39.897
15060063,17.193,15.115,17.273,17.01,16.851,16.631,16.15226,17.96,15.647,17.776,14.561,15.035
15060070,15.274,15.257,15.445,15.608,15.457,15.421,15.30628,14.926,15.418,16.081,14.561,15.182
15060081,41.123,40.936,40.808,40.597,40.56,39.491,40.52508,40.971,39.868,40.512,42.571,43.376
15060085,41.884,40.094,41.446,41.508,41.85,42.999,42.09486,41.38,40.321,41.374,42.564,42.03
15060087,15.225,15.032,15.438,15.473,15.369,15.421,15.23512,14.826,15.418,15.963,14.562,15.203
15060097,48.559,49.447,48.398,48.493,48.466,47.332,46.9078,43.067,50.248,47.952,42.563,40.75
15060102,38.824,38.484,38.792,38.945,38.889,37.999,39.13891,38.733,38.029,38.176,42.57,42.639
15060112,34.025,33.51,34.1,34.035,33.981,33.816,34.04052,33.941,33.322,33.798,42.364,34.408
15060114,39.453,39.639,39.227,39.333,39.213,38.422,39.04391,38.814,39.477,38.731,42.562,39.833
15060120,20.482,23.588,21.124,20.534,20.393,20.928,19.38447,19.96,24.92,20.829,17.436,20.597
15060121,42.474,42.962,42.207,42.144,42.387,43.075,42.04011,41.97,42.753,41.865,42.566,43.967
15060122,36.964,37.383,36.952,37.106,37.087,37.124,37.09551,37.521,37.478,37.329,42.569,38.721
15060138,23.311,23.065,23.908,22.861,23.106,25.605,22.85153,24.468,22.088,25.151,17.435,22.733
15060160,41.582,39.437,41.716,40.173,41.245,40.492,42.14967,40.569,38.843,40.269,42.565,34.935
15060187,29.519,27.19,29.6,29.883,29.752,28.759,29.80483,29.129,26.912,29.146,31.721,27.149
15060188,23.858,28.007,23.643,23.764,23.385,23.215,24.20615,26.923,25.351,23.654,42.569,35.493
15060190,33.42,36.123,33.424,33.687,33.507,33.078,33.27684,32.767,34.856,33.314,38.673,33.06
15060191,44.358,44.934,44.219,44.18,44.357,44.787,43.8727,44.011,45.566,44.406,42.72,43.96
15060214,44.557,48.678,44.398,44.4,44.122,42.948,43.63322,42.77,49.416,43.416,42.565,41.02
15060313,35.377,35.987,34.904,34.995,34.94,34.946,35.07122,34.904,35.815,34.295,42.564,36.882
15060320,40.958,41.148,40.911,41.172,41.17,41.407,41.30142,41.066,40.3,39.82,42.591,43.553
15060345,43.09,43.125,43.039,43.109,43.173,43.277,43.12434,43.119,42.787,42.7,42.721,44
15060383,35.461,35.427,34.973,34.938,35.031,35.624,35.13235,34.904,35.674,34.477,42.565,37.585
15060420,42.9,43.034,42.878,42.921,42.935,42.707,43.11293,43.005,42.787,42.493,42.565,44
15060543,41.865,40.96,41.754,41.712,41.939,42.072,41.96537,41.501,40.171,41.02,42.566,42.688
15060570,36.361,36.557,35.853,36.93,36.012,37.283,38.09939,37.954,36.377,36.41,42.562,39.371
15060797,35.148,35.603,34.985,35.319,35.185,35.493,37.56299,38.206,41.418,35.473,42.562,38.832
15060846,37.418,37.443,37.515,37.32,37.445,37.293,37.27728,37.302,37.478,37.22,42.564,41.475
15060907,23.155,20.738,23.878,23.086,23.597,24.034,21.99787,25.028,21.771,24.578,17.433,22.16
15060910,25.36,22.192,26.021,25.344,25.459,24.5,22.90828,23.799,24.243,26.527,17.435,18.632
15060933,41.923,41.012,41.829,41.708,41.974,41.926,42.00318,41.489,40.171,40.866,42.56,42.752
15060964,41.206,40.317,40.588,41.39,41.398,42.647,41.5618,40.781,42.244,40.602,42.566,42.199
15061007,41.267,40.56,40.669,41.572,41.516,42.32,41.71098,40.86,42.244,40.448,42.566,42.233
15061011,41.244,40.854,41.264,41.533,41.478,41.573,41.45489,41.651,40.659,41.165,43.747,43.705
15061122,37.207,37.399,37.196,37.244,37.136,37.056,37.20625,37.543,37.478,37.35,42.568,40.453
15061204,40.252,37.653,40.16,40.565,40.499,39.626,41.18008,41.419,37.034,39.928,42.571,38.795
15061213,43.525,42.69,43.167,43.347,43.249,42.962,43.57848,43.474,42.017,43.169,43.416,44.069
15061215,43.707,42.772,43.474,43.691,43.673,43.464,43.94408,43.65,42.017,43.452,43.426,44.07
15061216,38.144,40.781,37.899,37.712,38.007,39.902,39.01416,39.782,40.709,37.68,42.565,40.101
15061225,40.142,39.805,39.948,39.746,39.77,39.423,39.52827,39.166,39.477,39.304,42.562,40.444
15061226,44.344,48.64,43.481,43.934,43.283,41.525,43.25612,40.822,49.495,40.895,42.571,40.445
15061228,21.939,23.335,22.143,21.883,21.995,21.446,20.74379,22.241,24.908,22.527,17.437,18.712
15061237,41.802,40.989,41.646,41.72,41.818,41.867,41.78167,41.433,40.171,40.918,42.566,43.066
15061256,41.305,40.946,40.637,40.777,41.169,41.403,40.87535,39.765,40.161,40.053,42.562,40.001
15061257,28.866,28.454,29.481,28.374,28.524,27.232,27.11305,28.126,25.618,30.225,17.433,22.91
15061259,15.176,15.122,15.341,15.422,15.281,15.501,15.21748,14.881,15.418,16.007,14.56,15.136
15061260,41.455,40.871,41.46,41.619,41.581,41.398,41.52231,41.422,40.659,41.16,42.583,43.649
15061262,38.357,37.813,38.224,38.291,38.137,37.816,38.30422,38.334,37.531,38.099,42.565,39.768
15061263,41.145,38.132,41.841,42.15,42.412,42.647,42.07764,40.969,39.751,42.272,42.568,38.765
15061264,40.009,38.472,39.716,39.637,39.678,39.432,40.17785,40.707,39.956,40.513,42.571,41.224
15061265,42.146,43.682,42.048,42.324,42.056,41.685,42.05909,41.683,44.726,41.051,42.78,43.25
15061270,26.735,26.506,27.143,26.628,26.758,25.992,26.99334,27.366,26.26,27.606,21.191,30.375
15061273,42.191,43.777,42.071,42.36,42.069,41.919,42.07664,41.783,44.726,41.131,42.842,43.383
15061274,38.243,39.039,37.408,38.019,37.614,35.555,37.50995,37.097,41.538,35.78,42.562,38.854
15061277,44.621,45.523,44.916,44.318,45.072,46.544,44.3785,43.848,45.174,44.912,42.565,40.745
15061282,40.12,40.222,39.97,40,40.042,39.695,40.10533,40.058,40.19,39.995,43.152,43.203
15061283,33.883,33.549,33.965,34.023,33.972,33.858,33.98552,33.954,33.322,33.821,42.567,42.058
15061286,36.452,36.031,36.251,36.293,36.621,35.408,36.49004,35.942,37.017,36.202,42.56,39.93
15061288,42.77,42.437,42.524,42.693,42.568,42.352,43.10198,43.258,42.017,42.458,43.029,43.782
15061289,43.31,42.811,43.111,43.439,43.255,43.252,43.45051,43.384,42.017,43.053,43.228,43.999
15061290,43.877,44.217,43.369,43.063,43.454,41.835,43.43655,42.956,44.761,43.524,42.565,40.918
15061291,39.519,39.646,39.28,39.747,39.702,38.976,39.85864,39.85,39.913,38.54,42.566,43.351
15061293,20.076,23.629,19.961,19.89,19.884,19.732,20.43762,22.392,24.989,22.482,17.439,21.07
15061295,19.202,16.214,19.317,18.642,18.976,17.892,19.39757,19.999,19.12,19.537,17.565,19.926
15061296,28.253,28.387,28.247,28.046,28.342,29.172,28.38107,28.775,29.362,28.052,27.278,26.921
15061298,38.304,36.106,37.621,37.691,37.609,35.447,38.00593,36.661,35.905,35.587,42.563,40.637
15061299,39.375,39.911,39.186,39.355,39.16,39.136,38.75766,38.356,39.477,38.978,34.324,24.605
15061303,45.349,45.458,45.308,45.665,45.452,45.182,44.54236,44.13,45.522,45.037,42.58,43.908
15061307,22.588,23.823,22.588,22.429,22.609,21.722,21.17584,22.377,25.573,22.851,17.434,18.971
15061312,39.733,39.769,39.662,39.965,40.029,39.012,40.04865,40.008,39.913,38.755,42.743,43.395
15061313,44.518,44.927,44.433,44.231,44.444,45.015,43.99533,43.923,45.566,44.529,42.629,43.91
15061314,36.58,35.917,36.368,36.706,36.639,35.003,37.69787,37.977,34.576,35.786,42.563,41.603
15061317,38.047,37.629,37.882,37.877,37.742,37.601,37.98462,38.209,37.23,37.724,42.636,38.35
15061318,33.071,37.986,32.629,32.866,32.551,34.565,33.20463,34.155,35.974,32.155,42.559,38.068
15061319,41.878,41.095,41.859,42.085,42.054,41.726,41.85382,41.642,40.659,41.506,42.881,43.79
15061320,42.994,43.494,43.087,43.114,43.191,43.854,43.37452,42.977,43.305,43.525,42.564,41.716
15061323,39.873,40.591,39.707,39.871,39.787,39.654,39.77588,39.838,40.19,39.896,42.561,41.23
15061324,42.823,43.585,42.674,42.243,42.808,41.796,43.18299,42.468,42.6,43.587,42.564,39.388
15061329,30.134,29.345,30.433,30.362,30.455,31.043,29.79531,29.839,30.176,30.799,30.869,23.22
15061334,37.446,37.526,37.178,36.729,37.048,34.906,36.80165,37.095,36.078,36.037,42.566,37.285
15061335,40.02,40.242,39.82,40.322,40.357,38.174,40.15722,39.967,40.3,38.89,42.668,42.493
15061337,34.2,33.523,34.297,34.227,34.169,34.095,34.27938,34.092,33.322,33.931,42.575,40.434
15061338,15.291,15.137,15.387,15.418,15.381,15.238,15.19818,14.953,15.418,15.975,14.563,12.757
15061340,15.026,15.157,15.224,15.313,15.159,14.902,15.07841,14.789,15.418,15.86,14.562,14.126
15061344,40.751,41.036,40.752,40.981,41.095,42.213,41.64076,41.536,40.652,40.812,42.565,43.278
15061345,43.53,43.217,43.428,43.573,43.607,43.859,43.60017,43.37,42.787,42.93,42.963,44
15061346,43.201,43.125,43.102,43.162,43.208,43.209,43.2775,43.166,42.787,42.669,42.907,44
15061347,22.752,23.67,22.825,23.042,22.851,22.147,22.4004,22.201,23.349,22.79,22.445,33.721
15061348,33.721,32.704,33.808,33.801,33.732,33.829,33.89999,33.841,33.322,33.704,42.566,42.103
15061349,39.034,40.53,38.656,39.052,38.986,38.936,38.8655,38.537,40.77,38.298,42.567,40.545
15061350,39.661,39.593,39.554,39.926,39.892,39.073,39.94508,40.006,39.913,38.657,42.589,43.072
15061352,17.501,17.192,17.6,17.577,17.458,17.658,17.44031,17.199,17.837,17.82,16.791,26.974
15061353,33.99,33.504,34.077,34.023,33.972,33.816,34.07871,33.936,33.322,33.785,42.409,38.875
15061355,33.962,33.506,33.96,33.986,33.877,33.743,34.03182,33.896,33.322,33.799,41.415,27.275
15061356,37.239,37.418,37.333,37.256,37.273,37.183,37.05762,36.715,37.478,36.99,39.179,41.359
15061357,30.606,29.549,30.793,30.986,31.039,31.865,30.30024,30.178,30.176,31.283,31.729,23.36
15061358,41.285,40.931,41.346,41.513,41.544,41.618,41.45762,41.321,40.358,41.126,42.559,43.504
