Prefix,HCL_component,Traits,Models,Predictive_ability
CBaya,C,CBaya.C,BA,0.411
CBaya,C,CBaya.C,BA,0.063
CBaya,C,CBaya.C,BA,0.077
CBaya,C,CBaya.C,BA,-0.064
CBaya,C,CBaya.C,BA,0.303
CBaya,C,CBaya.C,BA,0.182
CBaya,C,CBaya.C,BA,-0.038
CBaya,C,CBaya.C,BA,0.169
CBaya,C,CBaya.C,BA,0.077
CBaya,C,CBaya.C,BA,0.178
CBaya,C,CBaya.C,BA,0.075
CBaya,C,CBaya.C,BA,0.111
CBaya,C,CBaya.C,BA,0.176
CBaya,C,CBaya.C,BA,0.142
CBaya,C,CBaya.C,BA,-0.089
CBaya,C,CBaya.C,BA,0.14
CBaya,C,CBaya.C,BA,0.108
CBaya,C,CBaya.C,BA,0.131
CBaya,C,CBaya.C,BA,0.318
CBaya,C,CBaya.C,BA,0.061
CBaya,C,CBaya.C,BA,0.106
CBaya,C,CBaya.C,BA,0.247
CBaya,C,CBaya.C,BA,-0.011
CBaya,C,CBaya.C,BA,0.202
CBaya,C,CBaya.C,BA,0.129
CBaya,C,CBaya.C,BB,0.033
CBaya,C,CBaya.C,BB,-0.001
CBaya,C,CBaya.C,BB,0.321
CBaya,C,CBaya.C,BB,0.118
CBaya,C,CBaya.C,BB,0.02
CBaya,C,CBaya.C,BB,0.068
CBaya,C,CBaya.C,BB,0.217
CBaya,C,CBaya.C,BB,0.035
CBaya,C,CBaya.C,BB,0.163
CBaya,C,CBaya.C,BB,0.16
CBaya,C,CBaya.C,BB,0.084
CBaya,C,CBaya.C,BB,0.018
CBaya,C,CBaya.C,BB,0.144
CBaya,C,CBaya.C,BB,0.407
CBaya,C,CBaya.C,BB,0.128
CBaya,C,CBaya.C,BB,0.186
CBaya,C,CBaya.C,BB,0.201
CBaya,C,CBaya.C,BB,0.155
CBaya,C,CBaya.C,BB,-0.001
CBaya,C,CBaya.C,BB,0.178
CBaya,C,CBaya.C,BB,0.146
CBaya,C,CBaya.C,BB,0.027
CBaya,C,CBaya.C,BB,0.338
CBaya,C,CBaya.C,BB,0.178
CBaya,C,CBaya.C,BB,0.081
CBaya,C,CBaya.C,BC,0.148
CBaya,C,CBaya.C,BC,0.15
CBaya,C,CBaya.C,BC,0.239
CBaya,C,CBaya.C,BC,0.273
CBaya,C,CBaya.C,BC,-0.108
CBaya,C,CBaya.C,BC,0.012
CBaya,C,CBaya.C,BC,0.193
CBaya,C,CBaya.C,BC,0.226
CBaya,C,CBaya.C,BC,0.039
CBaya,C,CBaya.C,BC,0.094
CBaya,C,CBaya.C,BC,-0.025
CBaya,C,CBaya.C,BC,0.149
CBaya,C,CBaya.C,BC,0.144
CBaya,C,CBaya.C,BC,0.06
CBaya,C,CBaya.C,BC,0.339
CBaya,C,CBaya.C,BC,0.104
CBaya,C,CBaya.C,BC,0.227
CBaya,C,CBaya.C,BC,0.054
CBaya,C,CBaya.C,BC,0.094
CBaya,C,CBaya.C,BC,0.144
CBaya,C,CBaya.C,BC,-0.038
CBaya,C,CBaya.C,BC,0.102
CBaya,C,CBaya.C,BC,0.016
CBaya,C,CBaya.C,BC,0.181
CBaya,C,CBaya.C,BC,0.069
CBaya,C,CBaya.C,BL,0.05
CBaya,C,CBaya.C,BL,0.201
CBaya,C,CBaya.C,BL,0.013
CBaya,C,CBaya.C,BL,0.193
CBaya,C,CBaya.C,BL,0.237
CBaya,C,CBaya.C,BL,0.16
CBaya,C,CBaya.C,BL,0.036
CBaya,C,CBaya.C,BL,0.159
CBaya,C,CBaya.C,BL,0.187
CBaya,C,CBaya.C,BL,0.158
CBaya,C,CBaya.C,BL,0.112
CBaya,C,CBaya.C,BL,0.074
CBaya,C,CBaya.C,BL,0.038
CBaya,C,CBaya.C,BL,0.202
CBaya,C,CBaya.C,BL,0.272
CBaya,C,CBaya.C,BL,0.157
CBaya,C,CBaya.C,BL,0.124
CBaya,C,CBaya.C,BL,0.198
CBaya,C,CBaya.C,BL,0.176
CBaya,C,CBaya.C,BL,0.073
CBaya,C,CBaya.C,BL,0.193
CBaya,C,CBaya.C,BL,0.052
CBaya,C,CBaya.C,BL,0.033
CBaya,C,CBaya.C,BL,0.176
CBaya,C,CBaya.C,BL,0.125
CBaya,C,CBaya.C,BRR,0.12
CBaya,C,CBaya.C,BRR,0.33
CBaya,C,CBaya.C,BRR,0.156
CBaya,C,CBaya.C,BRR,0.069
CBaya,C,CBaya.C,BRR,0.004
CBaya,C,CBaya.C,BRR,0.125
CBaya,C,CBaya.C,BRR,0.223
CBaya,C,CBaya.C,BRR,0.068
CBaya,C,CBaya.C,BRR,0.069
CBaya,C,CBaya.C,BRR,0.246
CBaya,C,CBaya.C,BRR,0.255
CBaya,C,CBaya.C,BRR,0.213
CBaya,C,CBaya.C,BRR,0.18
CBaya,C,CBaya.C,BRR,0.07
CBaya,C,CBaya.C,BRR,0.168
CBaya,C,CBaya.C,BRR,0.163
CBaya,C,CBaya.C,BRR,0.034
CBaya,C,CBaya.C,BRR,0.211
CBaya,C,CBaya.C,BRR,0.167
CBaya,C,CBaya.C,BRR,0.146
CBaya,C,CBaya.C,BRR,0.282
CBaya,C,CBaya.C,BRR,0.086
CBaya,C,CBaya.C,BRR,0.103
CBaya,C,CBaya.C,BRR,0.331
CBaya,C,CBaya.C,BRR,-0.11
CBaya,C,CBaya.C,GBLUP,0.105
CBaya,C,CBaya.C,GBLUP,0.081
CBaya,C,CBaya.C,GBLUP,0.248
CBaya,C,CBaya.C,GBLUP,0.035
CBaya,C,CBaya.C,GBLUP,0.21
CBaya,C,CBaya.C,GBLUP,0.163
CBaya,C,CBaya.C,GBLUP,0.033
CBaya,C,CBaya.C,GBLUP,0.181
CBaya,C,CBaya.C,GBLUP,-0.052
CBaya,C,CBaya.C,GBLUP,0.349
CBaya,C,CBaya.C,GBLUP,0.044
CBaya,C,CBaya.C,GBLUP,-0.014
