SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.H,SecBrote.LCH.H.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061942,46.973,48,117.465,118,60.452,66,34.24718,26,318.182,314,33.177,33,53.054,46,320.877,323,54.666,57,27.272,46,123.598,9,37.472,39,17.212,18,78.591,90,87.715,84,5.417,7,248.749,318,92.845,94,34.953,42,134.837,96,66.023,80,32.774,44,202.327,117,45.27232,54
15061763,46.973,38,116.853,132,60.379,53,25.08952,20,306.728,307,32.323,26,49.177,48,322.908,315,43.723,59,26.172,22,76.773,344,44.273,27,19.376,26,74.705,94,84.909,84,8.83,7,212.133,318,94.582,96,32.296,42,157.964,0,61.911,45,24.058,16,294.661,359,36.49112,28
15061801,36.596,48,116.028,118,54.336,66,32.25732,47,316.265,352,43.212,36,44.355,26,310.139,302,54.584,75,35.366,29,94.173,17,55.421,50,9.749,6,79.558,71,87.793,92,8.033,4,173.75,41,91.89,94,33.514,42,68.234,96,56.557,80,39.965,44,140.752,117,47.54428,54
15061494,46.973,44,117.746,117,58.75,54,30.94942,26,313.767,314,36.798,33,41.378,58,315.504,322,46.98,43,21.112,8,247.263,313,54.623,29,16.113,6,85.589,71,87.765,92,8.1,7,206.376,318,94.809,94,30.731,29,112.802,7,49.947,30,24.716,16,233.375,359,36.10286,28
15061613,42.276,45,116.022,128,58.43,58,34.2905,26,318.572,314,40.745,33,50.067,49,318.572,320,46.381,54,28.155,33,162.667,10,43.73,43,8.32,4,72.684,41,90.221,94,5.297,7,272.609,318,95.956,96,33.586,20,109.674,78,70.183,86,42.107,44,121.73,117,54.28643,54
15062137,46.973,44,117.947,117,59.708,54,34.99536,55,300.604,329,41.508,36,52.289,58,323.928,322,46.856,43,19.85,16,193.142,3,39.965,30,16.218,6,84.249,71,86.735,92,11.421,4,177.38,41,85.765,94,35.444,41,82.798,86,70.08,80,27.17,16,255.283,359,39.14833,28
15061319,46.973,45,116.474,115,60.563,72,30.64327,20,310.636,307,33.732,26,45.186,42,311.283,312,55.121,49,32.104,41,101.391,21,51.186,44,19.399,6,91.915,71,84.27,92,4.829,5,221.819,344,95.829,95,35.697,40,100.665,69,61.738,66,38.397,44,140.644,117,48.90474,54
15062142,39.486,59,115.409,106,57.211,69,42.71481,57,330.006,327,40.75,45,48.461,58,319.099,322,49.688,43,38.288,41,55.25,86,63.357,80,11.371,6,69.157,71,87.134,92,5.929,4,198.518,41,97.725,94,35.301,39,41.215,17,58.875,43,44.429,44,128.228,117,62.00753,54
15060320,46.973,48,115.545,118,61.727,66,44.79042,53,324.559,346,41.297,39,49.709,57,324.728,327,46.729,45,39.944,42,171.667,96,44.751,80,14.027,18,84.502,90,88.004,84,5.675,4,150.414,41,96.954,94,32.218,39,58.352,21,56.872,48,38.992,44,174.397,117,46.51331,54
15061768,44.433,48,116.309,118,60.818,66,28.49953,49,312.884,301,33.776,36,44.968,58,322.378,322,39.301,43,25.233,33,222.52,10,49.685,43,6.553,6,74.368,71,91.226,92,4.298,7,193.563,318,94.143,96,35.881,36,97.898,83,72.674,79,40.825,44,177.477,117,49.28067,54
15061522,41.593,48,117.552,118,59.094,66,30.2493,20,317.496,307,40.02,26,52.288,58,313.076,322,43.424,43,26.548,47,87.593,85,37.957,76,20.425,6,80.722,71,86.511,92,7.401,4,207.474,344,92.363,94,37.143,32,96.644,14,73.151,38,26.595,16,242.772,359,37.89335,28
15060081,41.998,32,116.144,112,58.594,58,28.9153,20,308.625,307,40.246,26,40.364,45,309.666,305,65.287,52,31.646,41,86.167,86,53.218,80,19.399,5,91.915,52,85.152,94,7.602,5,294.59,344,91.257,95,35.134,29,75.602,7,64.845,30,40.572,44,137.338,117,51.07107,54
15061656,41.976,45,119.376,128,58.836,58,38.71003,42,318.052,316,37.744,41,38.237,36,252.293,309,52.41,66,38.12,36,128.983,346,62.486,42,7.972,6,88.513,71,88.38,92,6.855,5,253.534,344,97.916,95,32.881,26,36.814,80,59.984,82,43.411,38,118.442,132,53.70592,53
15061759,46.973,59,117.53,106,63.721,69,28.42711,40,310.538,308,32.357,38,43.547,58,318.499,312,43.353,33,34.296,45,131.769,83,55.51,77,11.932,26,79.558,94,86.592,84,4.559,7,213.166,318,94.889,96,30.895,16,209.877,3,60.446,30,42.226,44,130.3,117,53.44162,54
15061928,41.843,44,114.5,117,57.432,54,44.22203,35,310.538,303,44.401,65,47.235,57,327.916,327,45.212,45,25.646,11,128.917,328,49.695,30,14.336,6,77.531,71,87.242,92,6.263,7,290.152,318,94.436,96,34.718,41,115.756,86,62.486,80,33.673,16,195.187,359,40.72631,28
15061454,41.593,44,117.389,117,57.73,54,30.073,40,318.558,308,30.979,38,51.442,58,318.995,312,45.382,43,22.017,19,187.454,5,45.67,27,15.626,18,77.693,90,86.668,84,6.727,4,162.007,41,95.098,94,38.431,42,112.44,96,76.723,80,35.262,44,135.567,117,45.36661,54
15061605,41.976,48,119.164,118,59.542,66,44.01254,49,320.077,320,42.953,54,53.07,43,295.447,319,52.216,61,39.606,42,158.746,96,62.228,80,12.413,8,69.157,95,88.249,89,6.448,7,240.868,318,96.862,96,34.556,43,130.499,355,55.82,51,40.287,44,128.117,117,53.75624,54
