SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061942,48.169,48,116.121,118,60.491,66,29.538,26,323.219,314,34.114,33,52.708,46,321.384,323,51.24,57,31.695,46,112.551,9,46.119,39,15.942,18,81.612,90,87.663,84,6.064,7,92.579,94,34.926,42,122.407,96,63.1823,80,35.60254,44,175.993,117,47.056,54
15061763,45.593,38,116.16,132,61.318,53,22.789,20,307.032,307,31.345,26,51.328,48,323.292,315,43.95,59,29.229,22,78.693,344,47.638,27,20.651,26,75.654,94,84.274,84,6.064,7,94.053,96,34.191,42,159.726,0,57.4207,45,25.8715,16,291.855,359,37.452,28
15061801,35.684,48,115.703,118,53.236,66,34.428,47,321.915,352,44.055,36,43.923,26,314.2,302,51.652,75,32.663,29,94.862,17,46.026,50,9.578,6,80.267,71,87.792,92,5.549,4,92.655,94,35.029,42,90.221,96,52.52059,80,36.76736,44,132.16,117,50.947,54
15061494,46.029,44,117.377,117,58.324,54,27.002,26,311.933,314,36.986,33,41.02,58,316.559,322,44.895,43,25.826,8,185.469,313,53.302,29,16.361,6,88.717,71,87.434,92,6.946,7,96.803,94,30.25,29,118.426,7,56.39741,30,25.37496,16,210.618,359,37.104,28
15061613,43.516,45,116.538,128,58.196,58,36.081,26,319.001,314,40.924,33,48.431,49,319.182,320,46.347,54,30.62,33,161.086,10,45.014,43,9.075,4,70.297,41,89.782,94,5.76,7,96.472,96,33.492,20,116.888,78,67.81133,86,42.36162,44,110.654,117,54.336,54
15062137,45.534,44,118.914,117,59.904,54,33.853,55,307.032,329,42.022,36,51.914,58,323.884,322,47.575,43,20.43,16,176.437,3,40.136,30,15.572,6,86.163,71,86.643,92,13.147,4,86.279,94,34.89,41,84.772,86,69.8205,80,28.95813,16,247.057,359,39.697,28
15061319,46.688,45,116.381,115,60.879,72,28.581,20,310.237,307,32.859,26,43.089,42,311.611,312,58.348,49,30.896,41,127.609,21,49.129,44,20.79,6,92.514,71,84.258,92,6.311,5,95.002,95,35.94,40,102.214,69,60.52223,66,36.47441,44,141.615,117,51.098,54
15062142,43.576,59,115.414,106,58.025,69,39.488,57,325.392,327,41.98,45,50.048,58,319.491,322,52.005,43,37.575,41,59.212,86,62.555,80,11.941,6,75.703,71,87.178,92,6.567,4,96.472,94,37.031,39,17.924,17,65.7811,43,52.40004,44,131.623,117,53.555,54
15060320,46.956,48,116.357,118,62.084,66,46.92,53,323.219,346,41.474,39,51.696,57,326.037,327,43.276,45,38.671,42,156.35,96,47.788,80,13.195,18,83.238,90,87.802,84,6.133,4,96.102,94,33.897,39,90.773,21,57.8149,48,35.44691,44,166.32,117,48.511,54
15061768,46.426,48,116.538,118,59.858,66,30.909,49,323.219,301,33.053,36,45.791,58,321.725,322,41.595,43,25.522,33,215.821,10,42.293,43,6.43,6,71.757,71,91.549,92,5.481,7,94.851,96,35.921,36,98.134,83,73.35545,79,41.79272,44,154.619,117,52.246,54
