"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
5,"CBaya.C","CBaya","C","BRR",0.0798888888888889
5,"CBaya.H","CBaya","H","BA",0.033
5,"CBaya.L","CBaya","L","BA",0.0732222222222222
5,"CPBrote.C","CPBrote","C","RKHS",0.306555555555556
5,"CPBrote.H","CPBrote","H","RKHS",0.211222222222222
5,"CPBrote.L","CPBrote","L","RKHS",0.264333333333333
5,"CPFlor.C","CPFlor","C","RKHS",0.316555555555556
5,"CPFlor.H","CPFlor","H","RKHS",0.478888888888889
5,"CPFlor.L","CPFlor","L","RKHS",0.240777777777778
5,"CPTuber.C","CPTuber","C","RKHS",0.179666666666667
5,"CPTuber.H","CPTuber","H","BA",0.176333333333333
5,"CPTuber.L","CPTuber","L","RKHS",0.241333333333333
5,"CPulpa.C","CPulpa","C","RKHS",0.337111111111111
5,"CPulpa.H","CPulpa","H","BL",0.0825555555555555
5,"CPulpa.L","CPulpa","L","RKHS",0.175888888888889
5,"CSBrote.C","CSBrote","C","BA",0.0563333333333333
5,"CSBrote.H","CSBrote","H","RKHS",0.0956666666666667
5,"CSBrote.L","CSBrote","L","RKHS",0.198333333333333
5,"CSPulpa.C","CSPulpa","C","BL",0.122888888888889
5,"CSPulpa.H","CSPulpa","H","BRR",0.0425555555555556
5,"CSPulpa.L","CSPulpa","L","RKHS",0.0725555555555556
5,"CSTuber.C","CSTuber","C","RKHS",0.179444444444444
5,"CSTuber.H","CSTuber","H","RKHS",0.104
5,"CSTuber.L","CSTuber","L","",0
5,"CTallo.C","CTallo","C","RKHS",0.391888888888889
5,"CTallo.H","CTallo","H","BRR",0.120555555555556
5,"CTallo.L","CTallo","L","RKHS",0.325888888888889
10,"CBaya.C","CBaya","C","RKHS",0.049
10,"CBaya.H","CBaya","H","BA",0.0204444444444444
10,"CBaya.L","CBaya","L","RKHS",0.0904444444444445
10,"CPBrote.C","CPBrote","C","RKHS",0.463444444444444
10,"CPBrote.H","CPBrote","H","RKHS",0.267666666666667
10,"CPBrote.L","CPBrote","L","RKHS",0.273888888888889
10,"CPFlor.C","CPFlor","C","RKHS",0.452222222222222
10,"CPFlor.H","CPFlor","H","RKHS",0.695222222222222
10,"CPFlor.L","CPFlor","L","RKHS",0.384333333333333
10,"CPTuber.C","CPTuber","C","RKHS",0.264777777777778
10,"CPTuber.H","CPTuber","H","RKHS",0.207
10,"CPTuber.L","CPTuber","L","RKHS",0.277444444444444
10,"CPulpa.C","CPulpa","C","RKHS",0.360555555555556
10,"CPulpa.H","CPulpa","H","RKHS",0.277333333333333
