Samples,PriTuber.LCH.C
15061942,46
15061763,22
15061801,29
15061494,8
15061613,33
15062137,16
15061319,41
15062142,41
15060320,42
15061768,33
15061522,47
15060081,41
15061656,36
15061759,45
15061928,11
15061454,19
15061605,42
15060087,11
15061619,11
15060090,36
15061731,43
15061655,47
15061661,36
15061499,41
15061647,47
15061612,41
15061742,35
15061710,8
15062372,16
15061583,26
15061767,11
15062130,35
15061637,35
15061337,28
15062104,36
15061579,16
15061932,42
15061603,8
15060025,47
15061704,19
15061334,32
15061631,11
15060964,16
15061778,11
15061718,11
15061486,8
15060214,47
15061333,8
15061962,35
15061624,39
15061282,26
15061529,11
15061935,37
15061568,42
15061491,11
15061318,11
15061361,28
15061515,29
15062123,35
15061358,41
15061428,32
15061496,28
15061648,11
15061808,32
15061600,29
15061730,19
15061623,32
15061405,36
15061299,33
15061578,16
15061476,22
15061765,11
15062111,33
15061397,26
15061713,47
15061584,39
15061912,41
15061260,11
15062099,22
15061350,37
15060933,39
15061548,29
15061348,29
15061560,35
15061544,19
15061449,43
15062348,29
15061916,19
15062138,8
15061946,22
15061676,32
15060536,32
15061391,16
15061662,16
15061228,11
15061356,35
15061963,11
15061338,8
15062331,26
15062098,28
15062114,47
15062046,41
15062370,8
15061685,32
15061540,41
15061721,28
15062074,41
15062362,47
15061689,11
15061357,8
15061376,32
15061308,8
