"","nMarkers","HCLTraits","Traits","HCLs","Models","Means"
"1",1,"CBaya.C","CBaya","C","BA",0.08268
"2",1,"CBaya.H","CBaya","H","BL",0.1272
"3",1,"CBaya.L","CBaya","L","BL",0.05596
"4",1,"CPBrote.C","CPBrote","C","RKHS",0.5782
"5",1,"CPBrote.H","CPBrote","H","RKHS",0.1286
"6",1,"CPBrote.L","CPBrote","L","RKHS",0.46664
"7",1,"CPFlor.C","CPFlor","C","RKHS",0.64392
"8",1,"CPFlor.H","CPFlor","H","RKHS",0.81724
"9",1,"CPFlor.L","CPFlor","L","RKHS",0.6108
"10",1,"CPTuber.C","CPTuber","C","RKHS",0.50508
"11",1,"CPTuber.H","CPTuber","H","RKHS",0.4664
"12",1,"CPTuber.L","CPTuber","L","RKHS",0.4828
"13",1,"CPulpa.C","CPulpa","C","RKHS",0.51024
"14",1,"CPulpa.H","CPulpa","H","RKHS",0.30116
"15",1,"CPulpa.L","CPulpa","L","RKHS",0.46864
"16",1,"CSBrote.C","CSBrote","C","RKHS",0.2118
"17",1,"CSBrote.H","CSBrote","H","BA",0.25076
"18",1,"CSBrote.L","CSBrote","L","BRR",0.26472
"19",1,"CSPulpa.C","CSPulpa","C","RKHS",0.16144
"20",1,"CSPulpa.H","CSPulpa","H","RKHS",0.05484
"21",1,"CSPulpa.L","CSPulpa","L","RKHS",0.25092
"22",1,"CSTuber.C","CSTuber","C","BA",0.26144
"23",1,"CSTuber.H","CSTuber","H","RKHS",0.14388
"24",1,"CSTuber.L","CSTuber","L","RKHS",0.32536
"25",1,"CTallo.C","CTallo","C","RKHS",0.66368
"26",1,"CTallo.H","CTallo","H","RKHS",0.46516
"27",1,"CTallo.L","CTallo","L","RKHS",0.69456
"28",5,"CBaya.C","CBaya","C","BL",0.1318
"29",5,"CBaya.H","CBaya","H","BRR",0.10972
"30",5,"CBaya.L","CBaya","L","GBLUP",0.12676
"31",5,"CPBrote.C","CPBrote","C","RKHS",0.60424
"32",5,"CPBrote.H","CPBrote","H","RKHS",0.28872
"33",5,"CPBrote.L","CPBrote","L","RKHS",0.46772
"34",5,"CPFlor.C","CPFlor","C","RKHS",0.61812
"35",5,"CPFlor.H","CPFlor","H","RKHS",0.85884
"36",5,"CPFlor.L","CPFlor","L","RKHS",0.6314
"37",5,"CPTuber.C","CPTuber","C","RKHS",0.545
"38",5,"CPTuber.H","CPTuber","H","RKHS",0.44232
"39",5,"CPTuber.L","CPTuber","L","RKHS",0.47712
"40",5,"CPulpa.C","CPulpa","C","BL",0.47312
"41",5,"CPulpa.H","CPulpa","H","BRR",0.33368
"42",5,"CPulpa.L","CPulpa","L","RKHS",0.47852
"43",5,"CSBrote.C","CSBrote","C","BRR",0.21364
"44",5,"CSBrote.H","CSBrote","H","BRR",0.19372
"45",5,"CSBrote.L","CSBrote","L","RKHS",0.3104
"46",5,"CSPulpa.C","CSPulpa","C","RKHS",0.195
"47",5,"CSPulpa.H","CSPulpa","H","BRR",0.07672
"48",5,"CSPulpa.L","CSPulpa","L","RKHS",0.29956
"49",5,"CSTuber.C","CSTuber","C","BRR",0.21048
"50",5,"CSTuber.H","CSTuber","H","BRR",0.20608
"51",5,"CSTuber.L","CSTuber","L","RKHS",0.35172
"52",5,"CTallo.C","CTallo","C","RKHS",0.66616
"53",5,"CTallo.H","CTallo","H","RKHS",0.44968
"54",5,"CTallo.L","CTallo","L","RKHS",0.70668
"55",10,"CBaya.C","CBaya","C","BL",0.14592
