Samples,PriFlor.LCH.L
15060021,37
15060027,36
15060039,36
15060042,45
15060050,54
15060056,89
15060063,36
15060070,36
15060072,49
15060082,36
15060085,33
15060097,58
15060101,89
15060102,89
15060110,36
15060112,41
15060114,48
15060120,57
15060121,52
15060122,66
15060138,36
15060160,36
15060187,39
15060188,45
15060190,36
15060191,36
15060215,45
15060313,36
15060345,48
15060383,61
15060420,57
15060543,57
15060570,42
15060797,36
15060846,56
15060907,43
15060909,61
15060910,36
15061007,43
15061011,43
15061122,41
15061204,53
15061213,36
15061215,43
15061216,89
15061225,36
15061226,41
15061237,54
15061256,36
15061257,41
15061258,53
15061259,48
15061261,52
15061262,88
15061263,92
15061264,92
15061265,52
15061270,54
15061271,43
15061273,41
15061274,43
15061277,54
15061279,54
15061281,41
15061283,31
15061286,36
15061288,48
15061289,45
15061290,54
15061291,49
15061293,53
15061295,54
15061296,54
15061297,43
15061298,61
15061300,43
15061301,43
15061302,31
15061303,57
15061305,42
15061307,61
15061312,61
15061313,43
15061314,57
15061317,92
15061320,43
15061323,43
15061324,48
15061327,63
15061329,36
15061330,43
15061331,53
15061335,36
15061336,43
15061340,54
15061342,42
15061344,54
15061345,36
15061346,61
15061347,42
15061349,61
15061352,36
15061353,36
15061355,36
15061360,36
15061364,43
15061365,61
15061367,54
15061368,52
15061369,52
15061370,36
15061377,52
15061378,49
15061380,43
15061382,33
15061383,49
15061384,43
15061385,54
15061386,43
15061388,61
15061389,45
15061390,45
15061392,52
15061394,92
15061396,43
15061404,36
15061406,43
15061410,36
15061411,42
15061414,61
15061415,41
15061417,57
15061418,57
15061419,41
15061420,36
15061421,65
15061422,52
15061423,54
15061424,57
15061425,54
15061430,41
15061434,54
15061435,43
15061436,57
15061437,36
15061438,57
15061439,36
15061441,42
15061442,31
15061443,53
15061444,36
15061445,42
15061447,57
15061453,43
15061458,67
15061459,49
15061461,58
15061462,43
15061463,61
15061469,49
15061470,61
15061471,59
15061475,70
15061477,43
15061478,61
15061479,43
15061480,52
15061481,43
15061482,41
15061484,42
15061485,38
15061487,42
15061488,43
15061489,36
15061490,43
15061492,61
15061493,43
15061495,43
15061498,33
15061500,36
15061501,43
15061503,58
15061504,54
15061505,36
15061507,36
15061508,36
15061509,92
15061511,92
15061514,66
15061516,41
15061517,43
15061518,43
15061520,43
15061521,61
15061523,43
15061524,61
15061525,31
15061526,49
15061528,43
15061530,36
15061533,26
15061534,54
15061535,49
15061536,36
15061537,92
15061538,42
15061539,43
15061542,57
15061543,45
15061546,45
15061549,36
15061550,67
15061551,45
15061553,75
15061555,65
15061556,43
15061557,59
15061561,43
15061564,61
15061565,54
15061566,49
15061567,63
15061571,61
15061575,41
15061576,67
15061577,43
15061580,59
15061585,66
15061586,67
15061588,42
15061601,33
15061602,66
15061604,49
15061608,56
15061609,43
15061610,36
15061614,54
15061621,39
15061622,52
15061626,36
15061627,66
15061628,92
15061629,61
15061630,41
15061632,43
15061633,49
15061638,54
15061639,61
15061640,38
15061641,54
15061642,54
15061645,54
15061646,92
15061649,54
15061650,52
15061651,43
15061653,52
15061654,43
15061658,59
15061659,43
15061665,43
15061666,36
15061667,58
15061668,49
15061669,52
15061670,36
15061671,52
15061673,54
15061677,52
15061678,36
15061679,36
15061680,36
15061682,59
15061683,43
15061684,67
15061686,36
15061687,43
15061688,43
15061690,36
15061702,49
15061706,92
15061707,38
15061709,36
15061712,43
15061714,41
15061717,52
15061719,92
15061720,41
15061722,48
15061723,43
15061724,43
15061725,43
15061726,43
15061729,52
15061733,57
15061734,36
15061735,54
15061736,57
15061737,43
15061738,43
15061740,38
15061744,43
15061747,92
15061751,58
15061752,45
15061753,54
15061754,58
15061755,63
15061756,58
15061757,49
15061758,33
15061760,61
15061761,92
15061762,26
15061764,31
15061766,33
15061769,63
15061771,43
15061772,59
15061773,67
15061776,52
15061777,43
15061784,36
15061785,66
15061788,43
15061789,63
15061790,57
15061795,43
15061797,54
15061798,52
15061799,45
15061800,49
15061811,43
15061813,43
15061814,43
15061815,58
15061826,61
15061905,41
15061906,52
15061907,89
15061908,44
15061909,36
15061910,36
15061911,54
15061915,54
15061917,43
15061918,45
15061926,36
15061927,63
15061929,42
15061930,45
15061933,49
15061934,43
15061937,36
15061939,43
15061941,54
15061944,49
15061945,43
15061948,61
15061949,41
15061951,61
15061952,36
15061953,43
15061954,54
15061957,67
15061958,67
15061960,52
15061961,42
15061964,92
15061965,92
15061966,43
15061967,53
15061968,48
15061969,70
15062036,52
15062038,43
15062039,37
15062050,52
15062051,36
15062052,36
15062053,45
15062063,36
15062067,45
15062069,31
15062071,88
15062080,43
15062081,54
15062092,48
15062094,41
15062097,43
15062100,59
15062101,43
15062102,92
15062103,36
15062105,42
15062106,36
15062107,42
15062108,53
15062109,43
15062112,43
15062115,54
15062117,43
15062118,59
15062119,43
15062122,31
15062124,92
15062126,48
15062133,43
15062136,36
15062139,42
15062143,43
15062144,54
15062145,43
15062146,43
15062147,33
15062149,43
15062150,43
15062151,43
15062152,36
15062153,43
15062332,44
15062333,43
15062334,43
15062335,39
15062337,36
15062338,36
15062339,36
15062344,36
15062346,41
15062347,52
15062349,42
15062350,54
15062351,41
15062353,45
15062354,54
15062356,59
15062357,43
15062358,43
15062359,66
15062360,65
15062361,43
15062363,36
15062366,53
15062367,41
15062368,49
15062369,43
15062371,43
