"TRAIT","HCL","HCLTrait","Value"
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",58
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",66
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",36
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",28
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
"CTallo","L","CTallo.L",54
