SAMPLES,GEBVs(RKHS),ACTUAL
15061614,43.425,44
15061337,44.53,44
15062067,43.183,48
15061752,44.715,48
15061930,43.577,45
15061566,44.384,38
15061773,45.385,44
15061575,45.172,48
15061344,43.257,50
15061282,43.407,38
15061926,43.421,48
15061906,45.045,44
15061665,44.814,44
15061397,44.403,38
15060187,44.209,44
15061534,44.864,38
15062362,44.521,44
15061521,43.609,48
15061633,44.209,44
15061659,43.581,44
15061673,44.306,38
15062356,44.865,43
15061361,44.531,44
15061729,44.607,44
15061755,44.352,38
15061496,44.547,44
15062368,45.839,48
15062339,43.938,48
15061577,44.691,44
15062136,45.098,38
15061529,45.286,48
15061396,43.768,48
15061482,44.58,50
15061814,43.496,44
15061769,44.729,44
15061610,44.53,48
15062147,44.025,45
15061358,44.977,38
15061550,44.575,44
15061271,44.219,43
15060214,44.603,44
15062074,45.146,44
15061507,44.472,48
15061383,44.53,38
15062149,44.013,38
15060042,43.651,48
15061647,44.965,44
15061477,44.673,45
15061586,43.595,48
15062347,45.698,48
15061958,44.685,39
15062346,44.44,44
15061639,43.532,44
15061757,44.027,45
15061299,43.436,44
15061653,45.843,44
15061761,43.78,44
15062146,44.868,45
15061655,43.882,48
15061329,44.686,44
15061535,44.483,44
15061578,44.667,44
15061730,44.594,38
15061627,44.947,48
15061500,44.578,38
15061717,45.626,44
15062122,45.041,48
15061435,44.027,44
15061706,43.683,44
15061624,44.445,44
15060121,45.697,45
15061423,44.224,44
15061488,44.866,44
15061916,44.508,38
15061487,44.245,38
15061281,43.822,38
15061937,45.141,50
15061493,44.542,44
15061296,45.215,48
15061649,43.875,45
15061307,44.18,44
15062133,44.537,44
15062350,44.971,44
15061338,44.395,48
15060027,44.452,44
15061011,44.961,44
15061795,44.845,38
15062358,44.869,45
15061216,44.19,48
15061300,45.711,38
15061462,45.203,45
15061516,45.123,48
15061394,43.773,48
15061453,45.701,38
15062123,44.103,44
15060110,44.385,44
15061964,43.765,44
15061542,44.105,38
15060570,43.952,44
15061785,44.813,38
15061766,44.111,48
15060021,44.856,38
15061364,44.521,48
15060050,43.635,38
15061637,44.96,48
15062369,44.017,44
15061345,45.84,48
15061966,44.212,44
15061737,44.6,44
15060112,44.531,38
15061751,43.607,45
15061567,44.681,48
