Samples,CPTuber.H
15061614,22
15061337,345
15062067,96
15061752,344
15061930,342
15061566,313
15061773,7
15061575,9
15061344,346
15061282,342
15061926,359
15061906,313
15061665,74
15061397,342
15060187,3
15061534,318
15062362,85
15061521,17
15061633,83
15061659,346
15061673,3
15062356,313
15061361,21
15061729,7
15061755,3
15061496,22
15062368,22
15062339,85
15061577,328
15062136,7
15061529,328
15061396,313
15061482,96
15061814,7
15061769,8
15061610,359
15062147,18
15061358,86
15061550,5
15061271,328
15060214,85
15062074,86
15061507,14
15061383,17
15062149,17
15060042,342
15061647,85
15061477,313
15061586,96
15062347,359
15061958,85
15062346,96
15061639,345
15061757,7
15061299,10
15061653,83
15061761,39
15062146,0
15061655,85
15061329,318
15061535,21
15061578,3
15061730,5
15061627,41
15061500,96
15061717,359
15062122,313
15061435,12
15061706,94
15061624,17
15060121,359
15061423,17
15061488,328
15061916,5
15061487,3
15061281,18
15061937,359
15061493,7
15061296,313
15061649,345
15061307,3
15062133,17
15062350,3
15061338,313
15060027,17
15061011,96
15061795,328
15062358,318
15061216,328
15061300,96
15061462,85
15061516,14
15061394,342
15061453,313
15062123,83
15060110,359
15061964,17
15061542,5
15060570,85
15061785,83
15061766,85
15060021,313
15061364,7
15060050,67
15061637,83
15062369,21
15061345,18
15061966,313
15061737,84
15060112,7
15061751,10
15061567,85
