Samples,CTallo.L
15062362,54
15061954,54
15062339,54
15061482,54
15062104,54
15061707,28
15061567,54
15061964,54
15061488,28
15061438,28
15061814,28
15061721,54
15061601,28
15061719,54
15061629,28
15061477,54
15061761,54
15061336,54
15061386,54
15061305,54
15061676,54
15061523,28
15061763,28
15061385,28
15062133,28
15061333,54
15061627,54
15061731,28
15061641,54
15061330,54
15061626,28
15062147,54
15061487,28
15060536,54
15061261,54
15061389,28
15060101,54
15061397,54
15061551,54
15061539,54
15062115,28
15061361,54
15061669,54
15062359,54
15061690,28
15061308,28
15062372,54
15061342,54
15061281,54
15061932,54
15061370,54
15061630,28
15061789,54
15061666,28
15062143,28
15061297,54
15061907,66
15061538,28
15062371,54
15061685,49
15062081,28
15061969,54
15061498,28
15061271,54
15062344,54
15061279,54
15062144,28
15061722,54
15061768,54
15061557,54
15061434,28
15060072,54
15061405,54
15062052,54
15062098,54
15061916,54
15061377,54
15061633,28
15061702,28
15061614,54
15061368,54
15061520,54
15060082,54
15061656,53
15061331,54
15061327,54
15062074,54
15061300,54
15061776,54
15061462,54
15061302,54
15061957,54
15061514,54
15060909,54
15062063,54
15060090,54
15061301,54
15061423,54
15061453,28
15060215,54
15062119,28
15061537,54
15061667,28
15062123,54
15061710,28
15061258,28
15061443,54
15060050,54
15060110,28
15062053,54
15061764,54
15061799,28
