Prefix,HCL_component,Models,Traits,Heritability
CBaya,C,BA,CBaya.C,0.802068789819834
CBaya,C,BA,CBaya.C,0.791925150535342
CBaya,C,BA,CBaya.C,0.771789394641518
CBaya,C,BA,CBaya.C,0.753386145715684
CBaya,C,BA,CBaya.C,0.762910821997792
CBaya,C,BA,CBaya.C,0.782771128096403
CBaya,C,BA,CBaya.C,0.75985020544142
CBaya,C,BA,CBaya.C,0.751713860560841
CBaya,C,BA,CBaya.C,0.781771689136019
CBaya,C,BA,CBaya.C,0.770295259696192
CBaya,C,BA,CBaya.C,0.752656175665509
CBaya,C,BA,CBaya.C,0.757592273564797
CBaya,C,BA,CBaya.C,0.752756757760456
CBaya,C,BA,CBaya.C,0.741448316951457
CBaya,C,BA,CBaya.C,0.764099648161775
CBaya,C,BA,CBaya.C,0.759251589663895
CBaya,C,BA,CBaya.C,0.714793033447219
CBaya,C,BA,CBaya.C,0.72208492212491
CBaya,C,BA,CBaya.C,0.733505306863962
CBaya,C,BA,CBaya.C,0.731111501710774
CBaya,C,BA,CBaya.C,0.759204890270576
CBaya,C,BA,CBaya.C,0.734203102495617
CBaya,C,BA,CBaya.C,0.73853146960045
CBaya,C,BA,CBaya.C,0.709251806529034
CBaya,C,BA,CBaya.C,0.712709993388895
CBaya,C,BA,CBaya.C,0.69921256054401
CBaya,C,BA,CBaya.C,0.693338677406263
CBaya,C,BA,CBaya.C,0.7024910292606
CBaya,C,BA,CBaya.C,0.672376669519451
CBaya,C,BA,CBaya.C,0.708595472824682
CBaya,C,BA,CBaya.C,0.704264487222739
CBaya,C,BA,CBaya.C,0.655322944127204
CBaya,C,BA,CBaya.C,0.686613624273144
CBaya,C,BA,CBaya.C,0.699248451355237
CBaya,C,BA,CBaya.C,0.661505035272416
CBaya,C,BA,CBaya.C,0.668261778686648
CBaya,C,BA,CBaya.C,0.645357466980545
CBaya,C,BA,CBaya.C,0.646881889442461
CBaya,C,BA,CBaya.C,0.641390316836012
CBaya,C,BA,CBaya.C,0.619825399873445
CBaya,C,BA,CBaya.C,0.623621223697055
CBaya,C,BA,CBaya.C,0.598801180793097
CBaya,C,BA,CBaya.C,0.647499832801235
CBaya,C,BA,CBaya.C,0.659427050971494
CBaya,C,BA,CBaya.C,0.649640736092897
CBaya,C,BA,CBaya.C,0.623232038969581
CBaya,C,BA,CBaya.C,0.60575682311686
CBaya,C,BA,CBaya.C,0.597995050724748
CBaya,C,BA,CBaya.C,0.609444203247541
CBaya,C,BA,CBaya.C,0.607084919196222
CBaya,C,BA,CBaya.C,0.610919841907447
CBaya,C,BA,CBaya.C,0.588932053825178
CBaya,C,BA,CBaya.C,0.603473700147722
CBaya,C,BA,CBaya.C,0.591015680246164
CBaya,C,BA,CBaya.C,0.599592104670409
CBaya,C,BA,CBaya.C,0.616830346580557
CBaya,C,BA,CBaya.C,0.635435479547937
CBaya,C,BA,CBaya.C,0.606213723429533
CBaya,C,BA,CBaya.C,0.607470592834447
CBaya,C,BA,CBaya.C,0.602524439196601
CBaya,C,BA,CBaya.C,0.593202003480511
CBaya,C,BA,CBaya.C,0.600230643172629
CBaya,C,BA,CBaya.C,0.614283010830992
CBaya,C,BA,CBaya.C,0.628414400288383
CBaya,C,BA,CBaya.C,0.565661892497906
CBaya,C,BA,CBaya.C,0.608072956248966
CBaya,C,BA,CBaya.C,0.566956232490704
CBaya,C,BA,CBaya.C,0.590086222363477
CBaya,C,BA,CBaya.C,0.566465204882647
CBaya,C,BA,CBaya.C,0.543921596515456
CBaya,C,BA,CBaya.C,0.568569973906793
CBaya,C,BA,CBaya.C,0.576955377143612
CBaya,C,BA,CBaya.C,0.575765754304216
CBaya,C,BA,CBaya.C,0.558734064120222
CBaya,C,BA,CBaya.C,0.54786952326909
CBaya,C,BA,CBaya.C,0.529731297456604
CBaya,C,BA,CBaya.C,0.523348921393535
CBaya,C,BA,CBaya.C,0.543812079626956
CBaya,C,BA,CBaya.C,0.56803779367393
CBaya,C,BA,CBaya.C,0.525232945650723
CBaya,C,BA,CBaya.C,0.556396594262562
CBaya,C,BA,CBaya.C,0.549919537398651
CBaya,C,BA,CBaya.C,0.53402451677295
CBaya,C,BA,CBaya.C,0.539279464917542
CBaya,C,BA,CBaya.C,0.535648626527287
CBaya,C,BA,CBaya.C,0.563398381744628
CBaya,C,BA,CBaya.C,0.541557010060516
CBaya,C,BA,CBaya.C,0.540386360826041
CBaya,C,BA,CBaya.C,0.562155352905816
CBaya,C,BA,CBaya.C,0.521826727541621
CBaya,C,BA,CBaya.C,0.484766466970702
CBaya,C,BA,CBaya.C,0.501003713850742
CBaya,C,BA,CBaya.C,0.500862279721751
CBaya,C,BA,CBaya.C,0.504938775358875
