Samples,CTallo.C
15060021,16
15060025,44
15060027,16
15060039,44
15060042,16
15060056,44
15060063,16
15060070,16
15060081,44
15060085,44
15060087,16
15060097,44
15060102,44
15060112,44
15060114,44
15060120,16
15060121,44
15060122,44
15060138,16
15060160,44
15060187,16
15060188,44
15060190,44
15060191,44
15060214,44
15060313,44
15060320,44
15060345,44
15060383,44
15060420,44
15060543,44
15060570,44
15060797,44
15060846,44
15060907,16
15060910,16
15060933,44
15060964,44
15061007,44
15061011,44
15061122,44
15061204,44
15061213,44
15061215,44
15061216,44
15061225,44
15061226,44
15061228,16
15061237,44
15061256,44
15061257,16
15061259,16
15061260,44
15061262,44
15061263,44
15061264,44
15061265,44
15061270,44
15061273,44
15061274,44
15061277,44
15061282,44
15061283,44
15061286,44
15061288,44
15061289,44
15061290,44
15061291,44
15061293,16
15061295,19
15061296,16
15061298,44
15061299,6
15061303,44
15061307,16
15061312,44
15061313,44
15061314,44
15061317,44
15061318,44
15061319,44
15061320,44
15061323,44
15061324,44
15061329,16
15061334,44
15061335,44
15061337,44
15061338,16
15061340,16
15061344,44
15061345,44
15061346,44
15061347,44
15061348,44
15061349,44
15061350,44
15061352,44
15061353,44
15061355,16
15061356,44
15061357,16
15061358,44
15061360,44
15061364,44
15061365,44
15061367,44
15061369,44
15061376,44
15061378,44
15061380,16
15061382,44
15061383,16
15061384,16
15061388,44
15061390,16
15061391,16
15061392,44
15061394,44
15061396,16
15061404,6
15061406,44
15061410,44
15061411,44
15061414,16
15061415,44
15061417,16
15061418,16
15061419,16
15061420,44
15061421,44
15061422,44
15061424,16
15061425,44
15061428,44
15061430,44
15061435,16
15061436,44
15061437,44
15061439,44
15061441,16
15061442,44
15061444,44
15061445,6
15061447,44
15061449,44
15061454,44
15061458,44
15061459,6
15061461,44
15061463,44
15061469,44
15061470,44
15061471,21
15061475,44
15061476,16
15061478,16
15061479,44
15061480,16
15061481,44
15061484,19
15061485,44
15061486,6
15061489,16
15061490,16
15061491,16
15061492,6
15061493,44
15061494,16
15061495,16
15061496,16
15061499,44
15061500,44
15061501,16
15061503,44
15061504,19
15061505,21
15061507,44
15061508,16
15061509,44
15061511,44
15061515,19
15061516,16
15061517,17
15061518,44
15061521,16
15061522,16
15061524,16
15061525,44
15061526,16
15061528,6
15061529,44
15061530,44
15061533,44
15061534,44
15061535,16
15061536,16
15061540,44
15061542,44
15061543,44
15061544,16
15061546,16
15061548,44
15061549,21
15061550,16
15061553,44
15061555,17
15061556,44
15061560,44
15061561,44
15061564,44
15061565,17
15061566,16
15061568,44
15061571,44
15061575,21
15061576,21
15061577,44
15061578,6
15061579,16
15061580,17
15061583,44
15061584,44
15061585,21
15061586,44
15061588,17
15061600,44
15061602,44
15061603,6
15061604,44
15061605,44
15061608,44
15061609,6
15061610,17
15061612,16
15061613,44
15061619,16
15061621,44
15061622,44
15061623,44
15061624,6
15061628,44
15061631,16
15061632,44
15061637,38
15061638,44
15061639,21
15061640,16
15061642,44
15061645,6
15061646,44
15061647,44
15061648,38
15061649,44
15061650,44
15061651,45
15061653,44
15061654,44
15061655,44
15061658,38
15061659,21
15061661,44
15061662,16
15061665,44
15061668,44
15061670,44
15061671,44
15061673,16
15061677,6
15061678,6
15061679,16
15061680,21
15061682,21
15061683,16
15061684,44
15061686,21
15061687,44
15061688,44
15061689,6
15061704,44
15061706,44
15061709,44
15061712,44
15061713,44
15061714,16
15061717,16
15061718,21
15061720,17
15061723,16
15061724,16
15061725,16
15061726,16
15061729,16
15061730,16
15061733,44
15061734,16
15061735,44
15061736,16
15061737,16
15061738,16
15061740,16
15061742,44
15061744,44
15061747,44
15061751,43
15061752,19
15061753,6
15061754,44
15061755,44
15061756,21
15061757,16
15061758,44
15061759,44
15061760,16
15061762,16
15061765,44
15061766,44
15061767,44
15061769,44
15061771,16
15061772,44
15061773,16
15061777,16
15061778,6
15061784,16
15061785,44
15061788,44
15061790,44
15061795,16
15061797,16
15061798,44
15061800,44
15061801,44
15061808,44
15061811,44
15061813,44
15061815,44
15061826,44
15061905,45
15061906,16
15061908,16
15061909,44
15061910,44
15061911,44
15061912,44
15061915,44
15061917,44
15061918,44
15061926,44
15061927,16
15061928,16
15061929,44
15061930,16
15061933,44
15061934,16
15061935,44
15061937,44
15061939,44
15061941,44
15061942,44
15061944,44
15061945,44
15061946,16
15061948,44
15061949,44
15061951,44
15061952,16
15061953,6
15061958,44
15061960,6
15061961,6
15061962,44
15061963,6
15061965,44
15061966,16
15061967,16
15061968,44
15062036,44
15062038,44
15062039,44
15062046,44
15062050,44
15062051,44
15062067,44
15062069,16
15062071,44
15062080,44
15062092,44
15062094,6
15062097,44
15062099,44
15062100,44
15062101,16
15062102,44
15062103,44
15062105,16
15062106,6
15062107,44
15062108,16
15062109,44
15062111,16
15062112,16
15062114,16
15062117,44
15062118,44
15062122,6
15062124,19
15062126,16
15062130,44
15062136,6
15062137,6
15062138,16
15062139,44
15062142,44
15062145,16
15062146,16
15062149,16
15062150,16
15062151,6
15062152,16
15062153,44
15062331,44
15062332,44
15062333,16
15062334,44
15062335,44
15062337,44
15062338,44
15062346,44
15062347,44
15062348,44
15062349,44
15062350,44
15062351,16
15062353,44
15062354,44
15062356,17
15062357,16
15062358,16
15062360,44
15062361,44
15062363,44
15062366,44
15062367,16
15062368,44
15062369,16
15062370,44
