Prefix,Componentes_CHL,Traits,Models,Habilidad_Predictiva
CPBrote,C,CPBrote.C,BA,0.579
CPBrote,C,CPBrote.C,BA,0.545
CPBrote,C,CPBrote.C,BA,0.549
CPBrote,C,CPBrote.C,BA,0.569
CPBrote,C,CPBrote.C,BA,0.579
CPBrote,C,CPBrote.C,BA,0.516
CPBrote,C,CPBrote.C,BA,0.552
CPBrote,C,CPBrote.C,BA,0.678
CPBrote,C,CPBrote.C,BA,0.537
CPBrote,C,CPBrote.C,BA,0.686
CPBrote,C,CPBrote.C,BA,0.637
CPBrote,C,CPBrote.C,BA,0.633
CPBrote,C,CPBrote.C,BA,0.59
CPBrote,C,CPBrote.C,BA,0.499
CPBrote,C,CPBrote.C,BA,0.499
CPBrote,C,CPBrote.C,BA,0.678
CPBrote,C,CPBrote.C,BA,0.639
CPBrote,C,CPBrote.C,BA,0.512
CPBrote,C,CPBrote.C,BA,0.569
CPBrote,C,CPBrote.C,BA,0.549
CPBrote,C,CPBrote.C,BA,0.68
CPBrote,C,CPBrote.C,BA,0.49
CPBrote,C,CPBrote.C,BA,0.453
CPBrote,C,CPBrote.C,BA,0.595
CPBrote,C,CPBrote.C,BA,0.693
CPBrote,C,CPBrote.C,BB,0.539
CPBrote,C,CPBrote.C,BB,0.486
CPBrote,C,CPBrote.C,BB,0.641
CPBrote,C,CPBrote.C,BB,0.647
CPBrote,C,CPBrote.C,BB,0.495
CPBrote,C,CPBrote.C,BB,0.478
CPBrote,C,CPBrote.C,BB,0.632
CPBrote,C,CPBrote.C,BB,0.494
CPBrote,C,CPBrote.C,BB,0.733
CPBrote,C,CPBrote.C,BB,0.468
CPBrote,C,CPBrote.C,BB,0.672
CPBrote,C,CPBrote.C,BB,0.517
CPBrote,C,CPBrote.C,BB,0.471
CPBrote,C,CPBrote.C,BB,0.564
CPBrote,C,CPBrote.C,BB,0.637
CPBrote,C,CPBrote.C,BB,0.656
CPBrote,C,CPBrote.C,BB,0.561
CPBrote,C,CPBrote.C,BB,0.502
CPBrote,C,CPBrote.C,BB,0.567
CPBrote,C,CPBrote.C,BB,0.405
CPBrote,C,CPBrote.C,BB,0.603
CPBrote,C,CPBrote.C,BB,0.57
CPBrote,C,CPBrote.C,BB,0.482
CPBrote,C,CPBrote.C,BB,0.583
CPBrote,C,CPBrote.C,BB,0.521
CPBrote,C,CPBrote.C,BC,0.644
CPBrote,C,CPBrote.C,BC,0.58
CPBrote,C,CPBrote.C,BC,0.592
CPBrote,C,CPBrote.C,BC,0.586
CPBrote,C,CPBrote.C,BC,0.48
CPBrote,C,CPBrote.C,BC,0.558
CPBrote,C,CPBrote.C,BC,0.638
CPBrote,C,CPBrote.C,BC,0.574
CPBrote,C,CPBrote.C,BC,0.546
CPBrote,C,CPBrote.C,BC,0.535
CPBrote,C,CPBrote.C,BC,0.615
CPBrote,C,CPBrote.C,BC,0.638
CPBrote,C,CPBrote.C,BC,0.663
CPBrote,C,CPBrote.C,BC,0.539
CPBrote,C,CPBrote.C,BC,0.428
CPBrote,C,CPBrote.C,BC,0.586
CPBrote,C,CPBrote.C,BC,0.519
CPBrote,C,CPBrote.C,BC,0.592
CPBrote,C,CPBrote.C,BC,0.575
CPBrote,C,CPBrote.C,BC,0.615
CPBrote,C,CPBrote.C,BC,0.569
CPBrote,C,CPBrote.C,BC,0.659
CPBrote,C,CPBrote.C,BC,0.52
CPBrote,C,CPBrote.C,BC,0.617
CPBrote,C,CPBrote.C,BC,0.581
CPBrote,C,CPBrote.C,BL,0.601
CPBrote,C,CPBrote.C,BL,0.523
CPBrote,C,CPBrote.C,BL,0.665
CPBrote,C,CPBrote.C,BL,0.728
CPBrote,C,CPBrote.C,BL,0.469
CPBrote,C,CPBrote.C,BL,0.604
CPBrote,C,CPBrote.C,BL,0.576
CPBrote,C,CPBrote.C,BL,0.481
CPBrote,C,CPBrote.C,BL,0.523
CPBrote,C,CPBrote.C,BL,0.644
CPBrote,C,CPBrote.C,BL,0.513
CPBrote,C,CPBrote.C,BL,0.583
CPBrote,C,CPBrote.C,BL,0.487
CPBrote,C,CPBrote.C,BL,0.625
CPBrote,C,CPBrote.C,BL,0.559
CPBrote,C,CPBrote.C,BL,0.621
CPBrote,C,CPBrote.C,BL,0.565
CPBrote,C,CPBrote.C,BL,0.511
CPBrote,C,CPBrote.C,BL,0.555
CPBrote,C,CPBrote.C,BL,0.603
CPBrote,C,CPBrote.C,BL,0.489
CPBrote,C,CPBrote.C,BL,0.636
CPBrote,C,CPBrote.C,BL,0.733
CPBrote,C,CPBrote.C,BL,0.515
CPBrote,C,CPBrote.C,BL,0.547
CPBrote,C,CPBrote.C,BRR,0.487
CPBrote,C,CPBrote.C,BRR,0.6
CPBrote,C,CPBrote.C,BRR,0.541
CPBrote,C,CPBrote.C,BRR,0.65
CPBrote,C,CPBrote.C,BRR,0.672
CPBrote,C,CPBrote.C,BRR,0.55
CPBrote,C,CPBrote.C,BRR,0.55
CPBrote,C,CPBrote.C,BRR,0.548
CPBrote,C,CPBrote.C,BRR,0.681
CPBrote,C,CPBrote.C,BRR,0.625
CPBrote,C,CPBrote.C,BRR,0.618
CPBrote,C,CPBrote.C,BRR,0.557
CPBrote,C,CPBrote.C,BRR,0.621
CPBrote,C,CPBrote.C,BRR,0.607
CPBrote,C,CPBrote.C,BRR,0.531
CPBrote,C,CPBrote.C,BRR,0.593
CPBrote,C,CPBrote.C,BRR,0.705
CPBrote,C,CPBrote.C,BRR,0.44
CPBrote,C,CPBrote.C,BRR,0.675
CPBrote,C,CPBrote.C,BRR,0.558
CPBrote,C,CPBrote.C,BRR,0.528
CPBrote,C,CPBrote.C,BRR,0.617
CPBrote,C,CPBrote.C,BRR,0.552
CPBrote,C,CPBrote.C,BRR,0.528
CPBrote,C,CPBrote.C,BRR,0.594
CPBrote,C,CPBrote.C,GBLUP,0.603
CPBrote,C,CPBrote.C,GBLUP,0.653
CPBrote,C,CPBrote.C,GBLUP,0.573
CPBrote,C,CPBrote.C,GBLUP,0.576
CPBrote,C,CPBrote.C,GBLUP,0.55
CPBrote,C,CPBrote.C,GBLUP,0.538
CPBrote,C,CPBrote.C,GBLUP,0.525
CPBrote,C,CPBrote.C,GBLUP,0.688
CPBrote,C,CPBrote.C,GBLUP,0.603
CPBrote,C,CPBrote.C,GBLUP,0.441
CPBrote,C,CPBrote.C,GBLUP,0.643
CPBrote,C,CPBrote.C,GBLUP,0.467
CPBrote,C,CPBrote.C,GBLUP,0.535
CPBrote,C,CPBrote.C,GBLUP,0.621
CPBrote,C,CPBrote.C,GBLUP,0.557
CPBrote,C,CPBrote.C,GBLUP,0.519
CPBrote,C,CPBrote.C,GBLUP,0.491
CPBrote,C,CPBrote.C,GBLUP,0.688
CPBrote,C,CPBrote.C,GBLUP,0.604
CPBrote,C,CPBrote.C,GBLUP,0.575
CPBrote,C,CPBrote.C,GBLUP,0.587
CPBrote,C,CPBrote.C,GBLUP,0.605
CPBrote,C,CPBrote.C,GBLUP,0.562
CPBrote,C,CPBrote.C,GBLUP,0.598
CPBrote,C,CPBrote.C,GBLUP,0.548
CPBrote,C,CPBrote.C,RKHS,0.659
CPBrote,C,CPBrote.C,RKHS,0.554
CPBrote,C,CPBrote.C,RKHS,0.586
CPBrote,C,CPBrote.C,RKHS,0.548
CPBrote,C,CPBrote.C,RKHS,0.448
CPBrote,C,CPBrote.C,RKHS,0.606
CPBrote,C,CPBrote.C,RKHS,0.535
CPBrote,C,CPBrote.C,RKHS,0.447
CPBrote,C,CPBrote.C,RKHS,0.641
CPBrote,C,CPBrote.C,RKHS,0.657
CPBrote,C,CPBrote.C,RKHS,0.64
CPBrote,C,CPBrote.C,RKHS,0.609
CPBrote,C,CPBrote.C,RKHS,0.561
CPBrote,C,CPBrote.C,RKHS,0.498
CPBrote,C,CPBrote.C,RKHS,0.631
CPBrote,C,CPBrote.C,RKHS,0.557
CPBrote,C,CPBrote.C,RKHS,0.459
CPBrote,C,CPBrote.C,RKHS,0.605
CPBrote,C,CPBrote.C,RKHS,0.647
CPBrote,C,CPBrote.C,RKHS,0.683
CPBrote,C,CPBrote.C,RKHS,0.392
CPBrote,C,CPBrote.C,RKHS,0.599
CPBrote,C,CPBrote.C,RKHS,0.698
CPBrote,C,CPBrote.C,RKHS,0.684
CPBrote,C,CPBrote.C,RKHS,0.617
CPBrote,H,CPBrote.H,BA,0.217
CPBrote,H,CPBrote.H,BA,0.151
CPBrote,H,CPBrote.H,BA,0.376
CPBrote,H,CPBrote.H,BA,0.286
CPBrote,H,CPBrote.H,BA,0.309
CPBrote,H,CPBrote.H,BA,0.382
CPBrote,H,CPBrote.H,BA,0.386
CPBrote,H,CPBrote.H,BA,0.405
CPBrote,H,CPBrote.H,BA,0.173
CPBrote,H,CPBrote.H,BA,0.188
CPBrote,H,CPBrote.H,BA,0.401
CPBrote,H,CPBrote.H,BA,0.361
CPBrote,H,CPBrote.H,BA,0.352
CPBrote,H,CPBrote.H,BA,0.34
CPBrote,H,CPBrote.H,BA,0.27
