SAMPLES,c1_10270,c1_11276,c1_11344,c1_1318,c1_2212,c1_2519,c1_4822,c1_7132,c2_10961,c2_12913,c2_12959,c2_13613,c2_13671,c2_1688,c2_19081,c2_19223,c2_19692,c2_22050,c2_22466,c2_25289,c2_2858,c2_2998,c2_30296,c2_32482,c2_33516,c2_36777,c2_36781,c2_37136,c2_37982,c2_38939,c2_39499,c2_40821,c2_40822,c2_43123,c2_4372,c2_43926,c2_4438,c2_44815,c2_46777,c2_47405,c2_48734,c2_49812,c2_50816,c2_53053,c2_54191,c2_54586,c2_56547,c2_57750,c2_6906,c2_9908
15060021,0,1,2,3,1,3,2,1,1,2,1,2,1,2,2,1,1,4,1,4,3,4,3,1,2,3,1,0,1,1,3,2,0,3,1,3,0,3,3,0,1,2,4,1,4,1,3,2,4,0
15060027,0,0,4,1,1,3,2,0,0,1,2,2,2,2,1,1,3,3,0,4,4,3,2,2,2,4,0,1,0,0,2,3,0,4,2,4,0,3,3,0,1,2,4,0,4,2,4,2,3,0
15060039,1,0,2,0,2,2,1,2,2,3,3,0,0,1,2,1,1,3,0,3,2,4,2,0,3,4,1,0,2,1,3,2,1,4,2,3,0,2,2,2,1,2,4,0,4,1,2,3,4,1
15060042,1,1,2,3,2,3,2,2,1,3,3,2,0,1,1,1,0,4,1,4,4,4,2,1,1,3,1,1,1,2,3,2,0,4,3,4,0,3,1,0,2,2,3,0,4,1,4,1,3,1
15060050,1,2,2,4,2,3,3,2,0,2,2,3,0,2,1,2,1,3,0,4,4,4,1,3,3,4,0,1,2,1,4,3,1,3,3,2,0,2,2,0,2,1,1,1,2,1,4,3,4,0
15060056,0,2,3,3,2,2,3,1,0,3,2,3,3,1,2,0,2,4,1,4,4,2,2,2,3,2,2,2,1,0,3,2,0,4,4,4,2,2,4,0,2,2,4,0,4,1,4,3,4,0
15060063,0,0,3,0,1,3,2,0,1,3,3,1,2,1,3,0,2,3,0,4,4,4,2,1,1,3,1,1,0,2,3,3,0,4,1,4,1,2,1,1,1,2,4,0,3,1,4,2,4,1
15060070,0,1,3,2,2,4,3,1,1,4,2,1,1,1,1,0,1,3,1,4,3,4,1,1,2,3,1,2,0,1,2,2,0,4,2,4,0,3,2,0,1,2,4,0,4,2,3,4,3,1
15060072,0,1,3,1,3,2,3,2,1,4,3,1,1,0,2,1,3,2,1,4,3,4,1,2,4,4,0,2,0,0,2,3,1,4,2,3,0,3,1,1,0,1,3,0,4,2,3,4,4,1
15060082,1,0,1,2,1,3,0,2,0,3,2,2,3,1,0,1,1,4,2,4,4,4,3,1,2,4,0,1,1,2,3,3,0,4,2,3,0,3,2,1,1,4,3,0,4,0,4,0,4,0
15060085,0,0,4,3,1,4,2,2,1,4,1,4,1,2,0,1,2,4,1,4,3,4,1,1,1,4,0,3,0,1,4,2,2,4,2,4,1,2,3,1,0,3,3,1,4,0,3,4,4,0
15060097,0,1,4,0,1,3,3,3,2,2,4,2,0,0,1,2,1,3,2,3,2,4,2,1,2,3,1,3,1,1,4,2,1,3,3,3,1,2,3,2,0,0,4,1,3,3,2,3,4,2
15060101,0,0,3,1,3,4,2,2,2,4,1,2,2,0,2,1,2,3,2,3,4,3,1,2,2,4,0,2,0,0,2,2,0,4,2,3,0,4,2,1,0,1,4,0,4,2,4,4,3,2
15060102,2,1,4,2,1,4,2,2,1,4,2,2,1,1,1,0,3,3,2,4,4,4,1,3,2,3,1,2,1,1,3,3,0,3,4,4,0,2,2,0,2,2,4,1,3,2,4,3,4,0
15060110,0,1,3,2,2,4,3,1,1,4,2,1,1,1,1,0,1,3,1,4,3,4,1,1,2,3,1,2,0,1,2,2,0,4,2,4,0,3,2,0,1,2,4,0,4,2,3,4,3,1
15060112,0,0,4,2,1,3,2,1,1,3,2,2,1,1,2,0,2,3,1,4,3,3,3,1,1,3,1,2,0,1,2,2,0,4,4,4,0,2,2,1,2,2,4,0,4,2,3,3,4,1
15060114,0,1,4,1,1,3,3,2,1,4,1,3,2,2,2,0,2,2,0,4,4,3,3,1,3,3,1,2,0,1,1,3,1,4,2,3,1,3,2,0,1,1,3,1,3,3,4,3,4,0
15060120,2,1,2,2,1,1,1,1,1,3,2,2,1,2,1,1,0,4,0,4,4,4,3,0,1,3,2,0,1,3,1,3,0,3,2,4,0,2,2,1,1,3,3,1,4,1,4,2,3,0
15060121,1,0,3,1,0,4,2,1,2,3,3,2,2,3,3,0,1,4,1,4,4,4,3,1,3,3,1,1,0,1,2,1,0,4,3,4,1,2,4,0,1,2,4,0,4,2,4,3,3,1
15060122,1,2,2,4,2,3,3,2,0,2,2,3,0,2,1,2,1,3,0,4,4,4,1,3,3,4,0,1,2,1,4,3,1,3,3,2,0,2,2,0,2,1,1,1,2,1,4,3,4,0
