"GSCORE","SNP","CHROM","POS","SIGNIFICANCE","SEQID","TRAIT","GOTERMS","SOURCEANNOT","ANNOT"
"0.987","c1_5483","chr08","57177039","TRUE","Soltu.DM.04G026670|Soltu.DM.08G027770|Soltu.DM.10G025740|Soltu.DM.12G027080","CBaya.H","GO:0006750, GO:0004357, GO:0042398, GO:0003824|GO:0036459, GO:0006511, GO:0016579, GO:0005515|GO:0005515, GO:0008289","Pfam|PIRSF|CDD|Gene3D","Neprosin|Glutamate--cysteine ligase, bacteria and plant|MATH/TRAF domain|Leucine-rich repeat domain superfamily"
"0.971","c1_7964","chr02","38139240","TRUE","Soltu.DM.02G024900","CPFlor.C","GO:0003824","Pfam","NAD dependent epimerase/dehydratase family"
"0.971","c2_12720","chr07","54318643","TRUE","Soltu.DM.03G029950|Soltu.DM.04G024640|Soltu.DM.07G024520|Soltu.DM.10G022160|Soltu.DM.12G024280","CPFlor.C","GO:0016857, GO:0005975, GO:0003824|GO:0005515|GO:0016705, GO:0005506, GO:0055114, GO:0020037|GO:0042300, GO:0005811, GO:0000250, GO:0016104, GO:0016866","CDD|PRINTS|Gene3D","Ribulose-phosphate 3-epimerase-like|G protein beta WD-40 repeat signature|Cytochrome P450 superfamily|Squalene cyclase"
"0.967","c2_21934","chr04","5765944","TRUE","Soltu.DM.04G005270|Soltu.DM.11G005810|Soltu.DM.12G006870","CSBrote.C","","Pfam|CDD","OCRE domain|Putative O-fucosyltransferase, plant"
"0.964","c2_51974","chr08","2472934","TRUE","Soltu.DM.09G003150|Soltu.DM.06G002100|Soltu.DM.04G002320|Soltu.DM.11G002340|Soltu.DM.08G001790|Soltu.DM.12G003030|Soltu.DM.01G002290","CSBrote.C","GO:0003676|GO:0007015, GO:0005515, GO:0005524, GO:0016459, GO:0003774|GO:0046983|GO:0005515|GO:0030170, GO:0016831, GO:0003824, GO:0019752|GO:0003824|GO:0055114, GO:0016491","Pfam|CDD|Gene3D","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|Class XI myosin, cargo binding domain|Myc-type, basic helix-loop-helix (bHLH) domain|Thioredoxin-like superfamily|Pyridoxal phosphate-dependent transferase domain 1|Chalcone and stilbene synthases, C-terminal domain|Oxidoreductase family, C-terminal alpha/beta domain"
"0.966","c1_8194","chr03","55211205","TRUE","Soltu.DM.03G030880|Soltu.DM.04G025110|Soltu.DM.07G025520|Soltu.DM.08G025380|Soltu.DM.10G023270","CPFlor.L","GO:0003924, GO:0006614, GO:0005525, GO:0048500, GO:0008312|GO:0005506, GO:0020037, GO:0055114, GO:0016705|GO:0005515|GO:0007275|GO:0016409","Pfam|Gene3D","Signal recognition particle SRP54, helical bundle|Cytochrome P450 superfamily|Pentacotripeptide-repeat region of PRORP|High mobility group box domain superfamily|Palmitoyltransferase, DHHC domain"
"0.959","c1_7874","chr02","43712601","TRUE","Soltu.DM.02G031690|Soltu.DM.05G017830","CPulpa.C","GO:0004373|GO:0005515","Hamap|Pfam","Bacterial/plant glycogen synthase|Ankyrin repeat-containing domain"
"0.959","c2_14491","chr01","67248400","TRUE","Soltu.DM.09G031490|Soltu.DM.01G027440","CPulpa.C","GO:0005852, GO:0008237, GO:0005737, GO:0003743, GO:0005515, GO:0070122|GO:0043531","CDD","Eukaryotic translation initiation factor 3 subunit H|Virus X resistance protein-like, coiled-coil domain"
"0.95","c1_5936","chr11","28989434","TRUE","Soltu.DM.02G014320|Soltu.DM.11G015780|Soltu.DM.01G014280","CPBrote.L","GO:0043022, GO:0006364, GO:0005840|GO:0050661, GO:0004072, GO:0008652, GO:0055114, GO:0006520, GO:0016491","Gene3D|CDD|SUPERFAMILY","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A|Bifunctional aspartokinase/homoserine dehydrogenase, N-terminal catalytic domain|Alpha/Beta hydrolase fold"
"0.95","c1_5940","chr11","29258142","TRUE","Soltu.DM.11G015820|Soltu.DM.12G015690","CPBrote.L","GO:0005515|GO:0005634, GO:0003676, GO:0003723, GO:0006397","Gene3D|CDD","Leucine-rich repeat domain superfamily|PTBPH3, RNA recognition motif 1"
"0.95","c1_11237","chr11","13277951","TRUE","Soltu.DM.11G011980|Soltu.DM.08G007310|Soltu.DM.05G011470","CPBrote.L","GO:0016616, GO:0055114, GO:0051287|GO:0016021, GO:0022857, GO:0055085, GO:0016020|GO:0005524, GO:0004386, GO:0003676","Pfam|PRINTS","D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain|Sugar transporter signature|DEAD/DEAH box helicase domain"
"0.935","c2_47202","chr02","44641059","TRUE","Soltu.DM.04G019490|Soltu.DM.02G033050|Soltu.DM.11G024520","CPulpa.L","GO:0050660, GO:0055114, GO:0016491|GO:0004672, GO:0006468, GO:0005524","Pfam","Helicase conserved C-terminal domain|Pyridine nucleotide-disulphide oxidoreductase|Protein kinase domain"
"0.93","c2_32702","chr08","1899939","TRUE","Soltu.DM.09G002450|Soltu.DM.06G001410|Soltu.DM.07G001560|Soltu.DM.02G000110|Soltu.DM.08G001440|Soltu.DM.10G002430|Soltu.DM.05G002450","CPFlor.H","GO:0006468, GO:0004672, GO:0004674, GO:0005524|GO:0030276, GO:0005545, GO:0048268, GO:0005543, GO:0030136|GO:0055085, GO:0016020, GO:0042910, GO:0015297|GO:0016491, GO:0055114","PRINTS|Pfam|Gene3D","Glucose/ribitol dehydrogenase family signature|Protein kinase C terminal domain|Aspartic peptidase domain superfamily|AP180 N-terminal homology (ANTH) domain|Multi antimicrobial extrusion protein|Taurine catabolism dioxygenase TauD, TfdA family"
"0.919","c2_12976","chr04","66094837","TRUE","Soltu.DM.09G029990|Soltu.DM.04G034660","CSTuber.C","GO:0005515","PRINTS","G protein beta WD-40 repeat signature"
"0.901","c2_36872","chr07","3452120","TRUE","Soltu.DM.07G003060|Soltu.DM.05G003810|Soltu.DM.12G004330","CSPulpa.H","GO:0016020, GO:0055085, GO:0006821, GO:0005247|GO:0008289","PRINTS|Pfam","Chloride channel, voltage gated|Protein of unknown function (DUF789)|Protein ENHANCED DISEASE RESISTANCE 2, C-terminal"
"0.901","c2_36859","chr07","3398145","TRUE","Soltu.DM.06G002990|Soltu.DM.04G002990|Soltu.DM.07G003030|Soltu.DM.08G002830|Soltu.DM.10G004100|Soltu.DM.12G004250","CSPulpa.H","GO:0005515|GO:0046983","Pfam|SUPERFAMILY|Gene3D","Pentatricopeptide repeat|C2 domain|Armadillo-type fold|Urease accessory protein UreH-like, transmembrane domain|Helix-loop-helix DNA-binding domain superfamily"
