SAMPLES,GEBVs(BA),ACTUAL
15062362,50.623,42
15061954,51.296,49
15062339,41.414,55
15061482,49.058,60
15062104,49.079,58
15061707,48.985,40
15061567,42.26,40
15061964,14.89,6
15061488,53.909,58
15061438,53.776,46
15061814,50.771,58
15061721,56.626,57
15061601,50.526,34
15061719,14.746,6
15061629,45.938,43
15061477,50.782,58
15061761,14.408,6
15061336,56.395,58
15061386,43.578,40
15061305,48.948,39
15061676,50.664,42
15061523,50.13,58
15061763,50.911,48
15061385,50.463,49
15062133,49.904,58
15061333,48.572,45
15061627,46.008,36
15061731,53.835,49
15061641,51.185,49
15061330,46.76,58
15061626,48.809,39
15062147,49.664,34
15061487,51.98,39
15060536,54.286,36
15061261,44.292,45
15061389,53.479,57
15060101,14.839,8
15061397,50.332,6
15061551,48.921,57
15061539,50.355,58
15062115,51.167,49
15061361,51.081,58
15061669,53.143,55
15062359,55.079,36
15061690,54.119,55
15061308,53.587,46
15062372,45.164,35
15061342,50.902,39
15061281,49.915,60
15061932,49.253,46
15061370,51.404,55
15061630,49.076,58
15061789,48.56,40
15061666,40.664,55
15062143,45.921,58
15061297,46.525,58
15061907,40.414,8
15061538,50.608,39
15062371,48.336,58
15061685,45.617,49
15062081,45.33,39
15061969,43.277,31
15061498,52.529,34
15061271,49.982,58
15062344,59.858,55
15061279,54.987,49
15062144,50.188,49
15061722,53.55,40
15061768,47.098,58
15061557,44.796,48
15061434,49.537,49
15060072,41.886,57
15061405,49.931,45
15062052,51.838,55
15062098,51.315,49
15061916,51.065,39
15061377,44.509,45
15061633,39.809,57
15061702,44.124,55
15061614,48.809,49
15061368,43.913,45
15061520,57.624,58
15060082,48.291,39
15061656,49.637,36
15061331,43.924,43
15061327,43.672,40
15062074,46.939,31
15061300,51.289,58
15061776,48.964,45
15061462,43.75,40
15061302,46.276,33
15061957,55.49,41
15061514,44.428,36
15060909,49.356,43
15062063,50.894,39
15060090,48.291,60
15061301,41.136,58
15061423,47.042,49
15061453,51.204,58
15060215,49.749,57
15062119,49.054,58
15061537,14.645,6
15061667,45.767,45
15062123,50.027,45
15061710,48.509,57
15061258,48.526,43
15061443,48.793,43
15060050,48.494,49
15060110,50.502,55
15062053,49.296,57
15061764,11.426,33
15061799,51.264,57
