Samples,CTallo.L
15061614,54
15061337,54
15062067,54
15061752,45
15061930,28
15061566,28
15061773,28
15061575,49
15061344,54
15061282,54
15061926,54
15061906,28
15061665,54
15061397,54
15060187,28
15061534,54
15062362,54
15061521,28
15061633,28
15061659,49
15061673,28
15062356,42
15061361,54
15061729,28
15061755,54
15061496,28
15062368,54
15062339,54
15061577,54
15062136,28
15061529,54
15061396,28
15061482,54
15061814,28
15061769,54
15061610,42
15062147,54
15061358,54
15061550,28
15061271,54
15060214,54
15062074,54
15061507,54
15061383,28
15062149,28
15060042,28
15061647,54
15061477,54
15061586,54
15062347,54
15061958,54
15062346,54
15061639,49
15061757,28
15061299,28
15061653,54
15061761,54
15062146,28
15061655,54
15061329,28
15061535,28
15061578,28
15061730,28
15061627,54
15061500,54
15061717,28
15062122,28
15061435,28
15061706,54
15061624,28
15060121,54
15061423,54
15061488,28
15061916,54
15061487,28
15061281,54
15061937,54
15061493,54
15061296,28
15061649,54
15061307,28
15062133,28
15062350,54
15061338,28
15060027,28
15061011,54
15061795,28
15062358,28
15061216,54
15061300,54
15061462,54
15061516,28
15061394,54
15061453,28
15062123,54
15060110,28
15061964,54
15061542,54
15060570,54
15061785,54
15061766,54
15060021,28
15061364,54
15060050,54
15061637,53
15062369,28
15061345,54
15061966,28
15061737,28
15060112,54
15061751,62
15061567,54
