Samples,Tallo.LCH.L,Tallo.LCH.C,Tallo.LCH.H,PriFlor.LCH.L,PriFlor.LCH.C,PriFlor.LCH.H,Baya.LCH.L,Baya.LCH.C,Baya.LCH.H,PriTuber.LCH.L,PriTuber.LCH.C,PriTuber.LCH.H,SecTuber.LCH.L,SecTuber.LCH.C,SecTuber.LCH.H,Pulpa.LCH.L,Pulpa.LCH.C,Pulpa.LCH.H,PriBrote.LCH.L,PriBrote.LCH.C,PriBrote.LCH.H,SecBrote.LCH.L,SecBrote.LCH.C,SecBrote.LCH.H
15060021,28,16,359,37,43,331,44,26,116,29,8,313,75,42,17,82,35,93,26,20,307,95,7,318
15060027,28,16,359,36,39,321,54,44,117,35,29,17,75,35,83,92,6,71,26,20,307,95,7,318
15060039,54,44,117,36,55,329,50,28,115,34,28,21,80,42,96,92,6,71,45,57,327,95,7,318
15060042,28,16,359,45,57,327,66,48,118,50,26,342,80,42,96,92,6,71,26,20,307,94,5,52
15060050,54,44,117,54,49,320,50,28,115,80,28,67,34,34,8,92,6,71,45,57,327,95,7,318
15060056,54,44,117,89,8,95,66,48,118,76,47,85,81,29,350,92,3,32,26,20,307,95,7,318
15060063,28,16,359,36,55,329,71,50,115,35,29,17,74,35,83,84,18,90,39,57,339,95,7,318
15060070,28,16,359,36,55,329,54,44,117,29,8,313,80,42,96,92,6,71,26,20,307,95,7,318
15060072,54,44,117,49,57,317,71,50,115,70,40,42,75,35,83,84,26,94,39,55,336,95,5,344
15060082,54,44,117,36,39,321,44,26,116,80,42,96,27,22,344,92,6,71,26,20,307,94,4,41
15060085,54,44,117,33,58,312,58,45,128,30,11,328,82,41,70,94,5,52,26,20,307,95,5,344
15060097,54,44,117,58,45,310,58,45,128,75,35,83,41,28,80,94,5,52,81,26,337,94,4,41
15060101,54,44,117,89,8,95,53,38,132,50,26,342,80,42,96,92,6,71,26,20,307,95,7,318
15060102,54,44,117,89,8,95,54,44,117,30,29,7,76,36,8,92,6,71,26,20,307,95,7,318
15060110,28,16,359,36,55,329,54,44,117,28,16,359,76,47,85,92,6,71,26,20,307,95,5,344
15060112,54,44,117,41,58,318,44,26,116,30,29,7,75,35,83,84,18,90,26,20,307,95,7,318
15060114,54,44,117,48,40,314,54,44,117,43,33,10,75,35,83,92,6,71,48,41,320,94,5,52
15060120,28,16,359,57,46,323,71,50,115,80,42,96,48,38,6,92,6,71,52,55,328,95,7,318
15060121,54,44,117,52,45,305,58,45,128,28,16,359,80,42,96,92,6,71,26,20,307,95,7,318
15060122,54,44,117,66,36,324,44,26,116,43,33,10,79,36,83,84,18,90,31,33,324,95,7,318
15060138,28,16,359,36,39,321,44,26,116,43,39,17,79,36,83,92,6,71,26,20,307,95,7,318
15060160,54,44,117,36,39,321,58,45,128,43,33,10,81,32,84,84,18,90,26,20,307,95,5,344
15060187,28,16,359,39,57,339,54,44,117,30,16,3,82,35,93,82,35,93,41,42,316,96,7,318
15060188,54,44,117,45,57,327,58,45,128,66,40,69,30,11,328,94,5,52,26,20,307,95,7,318
15060190,54,44,117,36,39,321,71,50,115,38,32,345,73,31,53,84,18,90,26,20,307,95,7,318
15060191,54,44,117,36,55,329,69,59,106,80,41,86,41,37,12,84,26,94,26,20,307,95,7,318
15060215,54,44,117,45,57,327,54,44,117,35,29,7,80,41,86,92,6,71,31,33,324,95,7,318
15060313,54,44,117,36,55,329,50,28,115,77,45,83,43,33,10,84,18,90,95,7,318,94,7,318
15060345,54,44,117,48,41,320,71,50,115,80,42,96,43,39,17,84,26,94,44,53,341,95,7,318
15060383,54,44,117,61,43,319,53,38,132,75,35,83,50,29,17,80,42,96,62,50,338,96,7,318
15060420,54,44,117,57,46,323,58,45,128,42,37,18,75,35,83,84,18,90,43,42,324,95,7,318
15060543,54,44,117,57,46,323,54,44,117,38,32,14,80,47,96,84,26,94,47,59,350,96,7,318
15060570,54,44,117,42,39,319,54,44,117,76,47,85,38,32,14,84,26,94,43,58,322,96,7,318
15060797,54,44,117,36,39,321,54,44,117,27,19,5,80,41,86,82,35,93,33,26,307,96,7,318
15060846,54,44,117,56,48,332,66,43,128,38,32,14,81,32,84,92,3,32,26,20,307,94,4,41
15060907,28,16,359,43,58,322,54,44,117,51,43,355,80,41,86,92,6,71,28,35,303,95,7,318
15060909,54,44,117,61,43,319,54,44,117,82,35,93,42,37,18,92,6,71,39,39,308,94,4,41
15060910,28,16,359,36,55,329,44,26,116,43,39,17,80,42,96,84,18,90,48,58,336,96,7,318
15061007,54,44,117,43,58,322,54,44,117,43,33,10,75,35,83,81,32,84,43,40,309,96,7,318
15061011,54,44,117,43,58,312,54,44,117,80,42,96,43,33,10,84,26,94,75,26,302,95,7,318
15061122,54,44,117,41,60,332,54,44,124,43,33,10,75,35,83,92,6,71,49,57,317,96,7,318
15061204,54,44,117,53,43,320,54,28,117,30,11,328,75,47,83,84,18,90,26,20,307,94,5,41
15061213,54,44,117,36,55,329,63,32,111,35,29,17,75,35,83,84,24,85,36,47,352,94,4,41
15061215,54,44,117,43,58,322,54,44,117,34,28,21,80,42,96,84,18,90,52,45,330,94,4,41
15061216,54,44,117,89,8,95,66,48,118,30,11,328,81,32,84,84,18,90,38,40,308,96,7,318
15061225,54,44,117,36,55,329,66,48,118,43,33,10,84,24,85,92,6,71,59,40,305,96,7,318
15061226,54,44,117,41,42,316,58,32,112,80,41,86,29,23,333,92,6,71,26,20,307,94,4,41
15061237,54,44,117,54,39,313,76,75,107,43,39,17,81,32,84,95,5,344,48,58,336,96,7,318
15061256,54,44,117,36,55,329,54,44,117,30,11,328,75,35,83,92,6,88,26,20,307,95,7,318
15061257,28,16,359,41,42,316,66,48,118,43,39,17,79,28,83,84,18,90,26,20,307,96,7,318
15061258,28,16,359,53,43,320,54,44,117,30,11,328,80,41,86,92,3,32,26,20,307,95,5,344
15061259,28,16,359,48,40,314,44,26,116,29,8,313,80,41,86,92,6,71,26,20,307,94,4,41
15061261,54,44,117,52,45,305,69,59,106,80,41,86,50,29,17,80,42,96,33,34,316,95,7,318
15061262,54,44,117,88,10,96,58,45,128,43,28,3,66,40,69,84,18,90,26,20,307,94,4,41
15061263,54,44,117,92,6,71,58,45,128,28,16,359,80,39,86,84,26,94,58,42,304,96,7,318
15061264,54,44,117,92,6,71,54,44,117,75,35,83,43,33,10,84,26,94,26,20,307,94,4,41
15061265,54,44,117,52,45,305,66,48,118,30,29,7,80,42,96,92,6,71,26,20,307,95,7,318
15061270,54,44,117,54,49,320,54,44,117,43,39,17,81,41,86,84,18,90,26,20,307,94,7,318
15061271,54,44,117,43,58,312,62,43,124,30,11,328,80,42,96,92,3,32,26,20,307,96,7,318
15061273,54,44,117,41,58,318,54,44,117,43,39,17,38,32,14,84,26,94,26,20,307,44,54,353
15061274,54,44,117,43,58,312,44,26,116,41,37,12,76,41,12,84,18,90,44,53,341,96,7,318
15061277,54,44,117,54,49,320,58,45,128,80,41,86,50,29,17,92,6,71,36,26,314,96,7,318
15061279,54,44,117,54,49,320,54,44,117,35,29,17,75,42,84,84,26,94,33,26,314,39,53,346
15061281,54,44,117,41,60,332,50,28,115,42,37,18,80,42,96,92,6,71,54,49,320,96,7,318
15061283,54,44,117,31,33,324,66,48,118,34,28,21,80,42,96,84,18,90,27,28,306,95,5,344
15061286,54,44,117,36,39,321,54,44,117,35,29,17,75,35,83,84,26,94,84,16,308,39,53,346
15061288,54,44,117,48,40,314,66,48,117,40,35,16,82,35,93,92,6,71,26,20,314,94,4,41
15061289,54,44,117,45,57,327,66,48,118,38,32,14,75,35,83,84,18,90,57,46,323,94,4,41
15061290,54,44,117,54,49,320,72,45,115,80,42,96,43,33,10,92,6,71,26,20,307,95,7,318
15061291,54,44,117,49,57,317,54,44,117,42,37,18,80,42,96,84,18,90,45,57,327,94,4,41
15061293,28,16,359,53,43,320,66,48,118,65,57,97,28,11,318,84,18,90,27,28,306,94,4,41
15061295,36,19,28,54,49,320,71,50,115,35,29,17,28,11,318,92,6,71,26,20,307,96,7,318
15061296,28,16,359,54,49,320,66,48,118,29,8,313,75,35,83,84,26,94,33,26,314,95,7,318
15061297,54,44,117,43,58,312,54,44,117,29,8,313,76,47,85,89,8,95,26,20,307,96,7,318
15061298,54,44,117,61,43,319,66,48,118,54,43,21,80,42,96,84,18,90,33,26,314,94,4,41
15061300,54,44,117,43,58,322,58,32,112,80,42,96,30,11,328,88,10,96,27,28,306,94,4,41
15061301,54,44,117,43,58,322,54,44,117,38,32,14,80,42,96,84,18,90,33,26,314,36,47,352
15061302,54,44,117,31,33,324,66,48,118,30,11,328,80,42,96,84,26,94,27,28,306,94,4,41
15061303,54,44,117,57,46,323,66,48,118,80,42,96,43,33,10,92,6,71,52,55,328,94,4,41
15061305,54,44,117,42,39,319,66,48,118,80,41,86,42,36,346,92,6,71,26,20,307,94,4,41
15061307,28,16,359,61,43,319,54,44,117,30,16,3,82,35,93,84,18,90,27,28,306,94,4,41
15061312,54,44,117,61,43,319,69,59,106,43,39,17,75,35,83,92,6,71,38,40,308,94,4,41
