MarkerName,SampleName,X,Y,R,ratio
mrk001,AP001,1974.32208,992.02666,2966.34874,0.334426848274084
mrk001,AP002,2085.8706,765.50141,2851.37201,0.268467743709107
mrk001,AP003,2036.81575,978.08236,3014.89811,0.324416389647078
mrk001,AP004,1811.2849,1049.21751,2860.50241,0.366794835177223
mrk001,AP005,1925.06348,849.66879,2774.73227,0.306216494898083
mrk001,AP006,1883.42237,982.72067,2866.14304,0.342872165235689
mrk001,AP010,2002.56485,836.62702,2839.19187,0.294670828287487
mrk001,AP011,2023.91374,991.22563,3015.13937,0.328749523110768
mrk001,AP012,2029.86937,759.52995,2789.39932,0.2722915806834
mrk001,AP013,1793.36753,877.99245,2671.35998,0.328668714277886
mrk001,AP014,1977.5104,680.46292,2657.97332,0.256008182956479
mrk001,AP015,2080.14939,958.52271,3038.6721,0.315441310696208
mrk001,AP016,1954.74541,1086.94225,3041.68766,0.357348410322972
mrk001,AP017,2117.472,938.39907,3055.87107,0.307080713977897
mrk001,AP018,1919.22885,1165.66639,3084.89524,0.377862552635661
mrk001,AP020,1902.46834,1116.78031,3019.24865,0.369886829294434
mrk001,AP024,1956.47121,901.60452,2858.07573,0.315458583037616
mrk001,AP026,1861.88082,990.01288,2851.8937,0.347142279531667
mrk001,AP027,2056.84041,839.328,2896.16841,0.289806351420013
mrk001,AP028,2042.31111,803.00507,2845.31618,0.282219978097478
mrk001,AP032,2035.97441,791.33107,2827.30548,0.279888775938
mrk001,AP035,2051.65989,1059.1714,3110.83129,0.340478573494096
mrk001,AP036,1987.63046,993.26158,2980.89204,0.333209511338089
mrk001,AP037,1806.447,1134.87022,2941.31722,0.385837410627882
mrk001,AP038,1958.82384,933.39472,2892.21856,0.322726205034795
mrk001,AP039,2110.06503,927.16347,3037.2285,0.305266287999075
mrk001,AP040,2129.86632,651.82591,2781.69223,0.234327113175996
mrk001,AP041,1940.32796,808.24906,2748.57702,0.29406091010686
mrk001,AP042,1994.94916,1078.61161,3073.56077,0.350932254383244
mrk001,AP043,1946.25762,643.75846,2590.01608,0.248553846816271
mrk001,AP044,1743.77216,890.76707,2634.53923,0.338111142873359
mrk001,AP046,1864.30702,979.197,2843.50402,0.344362797841235
mrk001,AP047,1787.7146,965.6443,2753.3589,0.350715012125735
mrk001,AP049,1920.4878,870.83085,2791.31865,0.311978301008378
mrk001,AP050,1865.27715,1148.81877,3014.09592,0.381148709427934
mrk001,AP051,2109.68567,279.68939,2389.37506,0.117055457170462
mrk001,AP052,1905.10988,474.0856,2379.19548,0.199262987839906
