SAMPLES,c1_11237,c1_11920,c1_12234,c1_5286,c1_5936,c1_5940,c2_19077,c2_23251,c2_25179,c2_44634,c2_4978,c2_49812,c2_4986,c2_52806,c2_54586
15061942,4,0,1,3,0,0,0,1,2,1,1,3,3,3,1
15061763,3,1,2,3,1,1,0,0,4,1,1,2,3,3,2
15061801,4,1,2,2,0,0,0,0,3,1,1,1,3,2,1
15061494,4,2,2,2,0,0,0,0,4,2,2,0,3,2,4
15061613,3,0,2,2,1,1,0,1,3,2,2,1,2,2,3
15062137,4,1,1,3,0,0,0,1,4,1,2,1,3,4,3
15061319,4,2,2,4,0,0,0,2,3,1,1,2,3,2,2
15062142,4,1,2,2,1,1,1,2,4,2,2,0,2,4,4
15060320,4,0,1,2,0,0,0,0,4,1,1,0,4,4,4
15061768,3,0,2,3,1,1,0,0,4,3,3,3,1,2,1
15061522,3,1,1,3,1,1,0,1,2,1,1,2,3,3,2
15060081,4,3,2,3,0,0,0,2,2,1,2,2,3,2,2
15061656,4,1,2,2,1,1,0,0,3,2,2,1,2,2,2
15061759,2,0,1,3,2,2,0,0,4,4,4,3,1,3,1
15061928,2,0,2,3,0,0,0,2,4,2,2,2,3,2,1
15061454,3,1,2,3,1,1,0,1,2,2,2,1,2,2,1
15061605,4,1,1,2,0,0,0,2,4,2,2,0,2,3,2
15060087,4,1,2,3,0,0,0,0,3,1,1,2,3,4,2
15061619,4,1,1,3,0,0,0,1,4,1,2,1,3,4,3
15060090,3,1,2,2,2,2,0,0,2,2,3,1,2,3,1
15061731,4,1,1,3,0,0,0,1,4,1,1,1,3,4,3
15061655,3,1,2,2,1,1,0,1,2,3,3,2,1,4,2
15061661,3,0,2,2,1,1,0,1,3,2,2,1,2,2,3
15061499,4,0,2,2,1,1,0,1,4,2,2,2,2,3,1
15061647,4,2,2,4,0,0,0,2,3,1,1,2,3,2,2
15061612,4,2,2,2,0,0,0,0,4,1,2,4,3,3,0
15061742,4,0,2,2,1,1,0,1,4,2,2,2,2,3,1
15061710,3,1,1,2,1,1,0,0,2,1,1,2,3,4,1
15062372,3,2,2,3,2,2,0,0,3,2,2,2,2,3,1
15061583,3,0,2,2,1,1,0,1,3,2,2,1,2,2,3
15061767,3,2,3,0,1,1,0,0,3,1,1,2,3,4,2
15062130,4,1,3,4,0,0,0,2,4,3,3,1,1,1,3
15061637,4,2,2,4,0,0,0,2,3,1,2,2,3,2,2
15061337,3,1,2,3,1,1,0,0,3,2,2,2,2,3,2
15062104,3,1,3,3,1,1,0,1,3,4,4,1,1,3,3
15061579,3,1,1,3,1,1,0,1,3,2,2,3,2,4,1
15061932,4,2,1,1,0,0,1,1,4,2,2,1,2,4,2
15061603,4,1,2,3,0,0,0,0,3,1,1,2,3,4,2
15060025,4,2,2,4,0,0,0,2,3,1,1,2,3,2,3
15061704,4,2,2,4,0,0,0,2,3,1,1,2,3,2,2
15061334,4,0,4,2,0,0,1,2,4,2,2,2,2,4,2
15061631,3,1,1,2,1,1,0,0,3,1,1,2,3,4,1
15060964,3,1,2,3,1,1,0,2,3,3,3,2,1,4,1
15061778,4,1,1,3,0,0,0,1,4,1,1,1,3,4,3
15061718,3,1,2,3,1,1,0,1,2,2,2,1,2,2,1
15061486,3,1,3,3,1,1,0,1,4,2,2,2,2,3,2
15060214,4,2,1,2,0,0,0,0,4,0,0,1,4,3,3
15061333,3,1,2,3,1,1,0,0,3,4,4,3,1,2,1
15061962,4,2,1,1,0,0,1,1,4,2,2,1,2,4,2
15061624,4,1,2,3,0,0,0,0,3,1,1,2,3,4,3
15061282,3,0,2,2,1,1,0,1,3,2,2,1,2,2,3
15061529,3,1,2,3,1,1,0,1,2,2,2,2,2,3,2
15061935,4,2,1,1,0,0,1,1,4,2,2,1,2,4,3
15061568,3,0,2,3,0,0,1,0,4,0,0,1,4,2,3
15061491,4,1,1,3,0,0,0,1,4,1,1,1,3,4,3
15061318,3,1,3,3,1,1,0,0,4,2,2,2,2,2,1
15061361,3,1,2,3,1,1,0,0,3,2,2,2,2,3,2
15061515,4,2,3,2,1,1,0,0,3,1,1,1,3,4,2
15062123,4,0,2,2,1,1,0,1,4,2,2,2,2,3,1
15061358,4,2,2,4,0,0,0,2,3,1,1,2,3,2,2
15061428,4,0,4,1,0,0,1,2,3,1,1,0,3,4,4
15061496,3,1,3,3,1,1,0,0,4,1,1,1,3,3,3
15061648,3,0,0,2,1,1,0,2,3,3,3,1,2,4,3
15061808,4,1,2,2,0,0,0,0,3,1,1,1,3,2,1
15061600,4,1,2,4,0,0,0,0,3,1,2,2,3,4,3
15061730,4,2,3,3,0,0,0,1,1,2,2,2,2,3,2
15061623,4,2,2,4,0,0,0,2,3,1,1,2,3,2,2
15061405,3,0,2,2,1,1,0,1,3,2,2,1,2,2,3
15061299,3,0,2,2,1,1,0,1,3,2,2,1,2,2,3
15061578,3,1,3,3,1,1,0,1,3,4,4,1,1,3,3
15061476,3,1,1,3,0,0,0,1,3,1,1,1,3,4,2
15061765,3,1,2,3,1,1,0,1,2,2,2,2,2,3,2
15062111,4,0,1,2,0,0,0,1,3,1,1,0,4,3,4
15061397,4,1,2,3,0,0,0,0,3,1,1,2,3,4,2
15061713,4,2,2,4,0,0,0,2,3,1,1,2,3,2,2
15061584,3,3,2,3,0,0,0,1,2,0,0,3,4,1,1
15061912,3,0,3,3,0,0,0,4,4,2,2,2,2,2,1
15061260,4,2,2,4,0,0,0,2,3,1,2,2,3,2,2
15062099,3,0,2,3,1,1,0,1,3,2,2,3,2,3,1
15061350,4,1,2,3,0,0,1,1,3,0,0,1,4,3,3
15060933,4,1,2,2,0,0,1,1,1,0,0,2,4,4,1
15061548,3,3,1,4,1,1,0,1,4,1,1,2,3,3,2
15061348,3,1,2,3,1,1,0,0,3,2,2,2,2,3,2
15061560,4,2,1,2,0,0,0,1,3,1,1,1,3,4,3
15061544,4,1,2,3,0,1,0,0,3,1,1,2,3,4,1
15061449,3,1,2,3,1,1,0,1,2,2,2,1,2,2,1
15062348,4,0,4,1,0,0,1,2,3,1,1,0,3,4,4
15061916,3,1,2,3,1,1,0,0,3,2,2,2,2,3,2
15062138,4,1,2,3,0,0,0,0,3,1,1,2,3,3,2
15061946,3,1,3,3,1,1,0,0,4,1,1,1,3,3,3
15061676,3,1,2,3,1,1,0,0,3,2,2,2,2,3,2
15060536,2,1,2,1,2,2,0,2,3,2,2,2,2,3,2
15061391,4,1,1,3,0,0,0,1,4,1,1,1,3,4,3
15061662,3,1,2,3,1,1,0,1,2,2,2,1,2,2,1
15061228,3,1,2,3,2,2,0,0,2,2,2,2,2,3,0
15061356,3,1,2,2,2,2,0,0,2,2,3,1,2,3,1
15061963,4,1,1,3,0,0,0,1,4,1,2,1,3,4,3
15061338,4,1,2,3,0,0,0,0,3,1,1,2,3,4,2
15062331,3,1,2,3,2,2,0,0,2,3,3,1,2,3,1
15062098,4,0,4,1,0,0,1,2,3,1,1,0,3,4,4
15062114,3,1,1,3,1,1,0,1,3,2,2,3,2,4,1
15062046,3,0,3,3,0,0,0,4,4,2,3,2,2,2,1
15062370,3,1,3,3,1,1,0,1,3,4,4,1,1,3,3
15061685,3,0,2,3,1,1,0,0,3,1,1,3,3,3,1
15061540,4,0,2,2,1,1,0,1,4,2,2,2,2,3,1
15061721,4,0,3,4,0,0,0,2,4,2,2,2,3,1,1
15062074,3,2,1,3,1,1,0,0,3,1,1,1,3,2,3
15062362,3,1,2,3,1,1,0,0,3,2,2,2,2,3,2
15061689,4,1,1,3,0,0,0,1,4,1,1,1,3,4,3
15061357,3,1,3,3,1,1,0,1,3,4,4,1,1,3,3
15061376,4,0,4,1,0,0,1,2,3,1,1,0,3,4,4
15061308,4,1,1,3,0,0,0,1,4,1,1,1,3,4,3
