Prefix,Componentes_CHL,Models,Traits,Heredabilidad
CPBrote,C,BRR,CPBrote.C,0.520279690466264
CPBrote,C,BRR,CPBrote.C,0.520480864654273
CPBrote,C,BRR,CPBrote.C,0.544888030420929
CPBrote,C,BRR,CPBrote.C,0.561497591330511
CPBrote,C,BRR,CPBrote.C,0.562534256340393
CPBrote,C,BRR,CPBrote.C,0.593786925409435
CPBrote,C,BRR,CPBrote.C,0.558708971146346
CPBrote,C,BRR,CPBrote.C,0.585834682814894
CPBrote,C,BRR,CPBrote.C,0.529990528335049
CPBrote,C,BRR,CPBrote.C,0.549370274097419
CPBrote,C,BRR,CPBrote.C,0.554017851075356
CPBrote,C,BRR,CPBrote.C,0.543352910002861
CPBrote,C,BRR,CPBrote.C,0.55399932770957
CPBrote,C,BRR,CPBrote.C,0.596370003992958
CPBrote,C,BRR,CPBrote.C,0.509549986949992
CPBrote,C,BRR,CPBrote.C,0.54499248500833
CPBrote,C,BRR,CPBrote.C,0.517202518812719
CPBrote,C,BRR,CPBrote.C,0.53901000353909
CPBrote,C,BRR,CPBrote.C,0.513134235248067
CPBrote,C,BRR,CPBrote.C,0.520312627240677
CPBrote,C,BRR,CPBrote.C,0.583461310288417
CPBrote,C,BRR,CPBrote.C,0.497244474790756
CPBrote,C,BRR,CPBrote.C,0.520124878092721
CPBrote,C,BRR,CPBrote.C,0.549247317676816
CPBrote,C,BRR,CPBrote.C,0.557268823657227
CPBrote,C,BRR,CPBrote.C,0.585198698372807
CPBrote,C,BRR,CPBrote.C,0.53858213154101
CPBrote,C,BRR,CPBrote.C,0.534477354583471
CPBrote,C,BRR,CPBrote.C,0.586215642177102
CPBrote,C,BRR,CPBrote.C,0.548348583679161
CPBrote,C,BRR,CPBrote.C,0.596503866960116
CPBrote,C,BRR,CPBrote.C,0.593976896996138
CPBrote,C,BRR,CPBrote.C,0.486635401087647
CPBrote,C,BRR,CPBrote.C,0.600575248898188
CPBrote,C,BRR,CPBrote.C,0.581882797749927
CPBrote,C,BRR,CPBrote.C,0.608280134300053
CPBrote,C,BRR,CPBrote.C,0.641267647291592
CPBrote,C,BRR,CPBrote.C,0.592034678214662
CPBrote,C,BRR,CPBrote.C,0.6303014589697
CPBrote,C,BRR,CPBrote.C,0.591457629224813
CPBrote,C,BRR,CPBrote.C,0.592694987294198
CPBrote,C,BRR,CPBrote.C,0.592293226312
CPBrote,C,BRR,CPBrote.C,0.545132084720858
CPBrote,C,BRR,CPBrote.C,0.598255436990636
CPBrote,C,BRR,CPBrote.C,0.595961563356211
CPBrote,C,BRR,CPBrote.C,0.573441897323715
CPBrote,C,BRR,CPBrote.C,0.633093712038795
CPBrote,C,BRR,CPBrote.C,0.626716119664755
CPBrote,C,BRR,CPBrote.C,0.645158290386982
CPBrote,C,BRR,CPBrote.C,0.602962694892047
CPBrote,C,BRR,CPBrote.C,0.58842031601046
CPBrote,C,BRR,CPBrote.C,0.601320715627261
CPBrote,C,BRR,CPBrote.C,0.573817543792305
CPBrote,C,BRR,CPBrote.C,0.58786737695728
CPBrote,C,BRR,CPBrote.C,0.572989484350651
CPBrote,C,BRR,CPBrote.C,0.610861428137203
CPBrote,C,BRR,CPBrote.C,0.564104364332788
CPBrote,C,BRR,CPBrote.C,0.613916870643137
CPBrote,C,BRR,CPBrote.C,0.620477102789838
CPBrote,C,BRR,CPBrote.C,0.637508592605876
CPBrote,C,BRR,CPBrote.C,0.601685197207304
CPBrote,C,BRR,CPBrote.C,0.598505143581661
CPBrote,C,BRR,CPBrote.C,0.612450239534355
CPBrote,C,BRR,CPBrote.C,0.617518389748136
CPBrote,C,BRR,CPBrote.C,0.585434930399818
CPBrote,C,BRR,CPBrote.C,0.590733914511657
CPBrote,C,BRR,CPBrote.C,0.613221517416127
CPBrote,C,BRR,CPBrote.C,0.601195786758004
CPBrote,C,BRR,CPBrote.C,0.562593472828148
CPBrote,C,BRR,CPBrote.C,0.539157539433615
CPBrote,C,BRR,CPBrote.C,0.545587059510819
CPBrote,C,BRR,CPBrote.C,0.515854320548189
CPBrote,C,BRR,CPBrote.C,0.538432149846986
CPBrote,C,BRR,CPBrote.C,0.586330721635715
CPBrote,C,BRR,CPBrote.C,0.559071283475838
CPBrote,C,BRR,CPBrote.C,0.586808872724145
CPBrote,C,BRR,CPBrote.C,0.62999293061431
CPBrote,C,BRR,CPBrote.C,0.599926416119127
CPBrote,C,BRR,CPBrote.C,0.615697257412007
CPBrote,C,BRR,CPBrote.C,0.565101167580854
CPBrote,C,BRR,CPBrote.C,0.618111632404211
CPBrote,C,BRR,CPBrote.C,0.55909443544459
CPBrote,C,BRR,CPBrote.C,0.523806880114188
CPBrote,C,BRR,CPBrote.C,0.542956237445213
CPBrote,C,BRR,CPBrote.C,0.573741716898208
CPBrote,C,BRR,CPBrote.C,0.554054583544482
CPBrote,C,BRR,CPBrote.C,0.557356638156669
CPBrote,C,BRR,CPBrote.C,0.561525694168118
CPBrote,C,BRR,CPBrote.C,0.521247873700595
CPBrote,C,BRR,CPBrote.C,0.600562389012078
CPBrote,C,BRR,CPBrote.C,0.566157041723285
CPBrote,C,BRR,CPBrote.C,0.55547592489507
CPBrote,C,BRR,CPBrote.C,0.550117043845451
CPBrote,C,BRR,CPBrote.C,0.54698717163592
CPBrote,C,BRR,CPBrote.C,0.474375755650731
CPBrote,C,BRR,CPBrote.C,0.563745789087494
