Samples,CPFlor.C
15060021,43
15060025,45
15060027,39
15060039,55
15060042,57
15060056,8
15060063,55
15060070,55
15060081,45
15060085,58
15060087,60
15060097,45
15060102,8
15060112,58
15060114,40
15060120,46
15060121,45
15060122,36
15060138,39
15060160,39
15060187,57
15060188,57
15060190,39
15060191,55
15060214,39
15060313,55
15060320,57
15060345,41
15060383,43
15060420,46
15060543,46
15060570,39
15060797,39
15060846,48
15060907,58
15060910,55
15060933,58
15060964,39
15061007,58
15061011,58
15061122,60
15061204,43
15061213,55
15061215,58
15061216,8
15061225,55
15061226,42
15061228,58
15061237,39
15061256,55
15061257,42
15061259,40
15061260,46
15061262,10
15061263,6
15061264,6
15061265,45
15061270,49
15061273,58
15061274,58
15061277,49
15061282,58
15061283,33
15061286,39
15061288,40
15061289,57
15061290,49
15061291,57
15061293,43
15061295,49
15061296,49
15061298,43
15061299,43
15061303,46
15061307,43
15061312,43
15061313,58
15061314,46
15061317,6
15061318,55
15061319,42
15061320,58
15061323,58
15061324,55
15061329,39
15061334,57
15061335,39
15061337,57
15061338,49
15061340,49
15061344,49
15061345,55
15061346,43
15061347,39
15061348,58
15061349,43
15061350,40
15061352,55
15061353,55
15061355,55
15061356,43
15061357,58
15061358,40
15061360,55
15061364,58
15061365,43
15061367,49
15061369,45
15061376,55
15061378,57
15061380,58
15061382,58
15061383,57
15061384,58
15061388,43
15061390,57
15061391,55
15061392,45
15061394,6
15061396,58
15061404,55
15061406,58
15061410,55
15061411,39
15061414,43
15061415,58
15061417,46
15061418,46
15061419,58
15061420,39
15061421,35
15061422,55
15061424,46
15061425,49
15061428,49
15061430,60
15061435,58
15061436,46
15061437,39
15061439,39
15061441,39
15061442,33
15061444,55
15061445,39
15061447,46
15061449,45
15061454,58
15061458,41
15061459,57
15061461,45
15061463,43
15061469,57
15061470,43
15061471,48
15061475,31
15061476,42
15061478,43
15061479,58
15061480,55
15061481,58
15061484,39
15061485,40
15061486,45
15061489,55
15061490,58
15061491,58
15061492,43
15061493,58
15061494,58
15061495,40
15061496,58
15061499,36
15061500,55
15061501,58
15061503,45
15061504,49
15061505,55
15061507,55
15061508,55
15061509,6
15061511,6
15061515,6
15061516,60
15061517,58
15061518,58
15061521,43
15061522,58
15061524,43
15061525,33
15061526,42
15061528,58
15061529,6
15061530,39
15061533,52
15061534,49
15061535,57
15061536,55
15061540,58
15061542,46
15061543,57
15061544,36
15061546,57
15061548,55
15061549,55
15061550,41
15061553,26
15061555,35
15061556,58
15061560,43
15061561,58
15061564,43
15061565,49
15061566,57
15061568,58
15061571,43
15061575,42
15061576,41
15061577,58
15061578,43
15061579,58
15061580,40
15061583,48
15061584,58
15061585,36
15061586,36
15061588,39
15061600,40
15061602,36
15061603,39
15061604,42
15061605,43
15061608,48
15061609,58
15061610,39
15061612,58
15061613,49
15061619,58
15061621,57
15061622,45
15061623,40
15061624,40
15061628,6
15061631,58
15061632,58
15061637,58
15061638,39
15061639,43
15061640,40
15061642,49
15061645,49
15061646,6
15061647,45
15061648,58
15061649,39
15061650,45
15061651,58
15061653,55
15061654,58
15061655,36
15061658,48
15061659,58
15061661,36
15061662,42
15061665,58
15061668,57
15061670,55
15061671,55
15061673,49
15061677,55
15061678,55
15061679,55
15061680,55
15061682,40
15061683,58
15061684,41
15061686,55
15061687,58
15061688,58
15061689,55
15061704,37
15061706,6
15061709,55
15061712,58
15061713,36
15061714,42
15061717,45
15061718,40
15061720,42
15061723,58
15061724,58
15061725,58
15061726,58
15061729,45
15061730,45
15061733,46
15061734,55
15061735,49
15061736,46
15061737,58
15061738,58
15061740,40
15061742,57
15061744,40
15061747,6
15061751,45
15061752,57
15061753,49
15061754,45
15061755,31
15061756,45
15061757,57
15061758,34
15061759,58
15061760,43
15061762,52
15061765,6
15061766,58
15061767,35
15061769,40
15061771,58
15061772,40
15061773,41
15061777,58
15061778,58
15061784,55
15061785,36
15061788,40
15061790,46
15061795,58
15061797,49
15061798,45
15061800,42
15061801,26
15061808,46
15061811,58
15061813,58
15061815,45
15061826,43
15061905,42
15061906,45
15061908,53
15061909,55
15061910,39
15061911,49
15061912,46
15061915,49
15061917,58
15061918,57
15061926,55
15061927,31
15061928,57
15061929,39
15061930,57
15061933,42
15061934,58
15061935,55
15061937,39
15061939,58
15061941,49
15061942,46
15061944,57
15061945,58
15061946,40
15061948,43
15061949,42
15061951,43
15061952,39
15061953,58
15061958,36
15061960,45
15061961,39
15061962,49
15061963,58
15061965,6
15061966,58
15061967,43
15061968,40
15062036,55
15062038,58
15062039,43
15062046,57
15062050,55
15062051,55
15062067,57
15062069,33
15062071,10
15062080,58
15062092,40
15062094,58
15062097,58
15062099,57
15062100,48
15062101,40
15062102,6
15062103,55
15062105,39
15062106,55
15062107,39
15062108,43
15062109,58
15062111,58
15062112,58
15062114,58
15062117,58
15062118,48
15062122,33
15062124,6
15062126,40
15062130,41
15062136,55
15062137,58
15062138,58
15062139,39
15062142,58
15062145,58
15062146,40
15062149,58
15062150,58
15062151,58
15062152,55
15062153,58
15062331,57
15062332,53
15062333,55
15062334,58
15062335,57
15062337,55
15062338,55
15062346,42
15062347,45
15062348,49
15062349,39
15062350,49
15062351,42
15062353,57
15062354,49
15062356,48
15062357,58
15062358,58
15062360,35
15062361,58
15062363,55
15062366,43
15062367,58
15062368,57
15062369,58
15062370,58
