SAMPLES,GEBVs(BB),ACTUAL
15062362,86.124,84
15061954,84.274,84
15062339,86.144,84
15061482,88.763,92
15062104,84.447,84
15061707,83.892,84
15061567,87.476,84
15061964,85.336,84
15061488,86.411,92
15061438,86.516,92
15061814,89.777,92
15061721,88.2,84
15061601,86.152,84
15061719,85.387,84
15061629,89.256,92
15061477,88.847,92
15061761,85.252,84
15061336,89.591,84
15061386,86.686,84
15061305,86.957,92
15061676,85.759,84
15061523,90.068,92
15061763,86.189,84
15061385,90.491,92
15062133,86.766,92
15061333,85.595,84
15061627,88.776,92
15061731,86.484,84
15061641,90.223,94
15061330,87.358,84
15061626,88.278,92
15062147,87.738,92
15061487,88.162,92
15060536,90.7,84
15061261,86.802,80
15061389,86.433,84
15060101,85.393,92
15061397,90.496,84
15061551,88.797,92
15061539,90.488,84
15062115,86.924,84
15061361,86.144,84
15061669,85.533,92
15062359,88.294,84
15061690,86.367,84
15061308,86.471,82
15062372,84.724,84
15061342,86.156,84
15061281,86.823,92
15061932,88.547,92
15061370,84.289,84
15061630,84.226,80
15061789,88.751,92
15061666,89.747,92
15062143,85.129,84
15061297,89.337,89
15061907,91.123,84
15061538,90.034,92
15062371,89.881,92
15061685,85.13,84
15062081,89.372,84
15061969,90.034,92
15061498,87.018,84
15061271,84.858,92
15062344,88.857,84
15061279,85.069,84
15062144,90.491,84
15061722,89.333,92
15061768,90.441,92
15061557,86.876,84
15061434,87.754,84
15060072,85.141,84
15061405,91.234,92
15062052,84.306,84
15062098,84.236,84
15061916,86.068,84
15061377,86.82,84
15061633,88.461,92
15061702,85.159,84
15061614,91.283,92
15061368,86.673,84
15061520,88.83,82
15060082,88.776,92
15061656,88.382,92
15061331,86.164,92
15061327,87.054,92
15062074,88.884,92
15061300,86.928,88
15061776,88.734,92
15061462,87.506,88
15061302,84.831,84
15061957,86.757,92
15061514,86.779,84
15060909,88.564,92
15062063,86.098,84
15060090,89.896,94
15061301,84.973,84
15061423,89.387,92
15061453,86.936,84
15060215,91.261,92
15062119,84.436,92
15061537,85.175,84
15061667,85.124,84
15062123,85.851,92
15061710,84.199,80
15061258,84.165,92
15061443,88.762,84
15060050,89.908,92
15060110,90.488,92
15062053,87.359,92
15061764,86.376,84
15061799,86.134,84
