Samples,CTallo.C
15061614,44
15061337,44
15062067,44
15061752,19
15061930,16
15061566,16
15061773,16
15061575,21
15061344,44
15061282,44
15061926,44
15061906,16
15061665,44
15061397,44
15060187,16
15061534,44
15062362,44
15061521,16
15061633,16
15061659,21
15061673,16
15062356,17
15061361,44
15061729,16
15061755,44
15061496,16
15062368,44
15062339,44
15061577,44
15062136,6
15061529,44
15061396,16
15061482,44
15061814,16
15061769,44
15061610,17
15062147,44
15061358,44
15061550,16
15061271,44
15060214,44
15062074,44
15061507,44
15061383,16
15062149,16
15060042,16
15061647,44
15061477,44
15061586,44
15062347,44
15061958,44
15062346,44
15061639,21
15061757,16
15061299,6
15061653,44
15061761,44
15062146,16
15061655,44
15061329,16
15061535,16
15061578,6
15061730,16
15061627,44
15061500,44
15061717,16
15062122,6
15061435,16
15061706,44
15061624,6
15060121,44
15061423,44
15061488,16
15061916,44
15061487,6
15061281,44
15061937,44
15061493,44
15061296,16
15061649,44
15061307,16
15062133,6
15062350,44
15061338,16
15060027,16
15061011,44
15061795,16
15062358,16
15061216,44
15061300,44
15061462,44
15061516,16
15061394,44
15061453,16
15062123,44
15060110,16
15061964,44
15061542,44
15060570,44
15061785,44
15061766,44
15060021,16
15061364,44
15060050,44
15061637,38
15062369,16
15061345,44
15061966,16
15061737,16
15060112,44
15061751,43
15061567,44
