Samples,PriBrote.L
15060021,26
15060027,26
15060039,45
15060042,26
15060050,45
15060056,26
15060063,39
15060070,26
15060072,39
15060082,26
15060085,26
15060097,81
15060101,26
15060102,26
15060110,26
15060112,26
15060114,48
15060120,52
15060121,26
15060122,31
15060138,26
15060160,26
15060187,41
15060188,26
15060190,26
15060191,26
15060215,31
15060313,95
15060345,44
15060383,62
15060420,43
15060543,47
15060570,43
15060797,33
15060846,26
15060907,28
15060909,39
15060910,48
15061007,43
15061011,75
15061122,49
15061204,26
15061213,36
15061215,52
15061216,38
15061225,59
15061226,26
15061237,48
15061256,26
15061257,26
15061258,26
15061259,26
15061261,33
15061262,26
15061263,58
15061264,26
15061265,26
15061270,26
15061271,26
15061273,26
15061274,44
15061277,36
15061279,33
15061281,54
15061283,27
15061286,84
15061288,26
15061289,57
15061290,26
15061291,45
15061293,27
15061295,26
15061296,33
15061297,26
15061298,33
15061300,27
15061301,33
15061302,27
15061303,52
15061305,26
15061307,27
15061312,38
15061313,26
15061314,39
15061317,33
15061320,39
15061323,33
15061324,26
15061327,26
15061329,27
15061330,39
15061331,33
15061335,27
15061336,26
15061340,27
15061342,27
15061344,27
15061345,39
15061346,48
15061347,26
15061349,33
15061352,94
15061353,27
15061355,26
15061360,26
15061364,33
15061365,42
15061367,42
15061368,26
15061369,26
15061370,48
15061377,48
15061378,43
15061380,26
15061382,58
15061383,26
15061384,27
15061385,26
15061386,26
15061388,57
15061389,48
15061390,26
15061392,43
15061394,26
15061396,26
15061404,26
15061406,26
15061410,36
15061411,26
15061414,36
15061415,39
15061417,31
15061418,31
15061419,26
15061420,49
15061421,26
15061422,39
15061423,31
15061424,65
15061425,48
15061430,39
15061434,39
15061435,75
15061436,43
15061437,33
15061438,33
15061439,27
15061441,65
15061442,38
15061443,57
15061444,26
15061445,38
15061447,30
15061453,43
15061458,48
15061459,33
15061461,48
15061462,48
15061463,33
15061469,43
15061470,31
15061471,33
15061475,26
15061477,26
15061478,26
15061479,35
15061480,43
15061481,26
15061482,36
15061484,26
15061485,36
15061487,26
15061488,38
15061489,33
15061490,48
15061492,41
15061493,33
15061495,26
15061498,33
15061500,52
15061501,41
15061503,84
15061504,54
15061505,39
15061507,43
15061508,43
15061509,33
15061511,26
15061514,26
15061516,36
15061517,70
15061518,59
15061520,43
15061521,26
15061523,26
15061524,33
15061525,49
15061526,75
15061528,26
15061530,48
15061533,33
15061534,38
15061535,26
15061536,26
15061537,54
15061538,54
15061539,43
15061542,49
15061543,33
15061546,33
15061549,26
15061550,33
15061551,48
15061553,33
15061555,26
15061556,59
15061557,26
15061561,66
15061564,36
15061565,48
15061566,33
15061567,39
15061571,45
15061575,26
15061576,33
15061577,26
15061580,26
15061585,33
15061586,46
15061588,26
15061601,26
15061602,33
15061604,44
15061608,31
15061609,26
15061610,26
15061614,31
15061621,37
15061622,26
15061626,26
15061627,54
15061628,38
15061629,26
15061630,26
15061632,44
15061633,43
15061638,33
15061639,43
15061640,26
15061641,59
15061642,26
15061645,27
15061646,26
15061649,33
15061650,33
15061651,33
15061653,48
15061654,33
15061658,33
15061659,42
15061665,57
15061666,33
15061667,26
15061668,39
15061669,48
15061670,36
15061671,39
15061673,45
15061677,33
15061678,33
15061679,26
15061680,36
15061682,26
15061683,33
15061684,27
15061686,26
15061687,38
15061688,28
15061690,33
15061702,27
15061706,49
15061707,33
15061709,36
15061712,33
15061714,39
15061717,27
15061719,27
15061720,44
15061722,45
15061723,44
15061724,49
15061725,39
15061726,44
15061729,49
15061733,58
15061734,39
15061735,39
15061736,27
15061737,59
15061738,39
15061740,26
15061744,49
15061747,33
15061751,49
15061752,26
15061753,35
15061754,56
15061755,33
15061756,38
15061757,26
15061758,38
15061760,54
15061761,26
15061762,26
15061764,26
15061766,26
15061769,39
15061771,38
15061772,26
15061773,26
15061776,33
15061777,26
15061784,26
15061785,43
15061788,26
15061789,52
15061790,36
15061795,33
15061797,94
15061798,65
15061799,26
15061800,33
15061811,33
15061813,59
15061814,49
15061815,43
15061826,36
15061905,48
15061906,26
15061907,94
15061908,45
15061909,26
15061910,26
15061911,33
15061915,61
15061917,42
15061918,31
15061926,33
15061927,47
15061929,26
15061930,31
15061933,26
15061934,26
15061937,26
15061939,94
15061941,52
15061944,49
15061945,48
15061948,57
15061949,26
15061951,48
15061952,33
15061953,26
15061954,39
15061957,43
15061958,48
15061960,26
15061961,26
15061964,26
15061965,26
15061966,26
15061967,26
15061968,27
15061969,33
15062036,48
15062038,44
15062039,31
15062050,48
15062051,62
15062052,30
15062053,52
15062063,26
15062067,39
15062069,26
15062071,26
15062080,57
15062081,26
15062092,27
15062094,33
15062097,26
15062100,52
15062101,26
15062102,54
15062103,41
15062105,26
15062106,26
15062107,33
15062108,33
15062109,56
15062112,26
15062115,49
15062117,39
15062118,39
15062119,26
15062122,26
15062124,33
15062126,26
15062133,26
15062136,33
15062139,48
15062143,26
15062144,28
15062145,27
15062146,26
15062147,39
15062149,44
15062150,26
15062151,26
15062152,26
15062153,43
15062332,26
15062333,26
15062334,26
15062335,41
15062337,62
15062338,52
15062339,36
15062344,26
15062346,36
15062347,26
15062349,27
15062350,38
15062351,26
15062353,44
15062354,39
15062356,26
15062357,26
15062358,36
15062359,33
15062360,49
15062361,33
15062363,70
15062366,33
15062367,33
15062368,48
15062369,48
15062371,36
