Samples,CPBrote.L
15062362,43
15061954,39
15062339,36
15061482,36
15062104,26
15061707,33
15061567,39
15061964,26
15061488,38
15061438,33
15061814,49
15061721,37
15061601,26
15061719,27
15061629,26
15061477,26
15061761,26
15061336,26
15061386,26
15061305,26
15061676,33
15061523,26
15061763,26
15061385,26
15062133,26
15061333,27
15061627,54
15061731,35
15061641,59
15061330,39
15061626,26
15062147,39
15061487,26
15060536,47
15061261,33
15061389,48
15060101,26
15061397,58
15061551,48
15061539,43
15062115,49
15061361,26
15061669,48
15062359,33
15061690,33
15061308,27
15062372,27
15061342,27
15061281,54
15061932,52
15061370,48
15061630,26
15061789,52
15061666,33
15062143,26
15061297,26
15061907,94
15061538,54
15062371,36
15061685,27
15062081,26
15061969,33
15061498,33
15061271,26
15062344,26
15061279,33
15062144,28
15061722,45
15061768,36
15061557,26
15061434,39
15060072,43
15061405,26
15062052,30
15062098,48
15061916,26
15061377,48
15061633,43
15061702,27
15061614,31
15061368,26
15061520,43
15060082,26
15061656,41
15061331,33
15061327,26
15062074,26
15061300,27
15061776,33
15061462,48
15061302,27
15061957,43
15061514,26
15060909,27
15062063,26
15060090,26
15061301,33
15061423,31
15061453,43
15060215,31
15062119,26
15061537,54
15061667,26
15062123,26
15061710,26
15061258,26
15061443,57
15060050,45
15060110,26
15062053,52
15061764,26
15061799,26
