Prefix,HCL_component,Models,Traits,Heritability
CBaya,C,BA,CBaya.C,0.752490690112456
CBaya,C,BA,CBaya.C,0.760416723874764
CBaya,C,BA,CBaya.C,0.768506015024824
CBaya,C,BA,CBaya.C,0.792269124680094
CBaya,C,BA,CBaya.C,0.775031219290473
CBaya,C,BA,CBaya.C,0.778512055759326
CBaya,C,BA,CBaya.C,0.779645241647732
CBaya,C,BA,CBaya.C,0.791040115312825
CBaya,C,BA,CBaya.C,0.769466078708136
CBaya,C,BA,CBaya.C,0.77243493753417
CBaya,C,BA,CBaya.C,0.786798869394574
CBaya,C,BA,CBaya.C,0.796442870396401
CBaya,C,BA,CBaya.C,0.782978785103539
CBaya,C,BA,CBaya.C,0.762486528972018
CBaya,C,BA,CBaya.C,0.771462489502116
CBaya,C,BA,CBaya.C,0.776872860146806
CBaya,C,BA,CBaya.C,0.770333291634822
CBaya,C,BA,CBaya.C,0.747949115547641
CBaya,C,BA,CBaya.C,0.726066340025824
CBaya,C,BA,CBaya.C,0.751415514470263
CBaya,C,BA,CBaya.C,0.776083935202796
CBaya,C,BA,CBaya.C,0.756920044333705
CBaya,C,BA,CBaya.C,0.758007223335905
CBaya,C,BA,CBaya.C,0.771665315270267
CBaya,C,BA,CBaya.C,0.801013738089402
CBaya,C,BA,CBaya.C,0.749827091388502
CBaya,C,BA,CBaya.C,0.776796523161025
CBaya,C,BA,CBaya.C,0.76991835503701
CBaya,C,BA,CBaya.C,0.771710192293565
CBaya,C,BA,CBaya.C,0.795658807866476
CBaya,C,BA,CBaya.C,0.787017782336498
CBaya,C,BA,CBaya.C,0.750970845065959
CBaya,C,BA,CBaya.C,0.72028496476173
CBaya,C,BA,CBaya.C,0.734326229515868
CBaya,C,BA,CBaya.C,0.74936288057168
CBaya,C,BA,CBaya.C,0.727353130418702
CBaya,C,BA,CBaya.C,0.713449147087375
CBaya,C,BA,CBaya.C,0.729914966284533
CBaya,C,BA,CBaya.C,0.761425376339475
CBaya,C,BA,CBaya.C,0.740634020560722
CBaya,C,BA,CBaya.C,0.71803574212528
CBaya,C,BA,CBaya.C,0.721044534657998
CBaya,C,BA,CBaya.C,0.716411801807438
CBaya,C,BA,CBaya.C,0.74114871669969
CBaya,C,BA,CBaya.C,0.743768757792381
CBaya,C,BA,CBaya.C,0.722493827811478
CBaya,C,BA,CBaya.C,0.73025502766029
CBaya,C,BA,CBaya.C,0.696677859147407
CBaya,C,BA,CBaya.C,0.663622239127747
CBaya,C,BA,CBaya.C,0.67217961665738
CBaya,C,BA,CBaya.C,0.690128732882136
CBaya,C,BA,CBaya.C,0.676833783257694
