"Samples","CTallo.L","CTallo.C","CTallo.H","CPFlor.L","CPFlor.C","CPFlor.H","CBaya.L","CBaya.C","CBaya.H","CPTuber.L","CPTuber.C","CPTuber.H","CSTuber.L","CSTuber.C","CSTuber.H","CPulpa.L","CPulpa.C","CPulpa.H","CSPulpa.L","CSPulpa.C","CSPulpa.H","CPBrote.L","CPBrote.C","CPBrote.H","CSBrote.L","CSBrote.C","CSBrote.H"
"15061614",54,44,117,54,49,320,54,44,117,39,28,22,82,30,83,92,6,71,32,33,328,31,33,324,96,7,318
"15061337",54,44,117,49,57,317,54,44,117,30,28,345,80,47,96,84,18,90,31,33,344,33,26,314,94,5,41
"15062067",54,44,117,45,57,327,69,48,116,80,42,96,42,37,41,92,6,71,41,33,344,39,53,346,94,4,41
"15061752",45,19,134,45,57,327,66,48,118,27,22,344,80,41,96,84,26,94,27,34,328,26,20,307,96,7,318
"15061930",28,16,359,45,57,327,69,45,116,50,26,342,79,36,83,92,3,71,27,28,346,31,33,324,95,7,318
"15061566",28,16,359,49,57,317,50,38,115,29,8,313,80,42,96,92,6,71,27,22,344,33,26,314,94,4,41
"15061773",28,16,359,67,41,314,54,44,117,30,29,7,76,35,83,84,18,90,30,28,345,26,20,307,96,7,318
"15061575",49,21,132,41,42,316,66,48,118,39,46,9,80,26,83,84,18,90,27,33,346,26,20,307,96,7,318
"15061344",54,44,117,54,49,320,71,50,115,42,36,346,75,35,67,84,18,90,30,33,345,27,28,306,96,7,318
"15061282",54,44,117,43,58,322,58,38,112,50,26,342,92,42,71,92,6,71,27,30,346,27,28,306,96,7,318
"15061926",54,44,117,36,55,329,69,48,117,28,16,359,80,41,86,92,3,71,27,28,344,33,34,316,94,4,41
"15061906",28,16,359,52,45,305,54,44,117,29,8,313,75,32,53,92,6,71,27,22,344,26,20,307,96,7,318
"15061665",54,44,117,43,58,322,54,44,117,74,37,74,43,39,33,84,18,90,29,28,346,57,46,323,94,4,41
"15061397",54,44,117,33,58,322,53,38,112,50,26,342,74,37,74,84,26,94,43,39,328,58,42,304,96,7,318
"15060187",28,16,359,39,57,322,54,44,117,30,16,3,82,35,93,82,35,93,37,33,344,41,42,316,96,7,318
"15061534",54,44,117,54,49,320,50,38,115,28,11,318,80,42,96,80,35,96,33,34,316,38,40,308,96,7,318
"15062362",54,44,117,41,42,316,54,44,117,76,47,85,43,37,41,84,18,90,31,28,342,43,40,309,94,4,41
"15061521",28,16,359,61,43,319,66,48,118,35,29,17,80,41,86,82,35,93,30,22,344,43,42,324,96,7,318
"15061633",28,16,359,49,57,317,54,44,117,79,36,83,79,36,83,92,6,71,30,28,345,43,40,309,94,4,41
"15061659",49,21,132,43,58,322,54,44,117,42,36,346,80,41,86,92,6,71,27,34,342,42,39,319,96,7,318
