"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
100,"CBaya.LCH.C","CBaya","C","BC",0.142777777777778
100,"CBaya.LCH.H","CBaya","H","RKHS",0.0777777777777778
100,"CBaya.LCH.L","CBaya","L","BC",0.115666666666667
100,"CPBrote.LCH.C","CPBrote","C","RKHS",0.588333333333333
100,"CPBrote.LCH.H","CPBrote","H","BA",0.352111111111111
100,"CPBrote.LCH.L","CPBrote","L","GBLUP",0.438333333333333
100,"CPFlor.LCH.C","CPFlor","C","BRR",0.627555555555556
100,"CPFlor.LCH.H","CPFlor","H","RKHS",0.868666666666667
100,"CPFlor.LCH.L","CPFlor","L","BC",0.633888888888889
100,"CPTuber.LCH.C","CPTuber","C","BRR",0.513777777777778
100,"CPTuber.LCH.H","CPTuber","H","RKHS",0.439555555555556
100,"CPTuber.LCH.L","CPTuber","L","EGBLUP",0.496333333333333
100,"CPulpa.LCH.C","CPulpa","C","RKHS",0.451
100,"CPulpa.LCH.H","CPulpa","H","RKHS",0.302555555555556
100,"CPulpa.LCH.L","CPulpa","L","RKHS",0.421555555555556
100,"CSBrote.LCH.C","CSBrote","C","BL",0.265666666666667
100,"CSBrote.LCH.H","CSBrote","H","BRR",0.192444444444444
100,"CSBrote.LCH.L","CSBrote","L","BL",0.309222222222222
100,"CSPulpa.LCH.C","CSPulpa","C","RKHS",0.222555555555556
100,"CSPulpa.LCH.H","CSPulpa","H","BA",0.0908888888888889
100,"CSPulpa.LCH.L","CSPulpa","L","BL",0.340666666666667
100,"CSTuber.LCH.C","CSTuber","C","BC",0.191111111111111
100,"CSTuber.LCH.H","CSTuber","H","EGBLUP",0.160444444444444
100,"CSTuber.LCH.L","CSTuber","L","BRR",0.366777777777778
100,"CTallo.LCH.C","CTallo","C","RKHS",0.661444444444444
100,"CTallo.LCH.H","CTallo","H","BRR",0.470888888888889
100,"CTallo.LCH.L","CTallo","L","RKHS",0.696111111111111
1000,"CBaya.LCH.C","CBaya","C","GBLUP",0.148111111111111
1000,"CBaya.LCH.H","CBaya","H","EGBLUP",0.0954444444444444
1000,"CBaya.LCH.L","CBaya","L","BRR",0.111111111111111
1000,"CPBrote.LCH.C","CPBrote","C","RKHS",0.565555555555556
1000,"CPBrote.LCH.H","CPBrote","H","BRR",0.351333333333333
1000,"CPBrote.LCH.L","CPBrote","L","RKHS",0.439222222222222
1000,"CPFlor.LCH.C","CPFlor","C","RKHS",0.622444444444444
1000,"CPFlor.LCH.H","CPFlor","H","BA",0.842333333333333
1000,"CPFlor.LCH.L","CPFlor","L","BC",0.642333333333333
1000,"CPTuber.LCH.C","CPTuber","C","BA",0.525555555555556
1000,"CPTuber.LCH.H","CPTuber","H","BC",0.438666666666667
1000,"CPTuber.LCH.L","CPTuber","L","EGBLUP",0.503666666666667
1000,"CPulpa.LCH.C","CPulpa","C","BL",0.462
1000,"CPulpa.LCH.H","CPulpa","H","RKHS",0.378
1000,"CPulpa.LCH.L","CPulpa","L","RKHS",0.435888888888889
1000,"CSBrote.LCH.C","CSBrote","C","BL",0.250777777777778
1000,"CSBrote.LCH.H","CSBrote","H","BA",0.228888888888889
1000,"CSBrote.LCH.L","CSBrote","L","BB",0.306777777777778
1000,"CSPulpa.LCH.C","CSPulpa","C","BB",0.219777777777778
1000,"CSPulpa.LCH.H","CSPulpa","H","GBLUP",0.126666666666667
1000,"CSPulpa.LCH.L","CSPulpa","L","BC",0.345888888888889
1000,"CSTuber.LCH.C","CSTuber","C","GBLUP",0.191111111111111
1000,"CSTuber.LCH.H","CSTuber","H","BRR",0.154666666666667
1000,"CSTuber.LCH.L","CSTuber","L","BRR",0.353555555555556
1000,"CTallo.LCH.C","CTallo","C","EGBLUP",0.667777777777778
1000,"CTallo.LCH.H","CTallo","H","GBLUP",0.458
1000,"CTallo.LCH.L","CTallo","L","EGBLUP",0.697666666666667
2000,"CBaya.LCH.C","CBaya","C","EGBLUP",0.160777777777778
2000,"CBaya.LCH.H","CBaya","H","BA",0.0933333333333333
2000,"CBaya.LCH.L","CBaya","L","BA",0.104333333333333
2000,"CPBrote.LCH.C","CPBrote","C","RKHS",0.583666666666667
2000,"CPBrote.LCH.H","CPBrote","H","BC",0.337888888888889
2000,"CPBrote.LCH.L","CPBrote","L","BC",0.440888888888889
2000,"CPFlor.LCH.C","CPFlor","C","EGBLUP",0.619333333333333
2000,"CPFlor.LCH.H","CPFlor","H","RKHS",0.858888888888889
2000,"CPFlor.LCH.L","CPFlor","L","RKHS",0.642333333333333
2000,"CPTuber.LCH.C","CPTuber","C","EGBLUP",0.526333333333333
2000,"CPTuber.LCH.H","CPTuber","H","BRR",0.447777777777778
2000,"CPTuber.LCH.L","CPTuber","L","EGBLUP",0.479222222222222
2000,"CPulpa.LCH.C","CPulpa","C","RKHS",0.464222222222222
2000,"CPulpa.LCH.H","CPulpa","H","RKHS",0.366666666666667
2000,"CPulpa.LCH.L","CPulpa","L","EGBLUP",0.424888888888889
2000,"CSBrote.LCH.C","CSBrote","C","BC",0.244777777777778
