Samples,CSPulpa.L
15060025,30
15060039,30
15060056,27
15060063,41
15060070,31
15060072,42
15060081,50
15060082,31
15060085,27
15060087,30
15060090,27
15060097,43
15060101,30
15060102,37
15060114,27
15060120,30
15060122,41
15060138,27
15060160,30
15060188,31
15060190,27
15060191,27
15060215,27
15060313,43
15060320,43
15060345,42
15060383,42
15060420,37
15060536,31
15060543,32
15060797,27
15060846,27
15060907,30
15060909,30
15060910,30
15060933,27
15060964,27
15061007,27
15061122,30
15061204,36
15061213,27
15061215,30
15061225,27
15061226,43
15061228,42
15061237,30
15061256,31
15061257,27
15061258,29
15061259,31
15061260,42
15061261,29
15061262,30
15061263,36
15061264,43
15061265,27
15061270,30
15061273,30
15061274,30
15061277,42
15061279,31
15061283,30
15061286,30
15061288,30
15061289,27
15061290,29
15061291,27
15061293,32
15061295,31
15061297,28
15061298,42
15061301,27
15061302,27
15061303,42
15061305,37
15061308,33
15061312,29
15061313,31
15061314,50
15061317,30
15061318,27
15061319,30
15061320,42
15061323,27
15061324,30
15061327,31
15061330,31
15061331,31
15061333,41
15061334,27
15061335,37
15061336,27
15061340,27
15061342,31
15061346,30
15061347,31
15061348,27
15061349,42
15061350,43
15061352,27
15061353,29
15061355,29
15061356,42
15061357,43
15061360,27
15061365,33
15061367,37
15061368,37
15061369,43
15061370,27
15061376,31
15061377,27
15061378,30
15061380,27
15061382,27
15061384,31
15061385,29
15061386,31
15061388,41
15061389,30
15061390,30
15061391,29
15061392,30
15061404,32
15061405,27
15061406,37
15061410,27
15061411,27
15061414,42
15061415,30
15061417,50
15061418,42
15061419,31
15061420,31
15061421,41
15061422,29
15061424,32
15061425,42
15061428,30
15061430,27
15061434,31
15061436,27
15061437,43
15061438,50
15061439,27
15061441,37
15061442,27
15061443,37
15061444,28
15061445,31
15061447,43
15061449,31
15061454,33
15061458,41
15061459,37
15061461,42
15061463,42
15061469,42
15061470,31
15061471,27
15061475,42
15061476,37
15061478,31
15061479,42
15061480,30
15061481,27
15061484,27
15061485,30
15061486,42
15061489,27
15061490,30
15061491,30
15061492,30
15061494,31
15061495,33
15061498,42
15061499,50
15061501,42
15061503,31
15061504,27
15061505,27
15061508,33
15061509,27
15061511,27
15061514,30
15061515,27
15061517,29
15061518,27
15061520,30
15061522,29
15061523,29
15061524,31
15061525,30
15061526,32
15061528,42
15061530,31
15061533,27
15061536,27
15061537,30
15061538,27
15061539,30
15061540,27
15061543,27
15061544,27
15061546,27
15061548,27
15061549,36
15061551,30
15061553,30
15061555,27
15061556,27
15061557,27
15061560,29
15061561,31
15061564,30
15061565,27
15061568,30
15061571,27
15061576,30
15061579,27
15061580,27
15061583,30
15061584,29
15061585,27
15061588,27
15061600,41
15061601,31
15061602,42
15061603,27
15061604,30
15061605,29
15061608,42
15061609,29
15061612,43
15061613,30
15061619,42
15061621,27
15061622,27
15061623,31
15061626,27
15061628,41
15061629,42
15061630,27
15061631,27
15061632,32
15061638,43
15061640,31
15061641,31
15061642,32
15061645,42
15061646,31
15061648,30
15061650,42
15061651,27
15061654,27
15061656,42
15061658,27
15061661,42
15061662,27
15061666,27
15061667,43
15061668,43
15061669,42
15061670,33
15061671,36
15061676,31
15061677,42
15061678,27
15061679,31
15061680,31
15061682,27
15061683,27
15061684,31
15061685,27
15061686,28
15061687,42
15061688,31
15061689,42
15061690,42
15061702,41
15061704,42
15061707,33
15061709,29
15061710,30
15061712,30
15061713,27
15061714,50
15061718,27
15061719,27
15061720,27
15061721,27
15061722,37
15061723,42
15061724,42
15061725,33
15061726,27
15061731,42
15061733,50
15061734,29
15061735,30
15061736,50
15061738,30
15061740,27
15061742,30
15061744,27
15061747,27
15061753,42
15061754,29
15061756,27
15061758,36
15061759,50
15061760,37
15061762,37
15061763,32
15061764,37
15061765,30
15061767,36
15061768,27
15061771,27
15061772,42
15061776,31
15061777,27
15061778,30
15061784,30
15061788,30
15061789,50
15061790,50
15061797,30
15061798,33
15061799,30
15061800,42
15061801,29
15061808,42
15061811,27
15061813,30
15061815,30
15061826,30
15061905,42
15061907,30
15061908,42
15061909,43
15061910,27
15061911,29
15061912,50
15061915,41
15061917,30
15061918,31
15061927,43
15061928,27
15061929,27
15061932,42
15061933,43
15061934,43
15061935,27
15061939,30
15061941,31
15061942,32
15061944,43
15061945,42
15061946,29
15061948,42
15061949,27
15061951,30
15061952,27
15061953,27
15061954,37
15061957,31
15061960,27
15061961,27
15061962,31
15061963,31
15061965,30
15061967,30
15061968,30
15061969,42
15062036,29
15062038,36
15062039,42
15062046,42
15062050,30
15062051,30
15062052,29
15062053,30
15062063,27
15062069,33
15062071,30
15062080,27
15062081,43
15062092,32
15062094,43
15062097,29
15062098,30
15062099,30
15062100,43
15062101,33
15062102,29
15062103,31
15062104,37
15062105,27
15062106,30
15062107,31
15062108,30
15062109,27
15062111,27
15062112,27
15062114,27
15062115,42
15062117,36
15062118,37
15062119,42
15062124,27
15062126,27
15062130,31
15062137,30
15062138,27
15062139,30
15062142,37
15062143,27
15062144,42
15062145,31
15062150,31
15062151,28
15062152,27
15062153,27
15062331,37
15062332,30
15062333,33
15062334,31
15062335,42
15062337,37
15062338,29
15062344,27
15062348,27
15062349,30
15062351,31
15062353,43
15062354,50
15062357,27
15062359,41
15062360,42
15062361,27
15062363,42
15062366,30
15062367,30
15062370,27
15062371,42
15062372,29
