Samples,CSTuber.H
15060021,84
15060025,5
15060027,83
15060039,96
15060042,96
15060056,350
15060063,6
15060070,96
15060081,7
15060085,83
15060087,84
15060097,85
15060102,96
15060112,83
15060114,83
15060120,6
15060121,86
15060122,83
15060138,83
15060160,84
15060187,93
15060188,328
15060190,53
15060191,12
15060214,12
15060313,10
15060320,21
15060345,17
15060383,17
15060420,83
15060543,85
15060570,14
15060797,86
15060846,84
15060907,86
15060910,96
15060933,84
15060964,85
15061007,83
15061011,10
15061122,83
15061204,328
15061213,83
15061215,96
15061216,84
15061225,85
15061226,333
15061228,93
15061237,84
15061256,83
15061257,83
15061259,86
15061260,83
15061262,69
15061263,86
15061264,10
15061265,96
15061270,83
15061273,14
15061274,85
15061277,17
15061282,71
15061283,96
15061286,83
15061288,93
15061289,83
15061290,10
15061291,96
15061293,318
15061295,318
15061296,83
15061298,96
15061299,80
15061303,10
15061307,93
15061312,83
15061313,17
15061314,86
15061317,83
15061318,96
15061319,69
15061320,16
15061323,346
15061324,85
15061329,96
15061334,85
15061335,346
15061337,22
15061338,83
15061340,83
15061344,41
15061345,83
15061346,84
15061347,96
15061348,84
15061349,328
15061350,83
15061352,346
15061353,85
15061355,86
15061356,342
15061357,83
15061358,346
15061360,96
15061364,86
15061365,83
15061367,83
15061369,41
15061376,83
15061378,342
15061380,85
15061382,83
15061383,25
15061384,86
15061388,80
15061390,86
15061391,86
15061392,346
15061394,83
15061396,86
15061404,93
15061406,84
15061410,84
15061411,93
15061414,5
15061415,96
15061417,85
15061418,3
15061419,96
15061420,3
15061421,83
15061422,86
15061424,96
15061425,96
15061428,96
15061430,85
15061435,0
15061436,96
15061437,342
15061439,359
15061441,313
15061442,93
15061444,96
15061445,0
15061447,96
15061449,96
15061454,96
15061458,85
15061459,96
15061461,14
15061463,96
15061469,83
15061470,70
15061471,84
15061475,96
15061476,96
15061478,96
15061479,96
15061480,96
15061481,28
15061484,69
15061485,17
15061486,96
15061489,83
15061490,96
15061491,86
15061492,86
15061493,86
15061494,7
15061495,86
15061496,86
15061499,17
15061500,17
15061501,25
15061503,93
15061504,93
15061505,86
15061507,96
15061508,17
15061509,74
15061511,96
15061515,53
15061516,86
15061517,96
15061518,86
15061521,86
15061522,14
15061524,3
15061525,96
15061526,83
15061528,3
15061529,96
15061530,74
15061533,86
15061534,80
15061535,86
15061536,86
15061540,25
15061542,86
15061543,86
15061544,85
15061546,86
15061548,84
15061549,84
15061550,96
15061553,16
15061555,93
15061556,15
15061560,41
15061561,346
15061564,96
15061565,80
15061566,96
15061568,18
15061571,67
15061575,21
15061576,346
15061577,85
15061578,83
15061579,96
15061580,96
15061583,90
15061584,86
15061585,85
15061586,17
15061588,83
15061600,84
15061602,318
15061603,96
15061604,96
15061605,355
15061608,0
15061609,96
15061610,96
15061612,324
15061613,78
15061619,86
15061621,96
15061622,359
15061623,96
15061624,96
15061628,328
15061631,85
15061632,96
15061637,10
15061638,10
15061639,90
15061640,84
15061642,346
15061645,86
15061646,80
15061647,345
15061648,74
15061649,83
15061650,85
15061651,83
15061653,17
15061654,67
15061655,83
15061658,84
15061659,86
15061661,86
15061662,96
15061665,17
15061668,14
15061670,14
15061671,12
15061673,83
15061677,83
15061678,83
15061679,83
15061680,94
15061682,12
15061683,17
15061684,41
15061686,83
15061687,17
15061688,83
15061689,83
15061704,85
15061706,346
15061709,18
15061712,96
15061713,313
15061714,83
15061717,40
15061718,83
15061720,22
15061723,83
15061724,342
15061725,83
15061726,17
15061729,83
15061730,86
15061733,5
15061734,86
15061735,12
15061736,5
15061737,5
15061738,83
15061740,28
15061742,18
15061744,16
15061747,80
15061751,74
15061752,96
15061753,84
15061754,96
15061755,93
15061756,83
15061757,313
15061758,5
15061759,3
15061760,67
15061762,83
15061765,85
15061766,16
15061767,28
15061769,86
15061771,83
15061772,83
15061773,93
15061777,83
15061778,86
15061784,83
15061785,17
15061788,345
15061790,17
15061795,17
15061797,3
15061798,346
15061800,344
15061801,96
15061808,17
15061811,84
15061813,17
15061815,80
15061826,85
15061905,96
15061906,84
15061908,318
15061909,346
15061910,346
15061911,93
15061912,28
15061915,17
15061917,96
15061918,83
15061926,86
15061927,96
15061928,86
15061929,346
15061930,83
15061933,83
15061934,359
15061935,86
15061937,96
15061939,10
15061941,10
15061942,96
15061944,17
15061945,25
15061946,83
15061948,83
15061949,85
15061951,86
15061952,86
15061953,86
15061958,17
15061960,83
15061961,86
15061962,17
15061963,86
15061965,41
15061966,86
15061967,86
15061968,86
15062036,96
15062038,86
15062039,342
15062046,6
15062050,21
15062051,86
15062067,18
15062069,5
15062071,342
15062080,346
15062092,318
15062094,86
15062097,86
15062099,85
15062100,21
15062101,93
15062102,41
15062103,344
15062105,96
15062106,16
15062107,83
15062108,86
15062109,85
15062111,342
15062112,86
15062114,313
15062117,85
15062118,83
15062122,84
15062124,96
15062126,83
15062130,83
15062136,17
15062137,86
15062138,83
15062139,85
15062142,17
15062145,83
15062146,83
15062149,5
15062150,96
15062151,85
15062152,6
15062153,83
15062331,74
15062332,67
15062333,313
15062334,12
15062335,83
15062337,96
15062338,85
15062346,85
15062347,74
15062348,85
15062349,85
15062350,83
15062351,83
15062353,22
15062354,22
15062356,85
15062357,86
15062358,85
15062360,27
15062361,84
15062363,86
15062366,83
15062367,313
15062368,85
15062369,86
15062370,83
