Samples,CPBrote.C
15061614,33
15061337,26
15062067,53
15061752,20
15061930,33
15061566,26
15061773,20
15061575,20
15061344,28
15061282,28
15061926,34
15061906,20
15061665,46
15061397,42
15060187,42
15061534,40
15062362,40
15061521,42
15061633,40
15061659,39
15061673,57
15062356,20
15061361,20
15061729,57
15061755,26
15061496,26
15062368,58
15062339,39
15061577,20
15062136,26
15061529,26
15061396,20
15061482,47
15061814,57
15061769,57
15061610,20
15062147,53
15061358,28
15061550,26
15061271,20
15060214,20
15062074,20
15061507,40
15061383,20
15062149,53
15060042,20
15061647,28
15061477,20
15061586,66
15062347,20
15061958,58
15062346,49
15061639,58
15061757,20
15061299,40
15061653,58
15061761,20
15062146,20
15061655,55
15061329,28
15061535,20
15061578,55
15061730,39
15061627,49
15061500,55
15061717,28
15062122,20
15061435,26
15061706,57
15061624,55
15060121,20
15061423,33
15061488,40
15061916,20
15061487,20
15061281,49
15061937,20
15061493,26
15061296,26
15061649,26
15061307,28
15062133,20
15062350,40
15061338,20
15060027,20
15061011,26
15061795,26
15062358,55
15061216,40
15061300,28
15061462,45
15061516,47
15061394,20
15061453,40
15062123,20
15060110,20
15061964,20
15061542,57
15060570,58
15061785,58
15061766,20
15060021,20
15061364,26
15060050,57
15061637,20
15062369,58
15061345,57
15061966,20
15061737,48
15060112,20
15061751,42
15061567,57
