Samples,CSPulpa.H
15061614,328
15061337,344
15062067,344
15061752,328
15061930,346
15061566,344
15061773,345
15061575,346
15061344,345
15061282,346
15061926,344
15061906,344
15061665,346
15061397,328
15060187,344
15061534,316
15062362,342
15061521,344
15061633,345
15061659,342
15061673,344
15062356,344
15061361,344
15061729,333
15061755,316
15061496,345
15062368,345
15062339,344
15061577,328
15062136,346
15061529,324
15061396,344
15061482,344
15061814,346
15061769,345
15061610,344
15062147,346
15061358,344
15061550,316
15061271,346
15060214,344
15062074,345
15061507,334
15061383,346
15062149,344
15060042,346
15061647,324
15061477,324
15061586,344
15062347,344
15061958,344
15062346,324
15061639,344
15061757,344
15061299,346
15061653,346
15061761,344
15062146,344
15061655,344
15061329,321
15061535,345
15061578,344
15061730,334
15061627,346
15061500,344
15061717,344
15062122,344
15061435,344
15061706,345
15061624,322
15060121,316
15061423,316
15061488,324
15061916,345
15061487,316
15061281,345
15061937,328
15061493,316
15061296,318
15061649,331
15061307,324
15062133,316
15062350,324
15061338,333
15060027,324
15061011,344
15061795,344
15062358,346
15061216,346
15061300,346
15061462,324
15061516,344
15061394,345
15061453,346
15062123,342
15060110,334
15061964,331
15061542,344
15060570,345
15061785,318
15061766,344
15060021,344
15061364,345
15060050,346
15061637,344
15062369,345
15061345,344
15061966,345
15061737,346
15060112,344
15061751,344
15061567,344
