Samples,CPTuber.L
15062362,76
15061954,40
15062339,76
15061482,80
15062104,79
15061707,51
15061567,76
15061964,50
15061488,30
15061438,29
15061814,30
15061721,39
15061601,89
15061719,43
15061629,80
15061477,29
15061761,45
15061336,29
15061386,28
15061305,80
15061676,38
15061523,30
15061763,27
15061385,30
15062133,35
15061333,29
15061627,60
15061731,51
15061641,30
15061330,40
15061626,29
15062147,42
15061487,30
15060536,81
15061261,80
15061389,30
15060101,50
15061397,50
15061551,80
15061539,75
15062115,80
15061361,34
15061669,76
15062359,76
15061690,29
15061308,29
15062372,28
15061342,35
15061281,42
15061932,80
15061370,41
15061630,28
15061789,80
15061666,79
15062143,38
15061297,29
15061907,80
15061538,30
15062371,75
15061685,38
15062081,27
15061969,80
15061498,29
15061271,30
15062344,30
15061279,35
15062144,30
15061722,27
15061768,43
15061557,40
15061434,35
15060072,70
15061405,42
15062052,43
15062098,39
15061916,27
15061377,76
15061633,79
15061702,45
15061614,39
15061368,53
15061520,39
15060082,80
15061656,42
15061331,60
15061327,41
15062074,80
15061300,80
15061776,76
15061462,76
15061302,30
15061957,38
15061514,42
15060909,82
15062063,27
15060090,42
15061301,38
15061423,35
15061453,29
15060215,35
15062119,29
15061537,50
15061667,39
15062123,75
15061710,29
15061258,30
15061443,76
15060050,80
15060110,28
15062053,40
15061764,75
15061799,34
