SAMPLES,c1_11319,c1_12106,c1_14044,c1_14089,c1_4359,c1_513,c1_5137,c1_7342,c2_1508,c2_15268,c2_15676,c2_15796,c2_20714,c2_21041,c2_24454,c2_26210,c2_27699,c2_27715,c2_27763,c2_28665,c2_28666,c2_28697,c2_29386,c2_2957,c2_3079,c2_34115,c2_3747,c2_39100,c2_40523,c2_41336,c2_41337,c2_41391,c2_4366,c2_44266,c2_45071,c2_46398,c2_48817,c2_48951,c2_49476,c2_50176,c2_51578,c2_52206,c2_52898,c2_53708,c2_54811,c2_55639,c2_55830,c2_55835,c2_58236,c2_9375
15061942,3,0,1,2,3,2,4,3,1,0,3,0,2,1,1,2,1,3,1,3,3,3,0,2,0,3,2,3,0,0,0,3,4,2,2,2,4,0,3,3,1,2,2,3,1,2,2,2,2,4
15061763,3,2,3,2,2,3,4,4,0,0,2,0,3,0,2,2,0,4,0,1,3,3,1,1,0,4,1,4,1,2,2,3,3,2,1,1,4,2,2,3,0,1,2,1,2,4,2,2,2,2
15061801,3,0,3,3,3,2,4,2,1,1,4,1,2,1,1,3,1,3,1,1,3,3,0,2,2,3,2,4,1,0,0,1,3,0,3,2,3,0,2,3,1,2,2,2,2,3,2,2,2,4
15061494,3,2,2,0,3,2,3,4,0,2,3,0,2,1,2,3,0,4,0,2,3,3,2,1,0,4,1,3,0,NA,3,3,4,0,1,1,3,1,2,4,1,0,2,0,2,4,3,1,2,4
15061613,3,1,3,3,1,3,4,3,0,0,2,0,2,1,0,1,1,3,1,2,2,3,0,2,0,2,2,3,2,1,2,2,2,1,2,4,3,1,3,2,1,2,1,3,3,3,1,3,3,4
15062137,3,2,3,2,3,3,4,3,1,0,2,0,1,0,1,3,1,3,1,2,3,3,1,2,0,4,1,4,1,1,2,2,4,3,1,1,4,2,2,4,0,2,1,2,3,4,3,1,3,3
15061319,3,2,3,1,3,2,4,3,0,1,3,1,1,1,0,1,0,4,0,2,3,3,0,1,0,3,1,4,0,1,3,3,3,1,0,2,4,1,2,3,0,1,1,2,2,2,3,1,3,4
15062142,2,0,3,3,2,2,3,3,0,0,2,1,1,1,0,4,2,2,2,2,4,4,0,2,2,3,0,4,3,0,2,1,4,0,2,2,2,2,3,3,1,1,2,4,3,2,3,1,2,2
15060320,2,1,3,2,2,3,4,3,2,0,4,0,3,0,0,3,0,4,0,2,3,3,1,1,1,4,2,3,2,1,1,1,3,3,2,2,2,0,2,3,2,0,1,2,1,3,4,0,3,2
15061768,3,1,4,2,2,2,3,4,1,0,3,0,1,0,1,2,1,3,1,2,2,3,0,1,0,2,1,3,2,1,1,3,4,1,1,2,3,0,3,3,0,1,3,3,2,3,3,1,1,3
15061522,2,0,3,0,2,0,4,3,2,0,3,0,2,0,0,1,0,4,0,1,3,3,0,3,2,3,2,4,2,0,1,3,4,0,2,1,3,1,3,2,1,1,1,2,1,3,3,1,3,4
15060081,3,2,3,2,3,2,4,3,1,1,2,1,1,1,0,2,0,4,0,2,3,3,0,1,0,3,1,4,0,1,3,3,3,1,0,2,4,1,2,3,0,1,1,2,2,2,3,1,3,4
15061656,3,1,3,3,2,2,3,4,1,1,4,2,1,2,1,1,0,4,0,3,1,2,2,3,1,3,3,4,2,0,1,2,4,2,1,3,2,2,2,3,1,0,1,2,2,3,4,0,3,3
15061759,3,1,3,2,4,1,2,4,2,0,3,1,2,0,0,3,1,3,1,3,2,3,2,2,0,1,3,4,1,2,2,4,4,2,3,2,3,0,3,2,0,0,2,2,1,3,3,1,2,4
15061928,2,2,3,0,3,2,2,4,2,1,2,1,2,1,1,2,1,3,1,1,3,3,2,3,0,2,2,3,0,2,2,3,4,0,1,0,2,2,1,4,0,0,3,2,1,3,3,1,1,3
15061454,2,1,3,0,2,1,3,4,1,0,3,1,1,0,1,3,0,4,0,0,4,4,1,2,2,3,2,2,1,1,2,4,4,1,3,1,4,1,3,3,0,1,3,0,1,4,3,1,1,2
15061605,2,1,3,3,2,3,4,3,0,0,4,2,2,0,0,3,1,3,1,2,2,3,0,2,1,2,1,4,2,0,1,1,4,0,3,1,3,1,3,3,2,2,2,2,3,4,4,0,2,3
15060087,3,1,3,2,2,2,4,3,1,0,3,0,2,0,1,2,1,3,1,2,3,3,0,2,0,3,2,4,1,1,2,3,3,1,2,2,3,0,2,4,0,2,3,2,3,3,2,2,1,4
15061619,3,2,3,2,3,3,4,3,1,0,2,0,1,0,1,3,1,3,1,2,3,3,1,2,0,4,1,4,1,1,2,2,4,3,1,1,4,2,2,4,0,2,1,2,3,4,3,1,3,3
15060090,2,1,4,4,4,3,4,2,0,1,3,2,1,1,0,3,0,4,1,3,1,1,0,2,2,4,1,4,0,0,1,3,4,0,2,3,4,1,2,4,1,2,1,2,3,4,2,2,3,1
15061731,3,2,3,2,3,3,4,3,1,0,2,0,1,0,1,3,1,3,1,1,3,3,1,2,0,4,1,4,1,1,2,2,4,3,1,1,4,2,2,4,0,2,1,2,3,4,3,1,3,3
15061655,2,0,1,3,2,1,3,3,2,0,2,2,3,1,2,4,0,4,0,4,1,4,2,1,2,2,2,4,1,2,1,3,4,1,2,2,3,1,4,3,0,2,0,3,1,3,2,2,4,2
15061661,3,1,3,3,1,3,4,3,0,0,2,0,2,1,0,1,1,3,1,2,2,3,0,2,0,2,2,3,2,1,2,2,2,1,2,4,3,1,3,2,1,2,1,3,3,3,1,3,3,4
