Samples,CPulpa.C
15062362,18
15061954,18
15062339,26
15061482,6
15062104,18
15061707,18
15061567,26
15061964,18
15061488,6
15061438,6
15061814,6
15061721,18
15061601,26
15061719,26
15061629,6
15061477,6
15061761,26
15061336,18
15061386,18
15061305,6
15061676,18
15061523,6
15061763,26
15061385,6
15062133,6
15061333,18
15061627,6
15061731,18
15061641,5
15061330,26
15061626,6
15062147,6
15061487,6
15060536,18
15061261,42
15061389,18
15060101,6
15061397,26
15061551,6
15061539,18
15062115,18
15061361,18
15061669,6
15062359,18
15061690,18
15061308,35
15062372,26
15061342,18
15061281,6
15061932,6
15061370,18
15061630,42
15061789,6
15061666,6
15062143,18
15061297,8
15061907,26
15061538,6
15062371,6
15061685,26
15062081,18
15061969,6
15061498,18
15061271,3
15062344,18
15061279,26
15062144,18
15061722,6
15061768,6
15061557,18
15061434,18
15060072,26
15061405,6
15062052,26
15062098,18
15061916,18
15061377,26
15061633,6
15061702,18
15061614,6
15061368,26
15061520,35
15060082,6
15061656,6
15061331,6
15061327,6
15062074,3
15061300,10
15061776,6
15061462,10
15061302,26
15061957,6
15061514,18
15060909,6
15062063,18
15060090,5
15061301,18
15061423,6
15061453,18
15060215,6
15062119,6
15061537,26
15061667,18
15062123,6
15061710,42
15061258,3
15061443,18
15060050,6
15060110,6
15062053,6
15061764,26
15061799,18
