"Theta_Columns","R_Columns"
"Wauseon","Wauseon"
"Lenape","Lenape"
"WXL001","WXL001"
"WXL002","WXL002"
"WXL003","WXL003"
"WXL004","WXL004"
"WXL005","WXL005"
"WXL006","WXL006"
"WXL007","WXL007"
"WXL008","WXL008"
"WXL009","WXL009"
"WXL010","WXL010"
"WXL011","WXL011"
"WXL012","WXL012"
"WXL013","WXL013"
"WXL014","WXL014"
"WXL015","WXL015"
"WXL016","WXL016"
"WXL017","WXL017"
"WXL018","WXL018"
"WXL019","WXL019"
"WXL020","WXL020"
"WXL021","WXL021"
"WXL022","WXL022"
"WXL023","WXL023"
"WXL024","WXL024"
"WXL025","WXL025"
"WXL026","WXL026"
"WXL027","WXL027"
"WXL028","WXL028"
"WXL029","WXL029"
"WXL030","WXL030"
"WXL031","WXL031"
"WXL032","WXL032"
"WXL033","WXL033"
"WXL034","WXL034"
"WXL035","WXL035"
"WXL036","WXL036"
"WXL037","WXL037"
"WXL038","WXL038"
"WXL039","WXL039"
"WXL040","WXL040"
"WXL041","WXL041"
"WXL042","WXL042"
"WXL043","WXL043"
"WXL044","WXL044"
"WXL045","WXL045"
"WXL046","WXL046"
"WXL047","WXL047"
"WXL048","WXL048"
"WXL049","WXL049"
"WXL050","WXL050"
"WXL051","WXL051"
"WXL052","WXL052"
"WXL053","WXL053"
"WXL054","WXL054"
"WXL055","WXL055"
"WXL056","WXL056"
"WXL057","WXL057"
"WXL058","WXL058"
"WXL059","WXL059"
"WXL060","WXL060"
"WXL061","WXL061"
"WXL062","WXL062"
"WXL063","WXL063"
"WXL064","WXL064"
"WXL065","WXL065"
"WXL066","WXL066"
"WXL067","WXL067"
"WXL068","WXL068"
"WXL069","WXL069"
"WXL070","WXL070"
"WXL071","WXL071"
"WXL072","WXL072"
"WXL073","WXL073"
"WXL074","WXL074"
"WXL076_R","WXL076_R"
"WXL077","WXL077"
"WXL078","WXL078"
"WXL079","WXL079"
"WXL080","WXL080"
"WXL081","WXL081"
"WXL082","WXL082"
"WXL083","WXL083"
"WXL084","WXL084"
"WXL085_R","WXL085_R"
"WXL086","WXL086"
"WXL087","WXL087"
"WXL088_R","WXL088_R"
"WXL089","WXL089"
"WXL090","WXL090"
"WXL091_R","WXL091_R"
"WXL092_R","WXL092_R"
"WXL093_R","WXL093_R"
"WXL094_R","WXL094_R"
"WXL095_R","WXL095_R"
"WXL096_R","WXL096_R"
"WXL097","WXL097"
"WXL098","WXL098"
"WXL099","WXL099"
"WXL100_R","WXL100_R"
"WXL101","WXL101"
"WXL102_R","WXL102_R"
"WXL103","WXL103"
"WXL104","WXL104"
"WXL105_R","WXL105_R"
"WXL106","WXL106"
"WXL107","WXL107"
"WXL108","WXL108"
"WXL109","WXL109"
"WXL110","WXL110"
"WXL111","WXL111"
"WXL112","WXL112"
"WXL113","WXL113"
"WXL114","WXL114"
"WXL115","WXL115"
"WXL116","WXL116"
"WXL117","WXL117"
"WXL118","WXL118"
"WXL119","WXL119"
"WXL120","WXL120"
"WXL121","WXL121"
"WXL122","WXL122"
"WXL123","WXL123"
"WXL124","WXL124"
"WXL125","WXL125"
"WXL126","WXL126"
"WXL127_R","WXL127_R"
"WXL128_R","WXL128_R"
"WXL129","WXL129"
"WXL130","WXL130"
"WXL131","WXL131"
"WXL132","WXL132"
"WXL133","WXL133"
"WXL134","WXL134"
"WXL135","WXL135"
"WXL136_R","WXL136_R"
"WXL137_R","WXL137_R"
"WXL138_R","WXL138_R"
"WXL139","WXL139"
"WXL140","WXL140"
"WXL141_R","WXL141_R"
"WXL142","WXL142"
"WXL143","WXL143"
"WXL144","WXL144"
"WXL145","WXL145"
"WXL146","WXL146"
"WXL147","WXL147"
"WXL148","WXL148"
"WXL149","WXL149"
"WXL150","WXL150"
"WXL151","WXL151"
"WXL152","WXL152"
"WXL153","WXL153"
"WXL154_R","WXL154_R"
"WXL155","WXL155"
"WXL156","WXL156"
"WXL157","WXL157"
"WXL158","WXL158"
"WXL159","WXL159"
"WXL160","WXL160"
"WXL161_R","WXL161_R"
"WXL162","WXL162"
"WXL163","WXL163"
"WXL164","WXL164"
"WXL165","WXL165"
"WXL166","WXL166"
"WXL167","WXL167"
"WXL168","WXL168"
"WXL169","WXL169"
"WXL170","WXL170"
"WXL171_R","WXL171_R"
"WXL172","WXL172"
"WXL173","WXL173"
"WXL174_R","WXL174_R"
"WXL175","WXL175"
"WXL176_R","WXL176_R"
"WXL177","WXL177"
"WXL178","WXL178"
"WXL179_R","WXL179_R"
"WXL180_R","WXL180_R"
"WXL181_R","WXL181_R"
"WXL182","WXL182"
"WXL183","WXL183"
"WXL184","WXL184"
"WXL185","WXL185"
"WXL186","WXL186"
"WXL187","WXL187"
"WXL188","WXL188"
"WXL189","WXL189"
"WXL190","WXL190"
"WXL191","WXL191"
"WXL192","WXL192"
