Samples,CSPulpa.L
15060021,27
15060025,42
15060027,30
15060039,32
15060042,27
15060056,27
15060063,41
15060070,31
15060081,30
15060085,27
15060087,30
15060097,42
15060102,37
15060112,33
15060114,30
15060120,42
15060121,29
15060122,43
15060138,37
15060160,42
15060187,27
15060188,27
15060190,37
15060191,42
15060214,42
15060313,50
15060320,42
15060345,37
15060383,41
15060420,42
15060543,41
15060570,42
15060797,31
15060846,42
15060907,30
15060910,41
15060933,50
15060964,33
15061007,37
15061011,43
15061122,27
15061204,31
15061213,30
15061215,30
15061216,43
15061225,27
15061226,29
15061228,29
15061237,33
15061256,31
15061257,30
15061259,31
15061260,31
15061262,29
15061263,27
15061264,30
15061265,30
15061270,42
15061273,50
15061274,36
15061277,42
15061282,33
15061283,36
15061286,41
15061288,27
15061289,42
15061290,37
15061291,30
15061293,31
15061295,31
15061296,27
15061298,41
15061299,37
15061303,36
15061307,30
15061312,31
15061313,43
15061314,42
15061317,27
15061318,42
15061319,30
15061320,43
15061323,27
15061324,27
15061329,36
15061334,31
15061335,36
15061337,37
15061338,29
15061340,36
15061344,43
15061345,42
15061346,42
15061347,36
15061348,33
15061349,30
15061350,42
15061352,27
15061353,30
15061355,42
15061356,27
15061357,43
15061358,31
15061360,37
15061364,36
15061365,42
15061367,42
15061369,42
15061376,30
15061378,30
15061380,30
15061382,37
15061383,30
15061384,31
15061388,37
15061390,33
15061391,27
15061392,30
15061394,29
15061396,27
15061404,32
15061406,33
15061410,42
15061411,37
15061414,42
15061415,43
15061417,50
15061418,42
15061419,31
15061420,43
15061421,41
15061422,43
15061424,32
15061425,43
15061428,42
15061430,36
15061435,42
15061436,42
15061437,30
15061439,42
15061441,30
15061442,33
15061444,30
15061445,41
15061447,31
15061449,42
15061454,42
15061458,30
15061459,27
15061461,42
15061463,42
15061469,31
15061470,31
15061471,30
15061475,43
15061476,30
15061478,31
15061479,42
15061480,27
15061481,30
15061484,30
15061485,41
15061486,30
15061489,31
15061490,29
15061491,30
15061492,30
15061493,30
15061494,37
15061495,27
15061496,27
15061499,42
15061500,31
15061501,43
15061503,42
15061504,27
15061505,31
15061507,30
15061508,37
15061509,27
15061511,27
15061515,29
15061516,27
15061517,50
15061518,30
15061521,30
15061522,31
15061524,42
15061525,37
15061526,50
15061528,33
15061529,31
15061530,32
15061533,33
15061534,33
15061535,31
15061536,27
15061540,43
15061542,36
15061543,37
15061544,27
15061546,27
15061548,33
15061549,36
15061550,33
15061553,42
15061555,33
15061556,31
15061560,42
15061561,31
15061564,30
15061565,31
15061566,27
15061568,42
15061571,29
15061575,27
15061576,27
15061577,37
15061578,32
15061579,27
15061580,30
15061583,27
15061584,27
15061585,43
15061586,37
15061588,31
15061600,43
15061602,36
15061603,27
15061604,41
15061605,30
15061608,42
15061609,29
15061610,33
15061612,30
15061613,33
15061619,42
15061621,27
15061622,27
15061623,30
15061624,42
15061628,27
15061631,27
15061632,36
15061637,42
15061638,43
15061639,31
15061640,42
15061642,27
15061645,42
15061646,27
15061647,27
15061648,37
15061649,42
15061650,42
15061651,30
15061653,42
15061654,32
15061655,41
15061658,32
15061659,31
15061661,41
15061662,27
15061665,50
15061668,43
15061670,37
15061671,43
15061673,29
15061677,42
15061678,30
15061679,31
15061680,27
15061682,42
15061683,27
15061684,43
15061686,27
15061687,42
15061688,37
15061689,42
15061704,42
15061706,27
15061709,41
15061712,37
15061713,30
15061714,42
15061717,42
15061718,29
15061720,42
15061723,33
15061724,27
15061725,50
15061726,30
15061729,37
15061730,43
15061733,42
15061734,30
15061735,42
15061736,42
15061737,42
15061738,30
15061740,42
15061742,42
15061744,37
15061747,27
15061751,27
15061752,27
15061753,42
15061754,43
15061755,31
15061756,27
15061757,27
15061758,42
15061759,37
15061760,31
15061762,30
15061765,30
15061766,41
15061767,31
15061769,41
15061771,27
15061772,37
15061773,30
15061777,27
15061778,30
15061784,33
15061785,41
15061788,30
15061790,42
15061795,27
15061797,27
15061798,27
15061800,30
15061801,37
15061808,50
15061811,41
15061813,43
15061815,42
15061826,43
15061905,37
15061906,27
15061908,29
15061909,30
15061910,27
15061911,37
15061912,43
15061915,50
15061917,30
15061918,42
15061926,30
15061927,43
15061928,30
15061929,27
15061930,31
15061933,42
15061934,27
15061935,31
15061937,37
15061939,27
15061941,41
15061942,31
15061944,36
15061945,43
15061946,31
15061948,43
15061949,42
15061951,43
15061952,30
15061953,27
15061958,41
15061960,37
15061961,27
15061962,42
15061963,31
15061965,42
15061966,30
15061967,30
15061968,37
15062036,37
15062038,36
15062039,30
15062046,42
15062050,42
15062051,31
15062067,41
15062069,33
15062071,30
15062080,32
15062092,27
15062094,43
15062097,42
15062099,37
15062100,41
15062101,27
15062102,42
15062103,31
15062105,27
15062106,30
15062107,42
15062108,30
15062109,30
15062111,27
15062112,27
15062114,29
15062117,41
15062118,42
15062122,50
15062124,27
15062126,27
15062130,42
15062136,42
15062137,30
15062138,27
15062139,43
15062142,43
15062145,30
15062146,27
15062149,31
15062150,27
15062151,31
15062152,33
15062153,32
15062331,27
15062332,42
15062333,30
15062334,41
15062335,41
15062337,43
15062338,30
15062346,42
15062347,37
15062348,33
15062349,42
15062350,30
15062351,37
15062353,41
15062354,42
15062356,27
15062357,27
15062358,37
15062360,37
15062361,30
15062363,41
15062366,43
15062367,33
15062368,32
15062369,30
15062370,27
