SAMPLES,c1_16540,c1_16542,c1_3098,c1_3499,c1_7871,c1_7872,c1_7874,c2_10681,c2_12976,c2_14980,c2_32257,c2_4030,c2_47202,c2_53914,c2_686
15061942,2,3,4,0,2,3,1,4,2,2,4,2,2,2,3
15061763,1,4,3,1,2,3,1,3,1,2,4,3,3,2,2
15061801,1,3,2,1,3,4,0,3,4,1,4,3,4,3,2
15061494,0,4,4,1,4,4,0,4,3,0,4,4,4,2,3
15061613,2,3,NA,2,3,3,0,3,2,1,4,2,4,3,3
15062137,1,4,4,1,4,4,0,3,2,0,3,1,4,3,2
15061319,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15062142,2,4,4,1,3,4,0,4,4,0,3,3,4,2,3
15060320,2,3,3,1,3,3,1,3,2,2,4,1,2,1,2
15061768,3,3,4,0,4,4,0,4,2,0,4,1,4,1,4
15061522,1,3,3,0,4,4,0,4,2,2,4,3,4,2,2
15060081,1,4,4,1,3,3,1,3,2,2,4,2,3,2,2
15061656,2,4,4,2,4,4,0,2,1,0,4,2,4,2,2
15061759,1,4,4,1,4,4,0,4,2,0,4,1,4,NA,3
15061928,0,4,4,0,3,3,1,4,4,1,3,0,1,2,3
15061454,1,4,4,0,2,2,0,4,3,2,3,3,4,1,4
15061605,1,3,3,1,3,3,0,4,1,1,3,4,4,3,3
15060087,2,3,4,0,4,4,0,4,2,0,4,0,4,1,3
15061619,1,4,4,1,4,4,0,3,2,0,3,1,4,3,2
15060090,2,2,3,0,2,2,1,4,2,3,3,2,3,2,1
15061731,1,4,4,1,4,4,0,3,2,0,3,1,4,3,2
15061655,3,4,3,1,3,3,1,3,2,1,3,2,4,2,1
15061661,2,3,NA,2,3,3,0,3,2,1,4,2,4,3,3
15061499,1,4,4,1,3,3,1,3,1,2,4,2,3,2,4
15061647,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15061612,2,3,4,0,3,4,0,4,2,2,4,1,4,2,3
15061742,1,4,4,1,3,3,1,3,1,2,4,2,3,2,4
15061710,1,3,3,2,3,3,1,3,1,2,4,3,3,3,1
15062372,1,4,3,1,3,3,1,3,3,2,3,2,3,1,3
15061583,2,3,NA,2,3,3,0,3,2,2,4,2,4,3,3
15061767,1,4,3,1,3,3,1,3,2,2,4,1,3,2,1
15062130,2,4,4,1,4,4,0,3,1,0,4,2,4,2,3
15061637,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15061337,2,4,3,1,3,3,1,3,2,2,4,1,3,2,2
15062104,0,4,3,0,3,3,1,4,2,2,4,3,3,2,1
15061579,2,3,4,2,3,4,0,2,0,0,4,1,3,3,4
15061932,1,4,3,0,2,4,0,3,2,0,3,1,4,3,3
