SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061942,47.993,48,115.61892,118,60.063,66,32.431,26,323.616,314,33.684,33,47.518,57,33.038,46,127.717,9,15.406,18,80.514,90,87.75976,84,91.947,94,35.05998,42,115.983,96,68.055,80,36.82014,44,166.276,117,47.376,54
15061763,46.573,38,115.94657,132,60.595,53,24.041,20,310.169,307,29.238,26,44.028,59,32.092,22,64.625,344,19.118,26,79.924,94,85.30311,84,94.516,96,34.79372,42,171.6,0,64.018,45,27.42212,16,228.793,359,35.948,28
15061801,36.371,48,115.50268,118,53.732,66,33.343,47,319.835,352,44.147,36,50.581,75,33.038,29,101.119,17,10.872,6,85.274,71,86.93115,92,91.918,94,31.63417,42,66.702,96,57.664,80,36.36694,44,216.017,117,46.642,54
15061494,46.628,44,117.20243,117,58.495,54,32.17,26,310.463,314,38.939,33,47.084,43,26.312,8,183.487,313,17.999,6,95.024,71,86.84452,92,96.53,94,32.72081,29,104.75,7,50.696,30,24.97622,16,193.177,359,40.468,28
15061613,43.927,45,116.18304,128,57.076,58,36.226,26,316.878,314,42.129,33,46.402,54,30.885,33,172.273,10,9.329,4,69.998,41,86.72769,94,97.003,96,32.89314,20,102.726,78,69.367,86,42.41181,44,128.408,117,55.016,54
15062137,45.866,44,118.36707,117,59.776,54,34.626,55,310.169,329,40.501,36,48.402,43,21.251,16,165.825,3,15.683,6,88.018,71,87.49875,92,86.544,94,36.56201,41,84.525,86,69.923,80,29.13196,16,263.207,359,38.951,28
15061319,46.366,45,115.97115,115,61.839,72,29.21,20,310.696,307,36.582,26,54.389,49,29.829,41,137.276,21,19.989,6,81.725,71,85.28993,92,94.489,95,34.13497,40,121.024,69,59.586,66,35.49116,44,161.746,117,49.783,54
15062142,43.789,59,115.10404,106,58.74,69,40.697,57,323.081,327,42.42,45,51.738,43,37.714,41,81.853,86,12.519,6,84.69,71,88.21891,92,97.003,94,36.93974,39,38.191,17,62.966,43,44.92669,44,138.493,117,52.145,54
15060320,46.786,48,117.49287,118,61.377,66,46.812,53,323.616,346,41.541,39,42.147,45,38.365,42,137.289,96,13.643,18,84.695,90,85.97053,84,95.976,94,35.41915,39,100.722,21,60.742,48,35.18214,44,140.855,117,49.268,54
15061768,45.105,48,115.25373,118,59.176,66,29.796,49,323.616,301,32.87,36,41.872,43,25.845,33,212.283,10,6.552,6,81.165,71,90.72569,92,94.692,96,37.14345,36,89.473,83,68.613,79,40.22253,44,166.08,117,51.077,54
