Samples,PriBrote.LCH.L
15061942,33
15061763,26
15061801,36
15061494,33
15061613,33
15062137,36
15061319,26
15062142,45
15060320,39
15061768,36
15061522,26
15060081,26
15061656,41
15061759,38
15061928,65
15061454,38
15061605,54
15060087,26
15061619,39
15060090,26
15061731,35
15061655,36
15061661,38
15061499,33
15061647,27
15061612,33
15061742,26
15061710,26
15062372,27
15061583,54
15061767,26
15062130,36
15061637,26
15061337,33
15062104,26
15061579,33
15061932,52
15061603,27
15060025,26
15061704,27
15061334,54
15061631,27
15060964,43
15061778,43
15061718,33
15061486,33
15060214,62
15061333,27
15061962,52
15061624,36
15061282,27
15061529,33
15061935,54
15061568,54
15061491,48
15061318,26
15061361,26
15061515,33
15062123,26
15061358,27
15061428,48
15061496,33
15061648,26
15061808,36
15061600,61
15061730,42
15061623,26
15061405,26
15061299,43
15061578,36
15061476,33
15061765,26
15062111,26
15061397,58
15061713,26
15061584,45
15061912,44
15061260,26
15062099,38
15061350,48
15060933,47
15061548,45
15061348,26
15061560,33
15061544,33
15061449,26
15062348,53
15061916,26
15062138,27
15061946,26
15061676,33
15060536,47
15061391,94
15061662,33
15061228,26
15061356,54
15061963,43
15061338,26
15062331,43
15062098,48
15062114,54
15062046,44
15062370,26
15061685,27
15061540,26
15061721,37
15062074,26
15062362,43
15061689,36
15061357,26
15061376,48
15061308,27
