BASIC,NAME_BSC,RHS,INTENSITY,NAME_INT
7,7 Morado,92A,1,1 Pálido / Claro
7,7 Morado,N82B,1,1 Pálido / Claro
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,N81B,1,1 Pálido / Claro
7,7 Morado,77A,1,1 Pálido / Claro
7,7 Morado,92A,1,1 Pálido / Claro
8,8 Violeta,83B,3,3 Intenso / Oscuro
7,7 Morado,82A,3,3 Intenso / Oscuro
7,7 Morado,N81A,2,2 Intermedio
7,7 Morado,N80B,1,1 Pálido / Claro
6,6 Lila,N81B,2,2 Intermedio
7,7 Morado,N82A,3,3 Intenso / Oscuro
7,7 Morado,N82B,1,1 Pálido / Claro
1,1 Blanco,157B,.,.
7,7 Morado,86B,3,3 Intenso / Oscuro
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,77A,3,3 Intenso / Oscuro
7,7 Morado,N87B,2,2 Intermedio
7,7 Morado,92A,1,1 Pálido / Claro
1,1 Blanco,157B,.,.
7,7 Morado,92A,1,1 Pálido / Claro
7,7 Morado,N81B,1,1 Pálido / Claro
7,7 Morado,83B,3,3 Intenso / Oscuro
7,7 Morado,72B,1,1 Pálido / Claro
7,7 Morado,72B,3,3 Intenso / Oscuro
7,7 Morado,N88A,2,2 Intermedio
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,N80A,3,3 Intenso / Oscuro
7,7 Morado,N80A,1,1 Pálido / Claro
7,7 Morado,N88C,1,1 Pálido / Claro
1,1 Blanco,157B,.,.
1,1 Blanco,157B,.,.
1,1 Blanco,157B,.,.
7,7 Morado,83B,3,3 Intenso / Oscuro
7,7 Morado,N81A,3,3 Intenso / Oscuro
8,8 Violeta,N87A,3,3 Intenso / Oscuro
7,7 Morado,86C,3,3 Intenso / Oscuro
7,7 Morado,N81C,1,1 Pálido / Claro
7,7 Morado,92A,2,2 Intermedio
6,6 Lila,N81D,3,3 Intenso / Oscuro
7,7 Morado,N82B,3,3 Intenso / Oscuro
7,7 Morado,83B,3,3 Intenso / Oscuro
7,7 Morado,N81B,2,2 Intermedio
7,7 Morado,N81C,1,1 Pálido / Claro
7,7 Morado,83B,1,1 Pálido / Claro
7,7 Morado,N82B,2,2 Intermedio
7,7 Morado,N82A,1,1 Pálido / Claro
7,7 Morado,N80B,1,1 Pálido / Claro
7,7 Morado,N78A,2,2 Intermedio
7,7 Morado,83B,3,3 Intenso / Oscuro
7,7 Morado,N78A,3,3 Intenso / Oscuro
7,7 Morado,N81B,3,3 Intenso / Oscuro
7,7 Morado,83B,1,1 Pálido / Claro
7,7 Morado,N81A,2,2 Intermedio
7,7 Morado,83B,3,3 Intenso / Oscuro
7,7 Morado,N81B,3,3 Intenso / Oscuro
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,N81B,2,2 Intermedio
7,7 Morado,83D,3,3 Intenso / Oscuro
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,N81A,2,2 Intermedio
7,7 Morado,N82A,3,3 Intenso / Oscuro
7,7 Morado,N82C,1,1 Pálido / Claro
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,N81C,1,1 Pálido / Claro
7,7 Morado,N81B,1,1 Pálido / Claro
7,7 Morado,N81A,3,3 Intenso / Oscuro
7,7 Morado,N81A,2,2 Intermedio
7,7 Morado,N82D,1,1 Pálido / Claro
7,7 Morado,N81C,2,2 Intermedio
7,7 Morado,83C,3,3 Intenso / Oscuro
7,7 Morado,83B,3,3 Intenso / Oscuro
7,7 Morado,N81B,3,3 Intenso / Oscuro
6,6 Lila,N78C,3,3 Intenso / Oscuro
7,7 Morado,N82A,3,3 Intenso / Oscuro
7,7 Morado,N82C,1,1 Pálido / Claro
7,7 Morado,N88B,1,1 Pálido / Claro
7,7 Morado,83B,3,3 Intenso / Oscuro
7,7 Morado,N82A,2,2 Intermedio
7,7 Morado,N88B,1,1 Pálido / Claro
7,7 Morado,N80A,2,2 Intermedio
7,7 Morado,84A,2,2 Intermedio
