"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
5,"CBaya.C","CBaya","C","BL",0.145444444444444
5,"CBaya.H","CBaya","H","BL",0.106222222222222
5,"CBaya.L","CBaya","L","BL",0.132555555555556
5,"CPBrote.C","CPBrote","C","RKHS",0.585111111111111
5,"CPBrote.H","CPBrote","H","RKHS",0.338777777777778
5,"CPBrote.L","CPBrote","L","RKHS",0.449777777777778
5,"CPFlor.C","CPFlor","C","RKHS",0.616777777777778
5,"CPFlor.H","CPFlor","H","RKHS",0.866111111111111
5,"CPFlor.L","CPFlor","L","RKHS",0.655
5,"CPTuber.C","CPTuber","C","RKHS",0.529555555555556
5,"CPTuber.H","CPTuber","H","RKHS",0.429666666666667
5,"CPTuber.L","CPTuber","L","RKHS",0.473777777777778
5,"CPulpa.C","CPulpa","C","RKHS",0.476111111111111
5,"CPulpa.H","CPulpa","H","RKHS",0.298
5,"CPulpa.L","CPulpa","L","BL",0.459111111111111
5,"CSBrote.C","CSBrote","C","RKHS",0.262222222222222
5,"CSBrote.H","CSBrote","H","BA",0.177444444444444
5,"CSBrote.L","CSBrote","L","BRR",0.285333333333333
5,"CSPulpa.C","CSPulpa","C","BRR",0.185444444444444
5,"CSPulpa.H","CSPulpa","H","BC",0.0822222222222222
5,"CSPulpa.L","CSPulpa","L","RKHS",0.301444444444444
5,"CSTuber.C","CSTuber","C","BC",0.198222222222222
5,"CSTuber.H","CSTuber","H","BRR",0.187333333333333
5,"CSTuber.L","CSTuber","L","BRR",0.330666666666667
5,"CTallo.C","CTallo","C","RKHS",0.655777777777778
5,"CTallo.H","CTallo","H","RKHS",0.434
5,"CTallo.L","CTallo","L","RKHS",0.683
10,"CBaya.C","CBaya","C","BA",0.144555555555556
10,"CBaya.H","CBaya","H","BA",0.118222222222222
10,"CBaya.L","CBaya","L","RKHS",0.122444444444444
10,"CPBrote.C","CPBrote","C","RKHS",0.576555555555556
10,"CPBrote.H","CPBrote","H","RKHS",0.338777777777778
10,"CPBrote.L","CPBrote","L","BC",0.436222222222222
10,"CPFlor.C","CPFlor","C","RKHS",0.618
10,"CPFlor.H","CPFlor","H","RKHS",0.863555555555556
10,"CPFlor.L","CPFlor","L","RKHS",0.634444444444444
10,"CPTuber.C","CPTuber","C","RKHS",0.517888888888889
10,"CPTuber.H","CPTuber","H","RKHS",0.448888888888889
10,"CPTuber.L","CPTuber","L","RKHS",0.447333333333333
10,"CPulpa.C","CPulpa","C","RKHS",0.490555555555556
10,"CPulpa.H","CPulpa","H","RKHS",0.317666666666667
10,"CPulpa.L","CPulpa","L","BA",0.470555555555556
10,"CSBrote.C","CSBrote","C","BL",0.206555555555556
10,"CSBrote.H","CSBrote","H","BL",0.199444444444444
10,"CSBrote.L","CSBrote","L","BA",0.281666666666667
10,"CSPulpa.C","CSPulpa","C","RKHS",0.191
10,"CSPulpa.H","CSPulpa","H","BL",0.0692222222222222
10,"CSPulpa.L","CSPulpa","L","RKHS",0.262555555555556
10,"CSTuber.C","CSTuber","C","BRR",0.226333333333333
10,"CSTuber.H","CSTuber","H","BL",0.184777777777778
10,"CSTuber.L","CSTuber","L","RKHS",0.329333333333333
10,"CTallo.C","CTallo","C","RKHS",0.657888888888889
10,"CTallo.H","CTallo","H","BA",0.442666666666667
10,"CTallo.L","CTallo","L","RKHS",0.702222222222222
100,"CBaya.C","CBaya","C","RKHS",0.137666666666667
100,"CBaya.H","CBaya","H","BRR",0.117
100,"CBaya.L","CBaya","L","BRR",0.125666666666667
100,"CPBrote.C","CPBrote","C","RKHS",0.591555555555556
