Samples,CPFlor.L
15062362,41
15061954,54
15062339,36
15061482,41
15062104,33
15061707,38
15061567,63
15061964,92
15061488,43
15061438,57
15061814,43
15061721,45
15061601,33
15061719,92
15061629,61
15061477,43
15061761,92
15061336,43
15061386,43
15061305,42
15061676,41
15061523,43
15061763,59
15061385,54
15062133,43
15061333,52
15061627,66
15061731,54
15061641,54
15061330,43
15061626,36
15062147,33
15061487,42
15060536,67
15061261,52
15061389,45
15060101,89
15061397,92
15061551,45
15061539,43
15062115,54
15061361,43
15061669,52
15062359,66
15061690,36
15061308,57
15062372,65
15061342,42
15061281,41
15061932,57
15061370,36
15061630,41
15061789,63
15061666,36
15062143,43
15061297,43
15061907,89
15061538,42
15062371,43
15061685,54
15062081,54
15061969,70
15061498,33
15061271,43
15062344,36
15061279,54
15062144,54
15061722,48
15061768,43
15061557,59
15061434,54
15060072,49
15061405,58
15062052,36
15062098,54
15061916,36
15061377,52
15061633,49
15061702,43
15061614,54
15061368,52
15061520,43
15060082,36
15061656,66
15061331,53
15061327,63
15062074,70
15061300,43
15061776,52
15061462,43
15061302,31
15061957,67
15061514,66
15060909,61
15062063,36
15060090,41
15061301,43
15061423,54
15061453,43
15060215,45
15062119,43
15061537,92
15061667,58
15062123,58
15061710,45
15061258,53
15061443,53
15060050,54
15060110,36
15062053,45
15061764,31
15061799,45
