Samples,CPFlor.H
15060025,305
15060039,329
15060056,322
15060063,329
15060070,329
15060072,317
15060081,305
15060082,321
15060085,312
15060087,332
15060090,332
15060097,310
15060101,312
15060102,303
15060114,314
15060120,323
15060122,324
15060138,321
15060160,321
15060188,327
15060190,321
15060191,329
15060215,327
15060313,329
15060320,327
15060345,320
15060383,319
15060420,323
15060536,319
15060543,323
15060797,321
15060846,332
15060907,322
15060909,319
15060910,329
15060933,312
15060964,321
15061007,322
15061122,332
15061204,320
15061213,329
15061215,322
15061225,329
15061226,316
15061228,312
15061237,313
15061256,329
15061257,316
15061258,320
15061259,314
15061260,323
15061261,305
15061262,329
15061263,317
15061264,319
15061265,305
15061270,320
15061273,318
15061274,312
15061277,320
15061279,320
15061283,324
15061286,321
15061288,314
15061289,327
15061290,320
15061291,317
15061293,320
15061295,320
15061297,312
15061298,319
15061301,322
15061302,324
15061303,323
15061305,319
15061308,323
15061312,319
15061313,322
15061314,323
15061317,322
15061318,329
15061319,312
15061320,322
15061323,322
15061324,314
15061327,326
15061330,322
15061331,320
15061333,305
15061334,327
15061335,321
15061336,322
15061340,320
15061342,319
15061346,319
15061347,319
15061348,322
15061349,319
15061350,326
15061352,329
15061353,329
15061355,329
15061356,319
15061357,322
15061360,329
15061365,319
15061367,320
15061368,305
15061369,305
15061370,329
15061376,329
15061377,305
15061378,317
15061380,322
15061382,312
15061384,322
15061385,320
15061386,309
15061388,319
15061389,327
15061390,327
15061391,329
15061392,305
15061404,329
15061405,310
15061406,322
15061410,329
15061411,319
15061414,319
15061415,318
15061417,323
15061418,323
15061419,318
15061420,321
15061421,303
15061422,328
15061424,323
15061425,320
15061428,320
15061430,332
15061434,320
15061436,323
15061437,321
15061438,323
15061439,321
15061441,319
15061442,324
15061443,320
15061444,329
15061445,319
15061447,323
15061449,310
15061454,312
15061458,314
15061459,317
15061461,310
15061463,319
15061469,317
15061470,319
15061471,315
15061475,304
15061476,312
15061478,319
15061479,322
15061480,328
15061481,322
15061484,319
15061485,308
15061486,310
15061489,329
15061490,322
15061491,322
15061492,319
15061494,322
15061495,309
15061498,316
15061499,309
15061501,322
15061503,310
15061504,320
15061505,329
15061508,329
15061509,312
15061511,326
15061514,309
15061515,319
15061517,322
15061518,322
15061520,322
15061522,322
15061523,322
15061524,319
15061525,324
15061526,312
15061528,322
15061530,321
15061533,310
15061536,329
15061537,329
15061538,319
15061539,322
15061540,322
15061543,327
15061544,324
15061546,327
15061548,329
15061549,329
15061551,327
15061553,302
15061555,303
15061556,322
15061557,315
15061560,319
15061561,322
15061564,319
15061565,320
15061568,322
15061571,319
15061576,314
15061579,322
15061580,305
15061583,315
15061584,322
15061585,324
15061588,319
15061600,326
15061601,316
15061602,309
15061603,319
15061604,312
15061605,319
15061608,332
15061609,322
15061612,322
15061613,320
15061619,322
15061621,329
15061622,305
15061623,308
15061626,321
15061628,327
15061629,319
15061630,318
15061631,322
15061632,322
15061638,308
15061640,308
15061641,320
15061642,320
15061645,320
15061646,310
15061648,322
15061650,305
15061651,322
15061654,322
15061656,309
15061658,315
15061661,319
15061662,312
15061666,329
15061667,310
15061668,317
15061669,328
15061670,329
15061671,328
15061676,316
15061677,328
15061678,329
15061679,329
15061680,329
15061682,305
15061683,322
15061684,314
15061685,320
15061686,329
15061687,322
15061688,322
15061689,329
15061690,329
15061702,324
15061704,320
15061707,308
15061709,329
15061710,327
15061712,322
15061713,309
15061714,316
15061718,305
15061719,332
15061720,316
15061721,327
15061722,314
15061723,322
15061724,322
15061725,322
15061726,322
15061731,320
15061733,323
15061734,329
15061735,320
15061736,323
15061738,322
15061740,308
15061742,327
15061744,309
15061747,317
15061753,320
15061754,310
15061756,310
15061758,316
15061759,312
15061760,319
15061762,310
15061763,315
15061764,324
15061765,310
15061767,303
15061768,322
15061771,322
15061772,305
15061776,305
15061777,322
15061778,322
15061784,329
15061788,309
15061789,326
15061790,323
15061797,320
15061798,305
15061799,327
15061800,312
15061801,302
15061808,323
15061811,312
15061813,322
15061815,310
15061826,319
15061905,316
15061907,309
15061908,322
15061909,329
15061910,321
15061911,320
15061912,323
15061915,320
15061917,322
15061918,327
15061927,315
15061928,327
15061929,319
15061932,323
15061933,312
15061934,322
15061935,329
15061939,322
15061941,320
15061942,323
15061944,317
15061945,322
15061946,314
15061948,319
15061949,316
15061951,319
15061952,321
15061953,322
15061954,320
15061957,314
15061960,305
15061961,319
15061962,320
15061963,322
15061965,304
15061967,320
15061968,314
15061969,304
15062036,328
15062038,322
15062039,331
15062046,327
15062050,328
15062051,329
15062052,329
15062053,327
15062063,321
15062069,324
15062071,320
15062080,322
15062081,308
15062092,314
15062094,318
15062097,322
15062098,320
15062099,327
15062100,315
15062101,309
15062102,322
15062103,329
15062104,312
15062105,319
15062106,329
15062107,319
15062108,320
15062109,322
15062111,322
15062112,322
15062114,322
15062115,320
15062117,322
15062118,315
15062119,312
15062124,326
15062126,314
15062130,320
15062137,322
15062138,322
15062139,319
15062142,322
15062143,312
15062144,320
15062145,322
15062150,312
15062151,312
15062152,329
15062153,322
15062331,327
15062332,320
15062333,327
15062334,322
15062335,312
15062337,329
15062338,329
15062344,329
15062348,320
15062349,319
15062351,316
15062353,327
15062354,320
15062357,322
15062359,309
15062360,303
15062361,322
15062363,329
15062366,320
15062367,318
15062370,312
15062371,322
15062372,303
