Samples,CPFlor.C
15061614,49
15061337,57
15062067,57
15061752,57
15061930,57
15061566,57
15061773,41
15061575,42
15061344,49
15061282,58
15061926,55
15061906,45
15061665,58
15061397,58
15060187,57
15061534,49
15062362,42
15061521,43
15061633,57
15061659,58
15061673,49
15062356,48
15061361,58
15061729,45
15061755,31
15061496,58
15062368,57
15062339,55
15061577,58
15062136,55
15061529,49
15061396,58
15061482,60
15061814,58
15061769,40
15061610,39
15062147,34
15061358,40
15061550,41
15061271,58
15060214,39
15062074,31
15061507,55
15061383,57
15062149,58
15060042,57
15061647,45
15061477,58
15061586,36
15062347,45
15061958,36
15062346,42
15061639,43
15061757,57
15061299,43
15061653,55
15061761,58
15062146,40
15061655,36
15061329,39
15061535,57
15061578,43
15061730,45
15061627,36
15061500,55
15061717,45
15062122,33
15061435,58
15061706,57
15061624,40
15060121,45
15061423,49
15061488,58
15061916,39
15061487,39
15061281,60
15061937,39
15061493,58
15061296,49
15061649,39
15061307,43
15062133,58
15062350,49
15061338,49
15060027,39
15061011,58
15061795,58
15062358,58
15061216,49
15061300,58
15061462,40
15061516,60
15061394,39
15061453,58
15062123,45
15060110,55
15061964,49
15061542,46
15060570,39
15061785,36
15061766,58
15060021,43
15061364,58
15060050,49
15061637,58
15062369,58
15061345,55
15061966,58
15061737,58
15060112,58
15061751,45
15061567,40
