SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.H,SecBrote.LCH.H.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061942,45.89,48,117.044,118,59.728,66,29.468,26,312.93244,314,33.17,33,47.928,46,318.55849,323,52.321,57,20.488,46,165.672,9,37.131,39,17.587,18,84.413,90,87.188,84,6.665,7,221.174,318,93.408,94,35.12,42,110.11081,96,69.219,80,28.827,44,252.7945,117,37.925,54
15061763,44.876,38,116.341,132,59.183,53,27.749,20,310.99991,307,34.46,26,51.431,48,321.04967,315,46.223,59,29.087,22,57.897,344,40.948,27,16.585,26,84.499,94,86.067,84,6.431,7,230.813,318,93.475,96,32.112,42,127.739,0,56.395,45,27.523,16,252.51896,359,39.04,28
15061801,38.915,48,116.67,118,56.073,66,45.011,47,323.60017,352,41.859,36,41.156,26,306.81422,302,59.558,75,39.271,29,99.191,17,72.914,50,9.477,6,73.252,71,90.531,92,7.385,4,148.678,41,94.462,94,33.859,42,35.62956,96,54.864,80,38.554,44,135.79428,117,51.665,54
15061494,44.931,44,117.898,117,59.262,54,24.387,26,313.39069,314,31.749,33,40.869,58,317.01726,322,46.066,43,17.861,8,232.206,313,32.54,29,14.352,6,82.185,71,88.149,92,6.645,7,245.819,318,94.407,94,34.086,29,105.00399,7,50.046,30,27.779,16,247.72989,359,38.809,28
15061613,43.561,45,116.306,128,57.094,58,36.987,26,317.51193,314,40.687,33,50.72,49,319.34424,320,45.692,54,28.877,33,164.098,10,44.869,43,7.099,4,70.643,41,91.147,94,5.609,7,239.735,318,94.905,96,33.404,20,115.80738,78,72.048,86,41.869,44,122.76603,117,52.864,54
15062137,45.401,44,117.458,117,59.109,54,31.944,55,294.18759,329,40.809,36,52.112,58,323.47731,322,45.262,43,20.3,16,224.034,3,40.604,30,15.886,6,84.476,71,86.528,92,11.496,4,185.85,41,87.204,94,35.207,41,96.20896,86,69.314,80,28.043,16,247.40251,359,39.755,28
15061319,46.257,45,116.11,115,59.88,72,26.362,20,311.73587,307,32.325,26,44.482,42,312.15544,312,55.374,49,33.645,41,80.109,21,52.112,44,19.626,6,89.552,71,84.642,92,5.632,5,216.965,344,94.385,95,35.4,40,93.18136,69,62.739,66,40.513,44,120.62215,117,52.833,54
15062142,45.38,59,116.318,106,58.271,69,42.806,57,326.90113,327,39.909,45,51.015,58,319.65864,322,49.493,43,38.144,41,73.031,86,65.133,80,13.989,6,84.184,71,86.201,92,5.951,4,229.876,41,93.818,94,34.696,39,44.28681,17,54.857,43,43.715,44,118.39692,117,53.611,54
15060320,45.991,48,116.078,118,59.723,66,48.44,53,325.93987,346,40.607,39,53.652,57,325.26967,327,46.653,45,39.24,42,99.698,96,65.367,80,14.303,18,79.978,90,87.428,84,6.434,4,200.473,41,93.654,94,34.759,39,54.71828,21,52.996,48,39.947,44,147.94762,117,51.184,54
15061768,45.395,48,116.579,118,59.683,66,31.928,49,309.61173,301,36.163,36,46.27,58,323.93212,322,36.076,43,25.959,33,204.57,10,43.26,43,6.857,6,69.1,71,90.958,92,5.656,7,170.51,318,94.326,96,35.519,36,99.5402,83,71.403,79,37.543,44,177.48218,117,48.452,54
15061522,41.269,48,117.143,118,58.842,66,33.654,20,319.02855,307,38.797,26,55.715,58,321.27761,322,44.109,43,27.209,47,101.436,85,40.985,76,23.869,6,85.335,71,85.027,92,7.416,4,189.043,344,93.569,94,37.213,32,97.87556,14,78.261,38,33.42,16,193.71277,359,46.856,28
15060081,44.69,32,116.818,112,59.016,58,27.157,20,302.04405,307,38.808,26,36.322,45,283.79354,305,61.893,52,33.71,41,93.934,86,54.556,80,19.828,5,86.568,52,85.352,94,8.583,5,220.743,344,92.877,95,33.621,29,109.14994,7,60.103,30,40.208,44,138.88407,117,51.456,54
15061656,44.098,45,118.273,128,58.994,58,36.955,42,312.57041,316,37.784,41,46.508,36,296.70032,309,58.003,66,35.445,36,103.249,346,56.981,42,15.879,6,82.895,71,86.374,92,6.951,5,222.854,344,94.593,95,35.253,26,77.37525,80,62.926,82,39.152,38,152.95496,132,50.701,53
15061759,45.208,59,116.57,106,60.003,69,32.414,40,308.54586,308,33.763,38,40.016,58,318.39885,312,37.916,33,36.604,45,106.973,83,60.759,77,13.486,26,81.415,94,87.861,84,6.439,7,235.115,318,94.811,96,32.585,16,211.74641,3,57.351,30,37.578,44,152.66374,117,50.878,54
15061928,44.774,44,116.845,117,59.043,54,27.624,35,314.36947,303,32.773,65,57.171,57,329.54005,327,34.133,45,27.696,11,106.387,328,39.474,30,16.867,6,83.948,71,85.807,92,6.916,7,265.232,318,93.12,96,36.651,41,104.2866,86,64.665,80,41.148,16,167.73945,359,47.968,28
15061454,43.232,44,117.687,117,58.636,54,28.984,40,315.84219,308,33.329,38,56.312,58,320.14861,312,43.78,43,20.448,19,196.15,5,37.728,27,16.924,18,84.835,90,85.539,84,5.819,4,193.882,41,95.403,94,36.351,42,87.77944,96,75.211,80,35.62,44,168.02118,117,49.992,54
15061605,41.589,48,118.378,118,57.129,66,41.844,49,321.55357,320,44.743,54,49.048,43,309.33835,319,52.949,61,34.722,42,142.479,96,58.389,80,8.846,8,67.974,95,90.168,89,5.533,7,198.408,318,94.391,96,33.484,43,77.73119,355,61.031,51,41.157,44,123.67794,117,52.14,54
15060087,44.91,28,115.911,115,59.347,50,24.973,20,309.28132,307,30.975,26,51.345,60,321.60365,332,45.516,41,17.504,11,179.172,328,34.976,30,8.872,4,69.383,41,89.832,94,5.87,5,184.029,344,94.187,95,37.307,32,111.06864,84,73.076,81,22.278,16,284.46441,359,34.7,28
15061619,45.394,38,117.431,132,59.114,53,32.019,53,294.33482,346,40.825,39,52.74,58,324.80722,322,44.978,43,20.328,11,224.204,318,40.618,28,15.827,18,84.247,90,86.574,84,11.498,7,185.729,318,87.227,96,35.26,41,94.74967,86,69.373,80,28.097,16,245.58153,359,39.813,28
15060090,40.985,48,120.159,118,57.297,66,34.745,20,318.34375,307,34.979,26,48.542,60,324.15301,332,53.403,41,31.496,36,165.456,346,56.194,42,9.06,5,68.275,52,90.002,94,5.685,7,195.815,318,94.557,95,33.851,32,74.56668,84,66.437,81,37.62,44,137.38838,117,51.588,54
15061731,45.425,48,117.416,118,59.124,66,32.156,41,294.47199,347,41.015,35,52.593,49,324.29313,320,45.423,54,20.385,43,223.858,355,40.73,51,15.769,18,84.379,90,86.618,84,11.497,7,185.593,318,87.194,95,35.261,36,93.68354,83,69.17,79,28.173,16,244.37176,359,39.895,28
15061655,42.552,48,118.596,118,57.643,66,36.731,55,304.1017,329,46.412,36,45.693,36,286.04841,309,51.803,66,35.416,47,101.558,85,56.841,76,14.848,18,88.481,90,86.92,84,7.929,4,209.654,41,93.976,94,33.834,29,89.69216,17,58.786,50,45.5,44,112.78109,117,53.197,54
15061661,43.618,38,116.291,132,57.113,53,36.951,40,317.79731,308,40.714,38,50.544,36,319.88198,319,45.833,67,28.88,36,164.058,346,44.85,42,7.153,3,70.676,32,91.12,92,5.614,7,239.464,318,94.903,96,33.398,41,115.90171,86,72.02,80,41.986,44,122.3893,117,52.812,54
15061499,46.409,59,116.26,106,60.413,69,27.578,26,309.84799,314,31.205,33,49.849,36,316.17839,309,48.461,66,37.208,41,82.92,86,64.542,80,18.714,18,87.276,90,85.166,84,5.511,7,230.512,318,94.442,96,34.829,39,50.48818,17,54.896,43,45.435,44,116.21358,117,53.914,54
15061647,46.189,44,116.145,117,59.864,54,25.897,28,311.71557,306,32.033,27,44.618,45,311.33817,305,54.785,52,33.662,47,82.674,85,52.058,76,19.576,6,89.172,71,84.669,92,5.627,4,217.372,41,94.385,94,35.409,28,92.70493,345,62.748,30,40.525,44,122.24994,117,52.73,54
15061612,44.667,44,116.321,117,58.718,54,27.226,26,311.35098,314,34.269,33,38.49,58,311.89854,322,49.385,43,32.981,41,104.396,86,58.962,80,10.793,6,80.005,71,88.868,92,7.979,7,208.48,318,93.655,95,32.166,33,157.23745,324,48.215,31,31.729,16,216.5299,359,44.135,28
15061742,46.336,32,116.315,111,60.394,63,27.567,20,310.09545,307,31.444,26,49.034,57,313.78516,327,49.149,45,36.785,35,85.951,83,64.032,75,18.838,6,86.759,71,85.054,92,5.525,4,229.866,41,94.475,94,34.766,37,52.85816,18,54.183,42,44.906,44,119.24273,117,53.538,54
15061710,40.352,59,117.452,106,58.56,69,25.069,20,310.50785,307,29.211,26,48.85,57,317.53223,327,46.953,45,17.64,8,225.381,313,33.723,29,31.767,42,92.218,96,82.649,80,6.613,7,280.928,318,94.285,96,36.805,41,66.91947,85,72.692,79,23.644,16,268.13983,359,36.367,28
