Samples,CPTuber.C
15061614,28
15061337,28
15062067,42
15061752,22
15061930,26
15061566,8
15061773,29
15061575,46
15061344,36
15061282,26
15061926,16
15061906,8
15061665,37
15061397,26
15060187,16
15061534,11
15062362,47
15061521,29
15061633,36
15061659,36
15061673,42
15062356,8
15061361,28
15061729,29
15061755,16
15061496,28
15062368,28
15062339,47
15061577,11
15062136,29
15061529,11
15061396,8
15061482,42
15061814,29
15061769,34
15061610,16
15062147,37
15061358,41
15061550,19
15061271,11
15060214,47
15062074,41
15061507,32
15061383,29
15062149,29
15060042,26
15061647,47
15061477,8
15061586,42
15062347,16
15061958,47
15062346,42
15061639,28
15061757,29
15061299,33
15061653,35
15061761,32
15062146,42
15061655,47
15061329,11
15061535,28
15061578,16
15061730,19
15061627,32
15061500,42
15061717,16
15062122,8
15061435,37
15061706,26
15061624,39
15060121,16
15061423,29
15061488,11
15061916,19
15061487,16
15061281,37
15061937,16
15061493,29
15061296,8
15061649,28
15061307,16
15062133,29
15062350,16
15061338,8
15060027,29
15061011,42
15061795,11
15062358,11
15061216,11
15061300,42
15061462,47
15061516,32
15061394,26
15061453,8
15062123,35
15060110,16
15061964,29
15061542,19
15060570,47
15061785,35
15061766,47
15060021,8
15061364,29
15060050,28
15061637,35
15062369,28
15061345,37
15061966,8
15061737,32
15060112,29
15061751,33
15061567,47
