"","CTallo.L","CTallo.C","CTallo.H","CPFlor.L","CPFlor.C","CPFlor.H","CBaya.L","CBaya.C","CBaya.H","CPTuber.L","CPTuber.C","CPTuber.H","CSTuber.L","CSTuber.C","CSTuber.H","CPulpa.L","CPulpa.C","CPulpa.H","CSPulpa.L","CSPulpa.C","CSPulpa.H","CPBrote.L","CPBrote.C","CPBrote.H","CSBrote.L","CSBrote.C","CSBrote.H"
"15060021",28,16,359,37,43,331,44,38,116,29,8,313,43,32,41,82,35,93,27,22,344,26,20,307,95,7,318
"15060025",54,44,117,52,45,305,66,48,118,76,47,85,27,19,41,94,5,52,30,36,324,26,20,307,95,7,318
"15060027",28,16,359,36,39,321,54,44,117,35,29,17,75,35,83,92,6,71,27,38,324,26,20,307,95,7,318
"15062333",28,16,359,43,46,327,54,44,117,30,16,3,29,39,41,92,6,71,33,22,344,26,20,307,94,4,41
"15060039",54,44,117,36,55,329,50,38,115,34,28,21,80,42,96,92,6,71,30,36,331,45,57,327,95,7,318
"15062036",54,44,117,52,55,328,53,38,115,50,26,342,80,42,96,92,6,71,29,34,345,33,26,307,94,5,52
"15060042",28,16,359,45,57,327,66,48,118,50,26,342,80,42,96,92,6,71,27,26,346,26,20,307,94,5,52
"15062038",54,44,117,43,58,322,58,45,117,39,28,22,80,41,86,84,26,94,36,22,344,44,53,341,95,5,344
"15060050",54,44,117,54,49,320,50,38,115,80,28,67,34,34,40,92,6,71,50,43,346,45,57,327,95,7,318
"15060056",54,44,117,36,40,322,66,48,118,76,47,85,81,29,67,92,3,71,27,33,346,26,20,307,95,7,318
"15061905",58,45,128,41,42,316,69,48,117,39,28,22,80,42,96,84,18,90,42,39,346,48,58,336,95,7,318
"15060063",28,16,359,36,55,329,71,50,115,35,29,17,80,47,96,84,18,90,41,37,344,39,57,339,95,7,318
"15060070",28,16,359,36,55,329,54,44,117,29,8,313,80,42,96,92,6,71,31,33,324,26,20,307,95,7,318
"15062039",54,44,117,37,43,331,53,38,115,82,30,83,50,26,40,84,26,94,42,36,344,31,33,324,95,7,318
"15060072",54,44,117,49,57,317,71,50,115,70,40,42,75,35,83,84,26,94,42,22,331,39,47,322,95,5,344
"15061906",28,16,359,52,45,305,54,44,117,29,8,313,75,32,53,92,6,71,27,22,344,26,20,307,96,7,318
"15061907",66,48,118,70,31,309,44,38,116,80,42,96,43,32,41,84,26,94,30,36,328,26,4,308,96,7,336
"15060081",54,44,117,52,45,305,58,38,112,80,41,86,30,29,40,94,5,52,50,33,324,26,20,307,95,5,344
"15062331",54,44,117,45,57,327,77,48,116,50,26,342,74,37,74,92,6,71,37,22,344,43,58,322,95,5,344
"15060082",54,44,117,36,39,321,44,38,116,80,42,96,27,22,41,92,6,71,31,36,328,26,20,307,94,4,41
"15062332",54,44,117,44,53,320,66,48,118,42,36,346,80,28,67,92,6,71,30,22,344,26,20,307,95,5,344
"15061908",28,16,359,44,53,322,50,38,115,35,29,17,28,22,41,84,24,85,42,22,344,45,57,327,95,5,344
"15060085",54,44,117,33,58,312,58,45,117,30,11,328,43,33,41,94,5,52,27,22,318,26,20,307,95,5,344
"15061909",54,44,117,36,55,329,71,50,115,28,11,318,43,35,41,84,18,90,43,22,346,26,20,307,95,5,344
"15060087",28,16,359,41,60,332,50,38,115,30,11,328,81,32,84,94,4,52,30,28,345,26,20,307,95,5,344
"15060090",54,44,117,41,60,332,66,48,118,42,36,346,81,32,84,94,5,52,27,37,344,26,20,307,95,7,318
"15060097",54,44,117,58,45,310,58,45,116,75,35,83,39,24,33,94,5,52,43,39,344,26,26,337,94,4,41
"15060100",54,44,117,49,40,329,77,39,117,43,33,10,75,35,83,84,26,94,27,23,345,26,20,307,95,7,318
"15060101",54,44,117,43,58,312,53,38,115,50,26,342,80,42,96,92,6,71,30,33,316,26,20,307,95,7,318
"15060102",54,44,117,66,26,303,54,44,117,30,29,7,60,25,41,92,6,71,37,43,331,26,20,307,95,7,318
"15061910",54,44,117,36,39,321,54,44,117,50,26,342,38,32,41,92,6,71,27,28,334,26,20,307,95,7,318
"15060110",28,16,359,36,55,329,54,44,117,28,16,359,76,47,85,92,6,71,31,22,334,26,20,307,95,5,344
"15060112",54,44,117,41,58,318,44,38,116,30,29,7,75,35,83,84,18,90,31,36,344,26,20,307,95,7,318
"15060114",54,44,117,48,40,314,54,44,117,43,33,10,75,35,83,92,6,71,27,36,344,48,41,320,94,5,52
"15060120",28,16,359,57,46,323,71,50,115,80,42,96,48,38,33,92,6,71,30,28,344,52,55,328,95,7,318
"15060121",54,44,117,52,45,305,58,45,117,28,16,359,82,41,96,92,6,71,30,36,316,26,20,307,95,7,318
"15060122",54,44,117,66,36,324,44,38,116,43,33,10,79,36,83,84,18,90,41,43,344,31,33,324,95,7,318
"15061911",54,44,117,54,49,320,54,44,117,44,41,21,82,35,93,84,18,90,29,43,328,48,57,336,95,7,318
"15060138",28,16,359,36,39,321,44,38,116,43,39,17,79,36,83,92,6,71,27,36,345,26,20,307,95,7,318
"15062046",54,44,117,45,57,327,54,44,117,80,41,86,49,41,41,84,26,94,42,28,344,44,53,341,95,7,318
"15061912",54,44,117,57,46,323,54,44,117,80,41,86,45,25,33,84,26,94,50,43,346,44,53,341,95,7,318
"15060160",54,44,117,36,39,321,58,45,117,43,33,10,81,32,84,84,18,90,30,28,322,26,20,307,95,5,344
"15061915",54,44,117,54,49,320,54,44,117,76,47,85,50,29,33,84,18,90,41,37,344,61,52,343,95,7,318
"15062334",54,44,117,43,58,322,58,45,117,81,32,84,41,37,41,92,6,71,31,28,328,26,20,307,94,4,41
"15062050",54,44,117,52,55,328,53,38,112,75,35,83,48,39,33,84,18,90,30,22,346,27,20,308,96,7,318
"15060187",28,16,359,39,57,322,54,44,117,30,16,3,82,35,93,82,35,93,37,33,344,41,42,316,96,7,318
"15061916",54,44,117,36,39,321,58,38,112,27,19,5,75,35,83,84,18,90,33,36,345,26,20,307,94,4,41
"15062335",54,44,117,39,57,312,53,38,115,40,35,16,75,41,83,84,18,90,42,36,345,41,60,332,96,7,318
"15060188",54,44,117,45,57,327,58,45,117,66,40,69,30,29,41,94,5,52,31,36,328,26,20,307,95,7,318
"15060190",54,44,117,36,39,321,71,50,115,41,29,5,73,31,53,84,18,90,27,36,344,26,20,307,95,7,318
"15060191",54,44,117,36,55,329,69,45,116,80,41,86,41,37,33,84,26,94,27,22,333,26,20,307,95,7,318
"15060214",54,44,117,36,39,321,54,44,117,76,47,85,41,37,33,92,6,71,27,28,344,26,20,314,95,7,318
"15060215",54,44,117,45,57,327,54,44,117,51,35,96,80,41,86,92,6,71,27,36,322,31,33,324,95,7,318
"15060313",54,44,117,36,55,329,50,38,115,77,45,83,43,33,33,84,18,90,43,36,344,26,7,318,95,7,318
"15060320",54,44,117,45,57,327,66,48,118,80,42,96,48,39,41,84,18,90,43,33,344,39,53,346,94,4,41
"15060345",54,44,117,48,41,320,71,50,115,80,42,96,43,39,41,84,26,94,42,36,344,44,53,341,95,7,318
"15062337",54,44,117,36,55,329,66,48,118,40,35,16,80,42,96,84,18,90,37,37,342,62,50,338,96,7,318
"15062051",54,44,117,36,55,329,54,44,117,40,35,16,80,41,86,84,26,94,30,36,344,62,50,338,96,7,318
"15062052",54,44,117,36,55,329,69,50,118,43,39,17,80,41,86,84,26,94,29,28,346,30,28,345,95,7,318
"15061917",54,44,117,43,58,322,69,48,118,35,29,17,80,42,96,84,18,90,30,28,344,43,46,338,96,7,318
"15060383",54,44,117,61,43,319,53,38,115,75,35,83,50,29,40,80,35,96,42,33,344,62,50,338,96,7,318
"15062338",54,44,117,36,55,329,54,44,117,42,37,18,76,47,85,84,26,94,29,36,331,41,57,329,95,7,318
"15062339",54,44,117,36,55,329,69,48,117,76,47,85,42,37,41,84,26,94,41,28,344,36,39,321,95,7,318
"15060420",54,44,117,57,46,323,58,45,117,42,37,18,75,35,83,84,18,90,37,39,345,26,20,309,95,7,318
"15062053",54,44,117,45,57,327,53,38,112,40,35,16,80,41,86,92,6,71,30,36,328,52,45,330,95,7,318
"15062363",54,44,117,36,55,329,54,44,117,39,28,22,80,41,86,84,18,90,42,39,344,52,57,341,96,7,318
"15060467",54,44,117,36,55,329,53,38,115,43,33,10,76,47,85,84,18,90,29,28,345,26,20,307,95,7,318
"15060536",54,44,117,67,36,319,54,44,117,81,32,84,50,35,41,84,18,90,31,36,346,47,59,329,95,7,318
"15060543",54,44,117,57,46,323,54,44,117,38,32,14,79,42,86,84,26,94,32,36,324,47,59,336,96,7,318
"15060570",54,44,117,42,39,319,54,44,117,76,47,85,38,32,40,84,26,94,32,23,345,43,58,322,96,7,318
"15060797",54,44,117,36,39,321,54,44,117,27,19,5,80,41,86,82,35,93,27,26,331,26,28,306,96,7,318
"15061918",54,44,117,45,57,327,69,50,115,50,26,342,82,30,83,92,6,71,31,36,334,31,33,324,94,4,41
