SAMPLES,GEBVs(SVM),ACTUAL
15062362,77.271,48
15061954,76.128,80
15062339,40.164,42
15061482,47.194,50
15062104,77.582,28
15061707,72.025,42
15061567,45.883,45
15061964,74.335,80
15061488,78.118,75
15061438,76.316,81
15061814,81.425,80
15061721,74.075,80
15061601,76.799,51
15061719,73.668,80
15061629,50.078,39
15061477,79.174,84
15061761,71.988,78
15061336,64.872,80
15061386,72.377,80
15061305,68.649,42
15061676,76.51,79
15061523,79.009,80
15061763,56.033,45
15061385,78.381,80
15062133,75.117,82
15061333,62.512,80
15061627,67.435,30
15061731,77.119,79
15061641,81.935,82
15061330,60.741,75
15061626,58.425,80
15062147,73.144,50
15061487,76.97,80
15060536,75.665,50
15061261,50.119,50
15061389,76.307,76
15060101,73.318,80
15061397,78.247,74
15061551,61.183,50
15061539,78.322,27
15062115,41.865,29
15061361,77.172,75
15061669,44.508,42
15062359,52.208,46
15061690,77.895,79
15061308,77.78,80
15062372,61.551,75
15061342,77.286,80
15061281,74.726,80
15061932,55.295,42
15061370,76.417,80
15061630,73.384,80
15061789,49.002,54
15061666,78.068,28
15062143,77.878,80
15061297,73.122,76
15061907,60.547,27
15061538,78.246,76
15062371,72.085,43
15061685,77.731,75
15062081,69.061,82
15061969,48.127,50
15061498,76.979,80
15061271,78.178,80
15062344,77.027,80
15061279,73.009,73
15062144,78.163,80
15061722,67.187,81
15061768,77.065,79
15061557,47.848,80
15061434,73.163,80
15060072,71.47,75
15061405,79.066,75
15062052,77.463,80
15062098,76.44,76
15061916,75.957,75
15061377,46.729,42
15061633,59.645,79
15061702,78.133,79
15061614,79.733,82
15061368,72.469,28
15061520,42.246,80
15060082,34.145,27
15061656,60.434,82
15061331,61.583,48
15061327,48.091,80
15062074,78.196,50
15061300,40.505,30
15061776,46.601,50
15061462,35.119,27
15061302,73.677,80
15061957,79.245,76
15061514,48.173,80
15060909,54.662,42
15062063,77.93,29
15060090,68.52,81
15061301,77.786,80
15061423,77.864,80
15061453,42.882,80
15060215,78.67,80
15062119,77.402,75
15061537,71.128,82
15061667,77.501,75
15062123,45.878,42
15061710,73.607,74
15061258,75.472,80
15061443,47.86,43
15060050,80.782,34
15060110,78.274,76
15062053,71.041,80
15061764,77.565,30
15061799,58.875,29
