"Samples","Tallo.L","Tallo.C","Tallo.H","PriFlor.L","PriFlor.C","PriFlor.H","Baya.L","Baya.C","Baya.H","PriTuber.L","PriTuber.C","PriTuber.H","SecTuber.L","SecTuber.C","SecTuber.H","Pulpa.L","Pulpa.C","Pulpa.H","PriBrote.L","PriBrote.C","PriBrote.H","SecBrote.L","SecBrote.C","SecBrote.H"
"15061942",54,44,117,57,46,323,66,48,118,39,46,9,80,42,96,84,18,90,33,26,314,94,7,318
"15061763",28,16,359,59,48,315,53,38,132,27,22,344,45,42,0,84,26,94,26,20,307,96,7,318
"15061801",54,44,117,75,26,302,66,48,118,50,29,17,80,42,96,92,6,71,36,47,352,94,4,41
"15061494",28,16,359,43,58,322,54,44,117,29,8,313,30,29,7,92,6,71,33,26,314,94,7,318
"15061613",54,44,117,54,49,320,58,45,128,43,33,10,86,20,78,94,4,41,33,26,314,96,7,318
"15062137",28,16,359,43,58,322,54,44,117,30,16,3,80,41,86,92,6,71,36,55,329,94,4,41
"15061319",54,44,117,49,42,312,72,45,115,44,41,21,66,40,69,92,6,71,26,20,307,95,5,344
"15062142",54,44,117,43,58,322,69,59,106,80,41,86,43,39,17,92,6,71,45,57,327,94,4,41
"15060320",54,44,117,45,57,327,66,48,118,80,42,96,48,39,21,84,18,90,39,53,346,94,4,41
"15061768",54,44,117,43,58,322,66,48,118,43,33,10,79,36,83,92,6,71,36,49,301,96,7,318
"15061522",28,16,359,43,58,322,66,48,118,76,47,85,38,32,14,92,6,71,26,20,307,94,4,344
"15060081",54,44,117,52,45,305,58,32,112,80,41,86,30,29,7,94,5,52,26,20,307,95,5,344
"15061656",53,38,132,66,36,309,58,45,128,42,36,346,82,26,80,92,6,71,41,42,316,95,5,344
"15061759",54,44,117,33,58,312,69,59,106,77,45,83,30,16,3,84,26,94,38,40,308,96,7,318
"15061928",28,16,359,45,57,327,54,44,117,30,11,328,80,41,86,92,6,71,65,35,303,96,7,318
"15061454",54,44,117,43,58,312,54,44,117,27,19,5,80,42,96,84,18,90,38,40,308,94,4,41
"15061605",54,44,117,61,43,319,66,48,118,80,42,96,51,43,355,89,8,95,54,49,320,96,7,318
"15060087",28,16,359,41,60,332,50,28,115,30,11,328,81,32,84,94,4,41,26,20,307,95,5,344
"15061619",28,16,359,43,58,322,53,38,132,28,11,318,80,41,86,84,18,90,39,53,346,96,7,318
"15060090",54,44,117,41,60,332,66,48,118,42,36,346,81,32,84,94,5,52,26,20,307,95,7,318
"15061731",28,16,359,54,49,320,66,48,118,51,43,355,79,36,83,84,18,90,35,41,347,95,7,318
"15061655",54,44,117,66,36,309,66,48,118,76,47,85,50,29,17,84,18,90,36,55,329,94,4,41
"15061661",54,44,117,67,36,319,53,38,132,42,36,346,80,41,86,92,3,32,38,40,308,96,7,318
"15061499",54,44,117,66,36,309,69,59,106,80,41,86,43,39,17,84,18,90,33,26,314,96,7,318
"15061647",54,44,117,52,45,305,54,44,117,76,47,85,30,28,345,92,6,71,27,28,306,94,4,41
"15061612",28,16,359,43,58,322,54,44,117,80,41,86,31,33,324,92,6,71,33,26,314,95,7,318
"15061742",54,44,117,45,57,327,63,32,111,75,35,83,42,37,18,92,6,71,26,20,307,94,4,41
"15061710",28,16,359,45,57,327,69,59,106,29,8,313,79,41,85,80,42,96,26,20,307,96,7,318
"15062372",54,44,117,65,35,303,54,44,117,28,16,359,75,35,83,84,26,94,27,28,306,96,7,318
"15061583",54,44,117,59,48,315,54,44,117,50,26,342,84,18,90,92,6,71,54,39,308,96,7,318
"15061767",54,44,117,65,35,303,69,59,106,30,11,328,45,25,28,84,26,94,26,20,307,94,4,41
"15062130",54,44,117,48,41,320,69,59,106,40,35,16,75,35,83,92,6,71,36,47,352,96,7,318
"15061637",53,38,132,43,58,322,69,59,106,75,35,83,43,33,10,84,18,90,26,20,307,96,7,318
"15061337",54,44,117,49,57,317,54,44,117,30,28,345,80,35,22,84,18,90,33,26,314,96,7,318
"15062104",54,44,117,33,58,312,58,45,128,79,36,83,42,32,5,84,18,90,26,20,307,94,4,41
"15061579",28,16,359,43,58,322,72,45,115,30,16,3,80,42,96,92,6,71,33,26,314,94,4,41
"15061932",54,44,117,57,46,323,58,45,128,80,42,96,41,28,84,92,6,71,52,45,330,94,4,41
"15061603",54,44,117,42,39,319,66,48,118,29,8,313,80,42,96,92,3,32,27,28,306,96,7,318
"15060025",54,44,117,52,45,305,66,48,118,76,47,85,27,19,5,94,5,52,26,20,307,95,7,318
"15061704",54,44,117,61,37,293,76,75,107,27,19,5,76,47,85,92,6,71,27,28,306,94,4,41
"15061334",54,44,117,45,57,327,66,48,118,38,32,14,76,47,85,84,26,94,54,49,320,96,7,318
"15061631",28,16,359,43,58,322,66,48,118,28,11,318,76,47,85,92,6,71,27,28,306,94,4,41
"15060964",54,44,117,36,39,321,53,38,132,28,16,359,76,47,85,81,32,84,43,40,309,96,7,318
"15061778",28,16,359,43,58,322,54,44,117,28,11,318,80,41,86,80,42,96,43,58,322,96,7,318
"15061718",49,21,132,59,40,305,54,44,128,28,11,318,79,36,83,92,6,71,33,26,307,96,7,318
"15061486",54,44,117,58,45,310,54,44,117,29,8,313,80,35,86,92,6,88,33,26,314,96,7,318
"15060214",54,44,117,36,39,321,54,44,117,76,47,85,41,37,12,92,6,71,62,53,315,95,7,318
"15061333",54,44,117,52,45,305,54,44,117,29,8,313,30,36,96,84,18,90,27,28,306,96,7,318
"15061962",54,44,117,54,49,320,54,44,117,75,35,83,50,29,17,92,6,71,52,55,328,94,4,41
"15061624",54,44,117,38,40,308,54,44,117,43,39,17,80,42,96,92,6,71,36,55,329,94,4,41
"15061282",54,44,117,43,58,322,58,32,112,50,26,342,92,6,71,92,6,71,27,28,306,96,7,318
"15061529",54,44,117,92,6,71,66,48,118,30,11,328,80,39,86,84,18,90,33,26,314,96,7,318
"15061935",54,44,117,36,55,329,69,59,106,42,37,18,80,41,86,92,6,71,54,57,347,94,4,41
"15061568",54,44,117,43,58,322,54,44,117,80,42,96,42,37,18,84,18,90,54,49,320,94,4,41
"15061491",28,16,359,43,58,322,69,59,106,30,11,328,80,41,86,84,18,90,48,58,336,95,7,318
"15061318",54,44,117,36,55,329,54,44,117,30,11,328,82,41,41,92,6,71,26,20,307,94,4,41
"15061361",54,44,117,43,58,322,54,44,117,34,28,21,75,41,90,84,18,90,26,20,307,96,7,318
"15061515",45,19,134,92,6,71,58,32,112,35,29,17,73,31,53,84,18,90,33,26,314,96,7,318
"15062123",54,44,117,58,45,310,54,44,117,75,35,83,42,37,18,92,6,71,26,20,307,94,4,41
"15061358",54,44,117,48,40,314,53,38,132,80,41,86,42,36,346,84,18,90,27,28,306,96,7,318
"15061428",54,44,117,54,49,320,66,48,118,38,32,14,80,42,96,84,18,90,48,58,336,94,4,41
"15061496",28,16,359,33,58,312,54,44,117,39,28,22,80,41,86,92,6,71,33,26,314,96,7,318
"15061648",53,38,132,43,58,322,66,48,118,28,11,318,74,37,74,84,18,90,26,20,307,96,7,318
"15061808",54,44,117,57,46,323,66,48,118,81,32,84,50,29,17,88,10,96,36,47,352,94,4,41
"15061600",54,44,117,63,40,326,54,44,117,35,29,17,81,32,84,84,18,90,61,43,319,96,7,318
"15061730",28,16,359,52,45,305,50,28,115,27,19,5,80,41,86,84,18,90,42,39,319,96,7,318
"15061623",54,44,117,38,40,308,66,48,118,42,32,25,80,42,96,92,6,71,26,20,307,96,7,318
"15061405",54,44,117,58,45,310,50,28,115,42,36,346,75,35,17,92,6,71,26,20,307,94,4,41
"15061299",54,44,117,61,43,319,54,44,117,43,33,10,82,26,80,92,6,71,43,40,309,96,7,318
"15061578",28,16,359,61,43,319,54,44,117,30,16,3,79,36,83,92,6,71,36,55,329,94,4,41
"15061476",28,16,359,49,42,312,71,50,115,27,22,344,80,42,96,92,6,71,33,26,314,94,4,41
"15061765",54,44,117,92,6,71,66,48,118,28,11,318,84,42,86,84,18,90,26,20,307,94,4,41
"15062111",28,16,359,43,58,322,53,38,132,62,33,349,43,36,86,84,26,94,26,20,307,96,7,318
"15061397",54,44,117,92,6,71,53,38,132,50,26,342,74,37,74,84,26,94,58,42,304,96,7,318
"15061713",54,44,117,66,36,309,50,28,115,76,47,85,30,22,83,84,24,85,26,20,307,94,4,41
"15061584",54,44,117,43,58,322,66,48,118,48,39,21,80,41,86,92,6,71,45,57,327,94,4,41
"15061912",54,44,117,57,46,323,54,44,117,80,41,86,45,25,28,84,26,94,44,53,341,95,7,318
"15061260",54,44,117,57,46,323,58,45,128,30,11,328,75,35,83,92,6,71,26,20,307,94,4,41
"15062099",54,44,117,45,57,327,54,44,117,27,22,344,80,24,85,84,26,94,38,40,308,94,4,41
"15061350",54,44,117,63,40,326,58,45,128,42,37,18,75,35,83,82,35,93,48,58,336,94,4,41
"15060933",54,44,117,43,58,312,66,48,118,43,39,17,81,32,84,94,5,52,47,59,350,96,7,318
"15061548",54,44,117,36,55,329,54,44,117,30,29,7,80,42,74,84,26,94,45,57,327,96,7,318
"15061348",54,44,117,43,58,322,58,45,128,30,29,7,84,37,41,84,18,90,26,20,307,96,7,318
"15061560",54,44,117,61,43,319,66,48,118,40,35,16,54,32,41,84,18,90,33,26,314,96,7,318
