Samples,CSPulpa.C
15060025,36
15060039,36
15060056,33
15060063,37
15060070,33
15060072,22
15060081,33
15060082,36
15060085,22
15060087,28
15060090,37
15060097,39
15060101,33
15060102,43
15060114,36
15060120,28
15060122,43
15060138,36
15060160,28
15060188,36
15060190,36
15060191,22
15060215,36
15060313,36
15060320,33
15060345,36
15060383,33
15060420,39
15060536,36
15060543,36
15060797,26
15060846,36
15060907,28
15060909,33
15060910,36
15060933,33
15060964,37
15061007,38
15061122,36
15061204,33
15061213,33
15061215,26
15061225,38
15061226,37
15061228,36
15061237,36
15061256,33
15061257,33
15061258,23
15061259,33
15061260,34
15061261,33
15061262,23
15061263,34
15061264,33
15061265,33
15061270,26
15061273,23
15061274,30
15061277,36
15061279,33
15061283,22
15061286,36
15061288,34
15061289,30
15061290,28
15061291,30
15061293,28
15061295,33
15061297,11
15061298,37
15061301,22
15061302,36
15061303,36
15061305,33
15061308,34
15061312,26
15061313,22
15061314,43
15061317,28
15061318,26
15061319,23
15061320,28
15061323,22
15061324,30
15061327,36
15061330,33
15061331,28
15061333,42
15061334,22
15061335,30
15061336,22
15061340,28
15061342,33
15061346,33
15061347,36
15061348,28
15061349,36
15061350,39
15061352,22
15061353,34
15061355,33
15061356,36
15061357,38
15061360,36
15061365,36
15061367,36
15061368,28
15061369,33
15061370,33
15061376,28
15061377,22
15061378,28
15061380,28
15061382,30
15061384,33
15061385,23
15061386,34
15061388,43
15061389,23
15061390,33
15061391,22
15061392,22
15061404,30
15061405,30
15061406,36
15061410,34
15061411,37
15061414,36
15061415,30
15061417,26
15061418,36
15061419,33
15061420,30
15061421,38
15061422,33
15061424,30
15061425,43
15061428,22
15061430,28
15061434,22
15061436,33
15061437,42
15061438,26
15061439,28
15061441,26
15061442,36
15061443,36
15061444,26
15061445,28
15061447,38
15061449,36
15061454,33
15061458,34
15061459,34
15061461,30
15061463,26
15061469,36
15061470,33
15061471,39
15061475,55
15061476,36
15061478,33
15061479,33
15061480,33
15061481,22
15061484,36
15061485,28
15061486,26
15061489,28
15061490,22
15061491,28
15061492,28
15061494,22
15061495,26
15061498,36
15061499,38
15061501,28
15061503,36
15061504,38
15061505,33
15061508,28
15061509,22
15061511,22
15061514,36
15061515,36
15061517,33
15061518,22
15061520,33
15061522,22
15061523,23
15061524,22
15061525,36
15061526,28
15061528,22
15061530,28
15061533,23
15061536,22
15061537,36
15061538,22
15061539,28
15061540,22
15061543,36
15061544,22
15061546,22
15061548,33
15061549,55
15061551,28
15061553,39
15061555,37
15061556,33
15061557,34
15061560,28
15061561,28
15061564,33
15061565,33
15061568,30
15061571,30
15061576,23
15061579,22
15061580,28
15061583,36
15061584,30
15061585,36
15061588,36
15061600,43
15061601,28
15061602,33
15061603,22
15061604,36
15061605,22
15061608,37
15061609,23
15061612,33
15061613,33
15061619,36
15061621,30
15061622,33
15061623,28
15061626,22
15061628,36
15061629,33
15061630,22
15061631,22
15061632,33
15061638,39
15061640,28
15061641,38
15061642,22
15061645,36
15061646,36
15061648,28
15061650,33
15061651,28
15061654,33
15061656,33
15061658,36
15061661,37
15061662,30
15061666,22
15061667,22
15061668,26
15061669,34
15061670,36
15061671,43
15061676,36
15061677,36
15061678,28
15061679,22
15061680,22
15061682,28
15061683,23
15061684,28
15061685,26
15061686,36
15061687,36
15061688,36
15061689,36
15061690,36
15061702,39
15061704,36
15061707,33
15061709,22
15061710,28
15061712,28
15061713,33
15061714,33
15061718,33
15061719,28
15061720,26
15061721,30
15061722,43
15061723,36
15061724,33
15061725,28
15061726,28
15061731,33
15061733,43
15061734,22
15061735,28
15061736,36
15061738,23
15061740,28
15061742,28
15061744,28
15061747,33
15061753,36
15061754,22
15061756,28
15061758,36
15061759,36
15061760,26
15061762,36
15061763,23
15061764,36
15061765,28
15061767,28
15061768,28
15061771,22
15061772,37
15061776,33
15061777,22
15061778,28
15061784,30
15061788,26
15061789,39
15061790,38
15061797,28
15061798,37
15061799,22
15061800,34
15061801,36
15061808,28
15061811,22
15061813,22
15061815,33
15061826,30
15061905,39
15061907,36
15061908,22
15061909,22
15061910,28
15061911,43
15061912,43
15061915,37
15061917,28
15061918,36
15061927,38
15061928,28
15061929,30
15061932,34
15061933,38
15061934,33
15061935,34
15061939,33
15061941,22
15061942,36
15061944,30
15061945,33
15061946,28
15061948,43
15061949,22
15061951,28
15061952,28
15061953,22
15061954,34
15061957,36
15061960,26
15061961,22
15061962,28
15061963,28
15061965,33
15061967,28
15061968,36
15061969,36
15062036,34
15062038,22
15062039,36
15062046,28
15062050,22
15062051,36
15062052,28
15062053,36
15062063,22
15062069,34
15062071,22
15062080,23
15062081,22
15062092,22
15062094,38
15062097,33
15062098,33
15062099,33
15062100,36
15062101,33
15062102,33
15062103,23
15062104,36
15062105,22
15062106,28
15062107,34
15062108,28
15062109,28
15062111,22
15062112,22
15062114,28
15062115,28
15062117,34
15062118,36
15062119,36
15062124,22
15062126,22
15062130,36
15062137,28
15062138,22
15062139,30
15062142,28
15062143,30
15062144,36
15062145,23
15062150,33
15062151,28
15062152,33
15062153,28
15062331,22
15062332,22
15062333,22
15062334,28
15062335,36
15062337,37
15062338,36
15062344,36
15062348,28
15062349,33
15062351,22
15062353,34
15062354,36
15062357,22
15062359,33
15062360,36
15062361,28
15062363,39
15062366,28
15062367,22
15062370,22
15062371,33
15062372,33
