Samples,CSPulpa.C
15060021,22
15060025,34
15060027,37
15060039,43
15060042,23
15060056,28
15060063,37
15060070,33
15060081,22
15060085,28
15060087,28
15060097,22
15060102,43
15060112,33
15060114,36
15060120,33
15060121,22
15060122,36
15060138,43
15060160,36
15060187,28
15060188,30
15060190,36
15060191,28
15060214,36
15060313,36
15060320,28
15060345,23
15060383,34
15060420,36
15060543,36
15060570,36
15060797,36
15060846,39
15060907,28
15060910,38
15060933,38
15060964,36
15061007,34
15061011,34
15061122,33
15061204,34
15061213,33
15061215,28
15061216,33
15061225,36
15061226,36
15061228,23
15061237,36
15061256,33
15061257,26
15061259,33
15061260,33
15061262,22
15061263,37
15061264,22
15061265,26
15061270,36
15061273,28
15061274,36
15061277,34
15061282,38
15061283,37
15061286,36
15061288,30
15061289,38
15061290,22
15061291,33
15061293,36
15061295,33
15061296,28
15061298,33
15061299,36
15061303,22
15061307,28
15061312,22
15061313,22
15061314,36
15061317,22
15061318,36
15061319,33
15061320,36
15061323,22
15061324,23
15061329,39
15061334,22
15061335,36
15061337,34
15061338,23
15061340,28
15061344,36
15061345,58
15061346,55
15061347,36
15061348,28
15061349,22
15061350,55
15061352,43
15061353,33
15061355,36
15061356,36
15061357,38
15061358,28
15061360,43
15061364,28
15061365,42
15061367,36
15061369,37
15061376,37
15061378,36
15061380,28
15061382,38
15061383,23
15061384,33
15061388,38
15061390,33
15061391,26
15061392,36
15061394,22
15061396,22
15061404,30
15061406,28
15061410,36
15061411,42
15061414,36
15061415,36
15061417,26
15061418,36
15061419,33
15061420,36
15061421,33
15061422,39
15061424,30
15061425,36
15061428,38
15061430,34
15061435,33
15061436,42
15061437,36
15061439,58
15061441,42
15061442,36
15061444,28
15061445,33
15061447,22
15061449,36
15061454,36
15061458,28
15061459,23
15061461,34
15061463,36
15061469,36
15061470,34
15061471,36
15061475,34
15061476,36
15061478,33
15061479,36
15061480,26
15061481,23
15061484,43
15061485,28
15061486,22
15061489,28
15061490,28
15061491,28
15061492,28
15061493,33
15061494,30
15061495,30
15061496,22
15061499,22
15061500,22
15061501,43
15061503,36
15061504,37
15061505,39
15061507,34
15061508,28
15061509,22
15061511,22
15061515,36
15061516,33
15061517,58
15061518,36
15061521,33
15061522,22
15061524,33
15061525,43
15061526,43
15061528,33
15061529,33
15061530,36
15061533,33
15061534,34
15061535,33
15061536,22
15061540,22
15061542,36
15061543,36
15061544,22
15061546,22
15061548,36
15061549,55
15061550,33
15061553,36
15061555,37
15061556,33
15061560,37
15061561,30
15061564,33
15061565,26
15061566,22
15061568,33
15061571,36
15061575,34
15061576,28
15061577,36
15061578,28
15061579,22
15061580,36
15061583,34
15061584,22
15061585,55
15061586,22
15061588,36
15061600,26
15061602,58
15061603,22
15061604,36
15061605,22
15061608,22
15061609,23
15061610,38
15061612,22
15061613,33
15061619,36
15061621,33
15061622,28
15061623,33
15061624,55
15061628,22
15061631,22
15061632,33
15061637,33
15061638,28
15061639,58
15061640,55
15061642,30
15061645,37
15061646,22
15061647,28
15061648,36
15061649,36
15061650,36
15061651,33
15061653,28
15061654,22
15061655,34
15061658,38
15061659,36
15061661,37
15061662,33
15061665,33
15061668,28
15061670,37
15061671,42
15061673,36
15061677,36
15061678,33
15061679,22
15061680,36
15061682,36
15061683,22
15061684,42
15061686,33
15061687,36
15061688,33
15061689,36
15061704,36
15061706,22
15061709,22
15061712,36
15061713,33
15061714,23
15061717,38
15061718,33
15061720,26
15061723,33
15061724,28
15061725,38
15061726,33
15061729,36
15061730,36
15061733,39
15061734,37
15061735,22
15061736,33
15061737,36
15061738,28
15061740,36
15061742,30
15061744,33
15061747,22
15061751,36
15061752,36
15061753,36
15061754,36
15061755,36
15061756,37
15061757,36
15061758,43
15061759,28
15061760,28
15061762,33
15061765,28
15061766,28
15061767,33
15061769,37
15061771,22
15061772,36
15061773,28
15061777,22
15061778,28
15061784,22
15061785,33
15061788,36
15061790,36
15061795,22
15061797,36
15061798,36
15061800,36
15061801,33
15061808,36
15061811,36
15061813,36
15061815,55
15061826,43
15061905,26
15061906,22
15061908,36
15061909,36
15061910,37
15061911,28
15061912,33
15061915,36
15061917,28
15061918,33
15061926,22
15061927,58
15061928,33
15061929,28
15061930,22
15061933,26
15061934,26
15061935,33
15061937,33
15061939,43
15061941,34
15061942,33
15061944,22
15061945,28
15061946,33
15061948,42
15061949,39
15061951,58
15061952,36
15061953,22
15061958,36
15061960,28
15061961,22
15061962,36
15061963,22
15061965,36
15061966,22
15061967,28
15061968,36
15062036,34
15062038,38
15062039,33
15062046,22
15062050,22
15062051,34
15062067,23
15062069,34
15062071,28
15062080,33
15062092,39
15062094,38
15062097,36
15062099,36
15062100,33
15062101,28
15062102,37
15062103,43
15062105,22
15062106,28
15062107,36
15062108,28
15062109,28
15062111,26
15062112,22
15062114,37
15062117,36
15062118,43
15062122,43
15062124,22
15062126,22
15062130,38
15062136,23
15062137,28
15062138,22
15062139,38
15062142,34
15062145,33
15062146,22
15062149,33
15062150,23
15062151,22
15062152,34
15062153,36
15062331,26
15062332,26
15062333,37
15062334,23
15062335,33
15062337,36
15062338,22
15062346,38
15062347,38
15062348,36
15062349,36
15062350,22
15062351,36
15062353,34
15062354,28
15062356,22
15062357,22
15062358,36
15062360,36
15062361,22
15062363,33
15062366,38
15062367,34
15062368,33
15062369,28
15062370,22
