Samples,Pulpa.C
15060021,35
15060027,6
15060039,6
15060042,6
15060050,6
15060056,3
15060063,18
15060070,6
15060072,26
15060082,6
15060085,5
15060097,5
15060101,6
15060102,6
15060110,6
15060112,18
15060114,6
15060120,6
15060121,6
15060122,18
15060138,6
15060160,18
15060187,35
15060188,5
15060190,18
15060191,26
15060215,6
15060313,18
15060345,26
15060383,42
15060420,18
15060543,26
15060570,26
15060797,35
15060846,3
15060907,6
15060909,6
15060910,18
15061007,32
15061011,26
15061122,6
15061204,18
15061213,24
15061215,18
15061216,18
15061225,6
15061226,6
15061237,5
15061256,6
15061257,18
15061258,3
15061259,6
15061261,42
15061262,18
15061263,26
15061264,26
15061265,6
15061270,18
15061271,3
15061273,26
15061274,18
15061277,6
15061279,26
15061281,6
15061283,18
15061286,26
15061288,6
15061289,18
15061290,6
15061291,18
15061293,18
15061295,6
15061296,26
15061297,8
15061298,18
15061300,10
15061301,18
15061302,26
15061303,6
15061305,6
15061307,18
15061312,6
15061313,18
15061314,18
15061317,26
15061320,18
15061323,6
15061324,26
15061327,6
15061329,35
15061330,26
15061331,6
15061335,18
15061336,18
15061340,18
15061342,18
15061344,18
15061345,18
15061346,26
15061347,18
15061349,18
15061352,26
15061353,6
15061355,18
15061360,18
15061364,18
15061365,18
15061367,6
15061368,26
15061369,6
15061370,18
15061377,26
15061378,18
15061380,18
15061382,6
15061383,18
15061384,6
15061385,6
15061386,18
15061388,6
15061389,18
15061390,18
15061392,26
15061394,26
15061396,6
15061404,18
15061406,18
15061410,6
15061411,4
15061414,18
15061415,18
15061417,24
15061418,6
15061419,3
15061420,6
15061421,18
15061422,6
15061423,6
15061424,26
15061425,18
15061430,18
15061434,18
15061435,18
15061436,6
15061437,6
15061438,6
15061439,18
15061441,18
15061442,6
15061443,18
15061444,6
15061445,18
15061447,6
15061453,18
15061458,26
15061459,6
15061461,26
15061462,10
15061463,10
15061469,10
15061470,6
15061471,6
15061475,18
15061477,6
15061478,10
15061479,10
15061480,26
15061481,6
15061482,6
15061484,26
15061485,18
15061487,6
15061488,6
15061489,18
15061490,26
15061492,35
15061493,26
15061495,18
15061498,18
15061500,3
15061501,6
15061503,26
15061504,6
15061505,26
15061507,6
15061508,6
15061509,18
15061511,6
15061514,18
15061516,5
15061517,18
15061518,6
15061520,35
15061521,35
15061523,6
15061524,6
15061525,6
15061526,26
15061528,18
15061530,6
15061533,6
15061534,42
15061535,18
15061536,6
15061537,26
15061538,6
15061539,18
15061542,18
15061543,18
15061546,6
15061549,18
15061550,26
15061551,6
15061553,18
15061555,18
15061556,6
15061557,18
15061561,18
15061564,6
15061565,26
15061566,6
15061567,26
15061571,6
15061575,18
15061576,18
15061577,26
15061580,18
15061585,3
15061586,3
15061588,18
15061601,26
15061602,26
15061604,18
15061608,26
15061609,6
15061610,6
15061614,6
15061621,26
15061622,18
15061626,6
15061627,6
15061628,18
15061629,6
15061630,42
15061632,6
15061633,6
15061638,26
15061639,6
15061640,18
15061641,5
15061642,18
15061645,18
15061646,26
15061649,18
15061650,35
15061651,6
15061653,26
15061654,6
15061658,6
15061659,6
15061665,18
15061666,6
15061667,18
15061668,18
15061669,6
15061670,6
15061671,26
15061673,6
15061677,6
15061678,18
15061679,18
15061680,6
15061682,18
15061683,6
15061684,6
15061686,18
15061687,6
15061688,18
15061690,18
15061702,18
15061706,18
15061707,18
15061709,6
15061712,18
15061714,6
15061717,18
15061719,26
15061720,18
15061722,6
15061723,18
15061724,18
15061725,6
15061726,26
15061729,18
15061733,26
15061734,6
15061735,5
15061736,26
15061737,18
15061738,18
15061740,6
15061744,6
15061747,26
15061751,6
15061752,26
15061753,6
15061754,18
15061755,26
15061756,26
15061757,26
15061758,26
15061760,26
15061761,26
15061762,18
15061764,26
15061766,18
15061769,6
15061771,18
15061772,18
15061773,18
15061776,6
15061777,26
15061784,18
15061785,6
15061788,6
15061789,6
15061790,6
15061795,35
15061797,18
15061798,6
15061799,18
15061800,6
15061811,18
15061813,18
15061814,6
15061815,18
15061826,3
15061905,18
15061906,6
15061907,26
15061908,24
15061909,18
15061910,6
15061911,18
15061915,18
15061917,18
15061918,6
15061926,3
15061927,6
15061929,6
15061930,3
15061933,26
15061934,26
15061937,3
15061939,26
15061941,18
15061944,6
15061945,18
15061948,18
15061949,6
15061951,18
15061952,18
15061953,6
15061954,18
15061957,6
15061958,18
15061960,18
15061961,6
15061964,18
15061965,18
15061966,18
15061967,6
15061968,18
15061969,6
15062036,6
15062038,26
15062039,26
15062050,18
15062051,26
15062052,26
15062053,6
15062063,18
15062067,6
15062069,26
15062071,18
15062080,18
15062081,18
15062092,6
15062094,3
15062097,18
15062100,6
15062101,18
15062102,6
15062103,26
15062105,3
15062106,18
15062107,3
15062108,6
15062109,18
15062112,3
15062115,18
15062117,18
15062118,18
15062119,6
15062122,6
15062124,18
15062126,18
15062133,6
15062136,35
15062139,6
15062143,18
15062144,18
15062145,18
15062146,35
15062147,6
15062149,18
15062150,6
15062151,18
15062152,6
15062153,6
15062332,6
15062333,6
15062334,6
15062335,18
15062337,18
15062338,26
15062339,26
15062344,18
15062346,26
15062347,18
15062349,18
15062350,26
15062351,18
15062353,18
15062354,26
15062356,26
15062357,3
15062358,18
15062359,18
15062360,6
15062361,26
15062363,18
15062366,3
15062367,18
15062368,26
15062369,18
15062371,6
